"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;5;2;1;3;1;false;561;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;5;2;1;6;1;false;385;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;1;2;1;5;1;false;644;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;4;1;1;1;1;true;845;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;4;1;1;3;1;false;569;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;1;2;1;2;1;false;494;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;3;0;1;2;1;false;671;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;4;1;1;5;1;false;649;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;3;0;1;3;1;false;565;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;4;1;1;1;1;true;520;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;5;2;1;3;1;false;643;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";8;3;0;1;6;1;false;487;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;5;2;1;5;1;false;453;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;3;0;1;3;1;false;594;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";6;4;1;1;6;1;false;525;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";2;4;1;1;3;1;false;779;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"less than or equal 1 year";4;2;1;1;6;1;false;807;
