"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;9;4;1;8;1;false;874;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;1;9;1;false;694;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;1;4;1;10;1;false;720;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;4;1;false;567;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;3;2;1;1;1;true;522;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;1;3;1;false;1065;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;8;3;1;4;1;false;595;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;1;8;1;false;647;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;1;3;1;false;708;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;2;1;8;1;false;581;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;1;9;1;false;552;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;1;1;1;true;638;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;4;1;1;7;1;false;604;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;1;4;1;7;1;false;542;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;1;1;1;true;495;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;1;4;1;false;487;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;2;3;1;5;1;false;526;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;0;1;10;1;false;677;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;8;3;1;5;1;false;572;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;5;1;false;1240;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;7;1;false;770;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;3;2;1;10;1;false;623;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;4;1;1;5;1;false;532;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;1;5;1;false;848;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;8;3;1;3;1;false;862;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;2;3;1;6;1;false;1361;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;4;1;false;569;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;8;3;1;1;1;true;617;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;8;3;1;4;1;false;944;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;1;9;1;false;1060;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;2;1;7;1;false;674;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;1;3;1;false;635;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;2;3;1;10;1;false;739;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;3;2;1;2;1;false;567;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;3;1;2;1;false;579;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;9;4;1;8;1;false;716;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;1;9;1;false;524;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;3;2;1;5;1;false;1290;
