"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Feedback;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;2;3;_to_be_written_;1;2;1;false;851;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;9;4;_to_be_written_;1;9;1;false;1971;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;2;3;_to_be_written_;1;2;1;false;636;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;3;2;_to_be_written_;1;3;1;false;1176;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;1;4;_to_be_written_;1;1;1;true;1467;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;5;0;_to_be_written_;1;5;1;false;1024;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;6;1;_to_be_written_;1;6;1;false;1258;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;5;0;_to_be_written_;1;5;1;false;1177;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;9;4;_to_be_written_;1;9;1;false;1826;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;2;3;_to_be_written_;1;2;1;false;677;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;1;4;_to_be_written_;1;1;1;true;516;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;5;0;_to_be_written_;1;5;1;false;1101;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;1;4;_to_be_written_;1;1;1;true;613;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;9;4;_to_be_written_;1;9;1;false;1307;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;2;3;_to_be_written_;1;2;1;false;697;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;8;3;_to_be_written_;1;8;1;false;2298;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;2;3;_to_be_written_;1;2;1;false;657;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;5;0;_to_be_written_;1;5;1;false;1366;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;7;2;_to_be_written_;1;7;1;false;1351;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;5;0;_to_be_written_;1;5;1;false;1175;
