"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Feedback;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;_to_be_written_;1;5;1;false;608;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;_to_be_written_;1;3;1;false;1385;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;_to_be_written_;1;3;1;false;851;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;2;_to_be_written_;1;3;1;false;735;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;_to_be_written_;1;1;1;true;602;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;0;_to_be_written_;1;8;1;false;796;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;_to_be_written_;1;7;1;false;911;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;_to_be_written_;1;9;1;false;630;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;_to_be_written_;1;6;1;false;1245;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;_to_be_written_;1;7;1;false;606;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;_to_be_written_;1;1;1;true;502;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;_to_be_written_;1;1;1;true;901;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;_to_be_written_;1;10;1;false;1136;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;_to_be_written_;1;4;1;false;1039;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;_to_be_written_;1;10;1;false;565;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;3;_to_be_written_;1;9;1;false;1200;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;_to_be_written_;1;6;1;false;608;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;_to_be_written_;1;4;1;false;921;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;_to_be_written_;1;2;1;false;922;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;0;_to_be_written_;1;6;1;false;695;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;_to_be_written_;1;6;1;false;546;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;_to_be_written_;1;8;1;false;1182;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;_to_be_written_;1;8;1;false;1045;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;_to_be_written_;1;7;1;false;723;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;2;_to_be_written_;1;7;1;false;1064;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;_to_be_written_;1;4;1;false;1031;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;_to_be_written_;1;5;1;false;1107;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;_to_be_written_;1;3;1;false;884;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;_to_be_written_;1;1;1;true;907;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;_to_be_written_;1;10;1;false;616;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;2;_to_be_written_;1;9;1;false;719;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;_to_be_written_;1;7;1;false;1185;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;_to_be_written_;1;7;1;false;709;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;_to_be_written_;1;7;1;false;1089;
