"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Feedback;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;2;_to_be_written_;1;1;1;true;626;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;2;_to_be_written_;1;1;1;true;689;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;0;_to_be_written_;1;3;1;false;865;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;0;_to_be_written_;1;3;1;false;585;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;_to_be_written_;1;4;1;false;936;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;2;_to_be_written_;1;5;1;false;784;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;2;_to_be_written_;1;1;1;true;1030;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;1;_to_be_written_;1;2;1;false;470;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;2;_to_be_written_;1;1;1;true;905;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;0;_to_be_written_;1;3;1;false;579;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;1;_to_be_written_;1;2;1;false;537;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;0;_to_be_written_;1;3;1;false;552;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;2;_to_be_written_;1;1;1;true;1028;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;2;_to_be_written_;1;5;1;false;850;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;2;_to_be_written_;1;1;1;true;639;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;_to_be_written_;1;4;1;false;780;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;1;_to_be_written_;1;2;1;false;467;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;2;_to_be_written_;1;5;1;false;730;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;1;_to_be_written_;1;2;1;false;796;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;_to_be_written_;1;4;1;false;808;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;_to_be_written_;1;4;1;false;830;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;2;_to_be_written_;1;1;1;true;452;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;2;_to_be_written_;1;5;1;false;794;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;2;_to_be_written_;1;5;1;false;794;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;0;_to_be_written_;1;3;1;false;672;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;2;_to_be_written_;1;5;1;false;844;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;1;_to_be_written_;1;2;1;false;1088;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;2;_to_be_written_;1;5;1;false;740;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;2;_to_be_written_;1;5;1;false;733;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;0;_to_be_written_;1;3;1;false;1514;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;1;_to_be_written_;1;2;1;false;502;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;0;_to_be_written_;1;3;1;false;606;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;2;_to_be_written_;1;5;1;false;727;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;1;_to_be_written_;1;2;1;false;647;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;1;_to_be_written_;1;2;1;false;814;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;2;_to_be_written_;1;5;1;false;970;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;2;_to_be_written_;1;1;1;true;934;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;_to_be_written_;1;4;1;false;854;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;_to_be_written_;1;4;1;false;742;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;_to_be_written_;1;4;1;false;682;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;2;_to_be_written_;1;1;1;true;1028;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;1;_to_be_written_;1;2;1;false;646;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;1;_to_be_written_;1;4;1;false;738;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;2;_to_be_written_;1;1;1;true;723;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;_to_be_written_;1;4;1;false;965;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;1;_to_be_written_;1;2;1;false;522;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;0;_to_be_written_;1;3;1;false;590;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;0;_to_be_written_;1;3;1;false;655;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;_to_be_written_;1;4;1;false;963;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;1;_to_be_written_;1;2;1;false;591;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;0;_to_be_written_;1;3;1;false;925;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;2;_to_be_written_;1;5;1;false;787;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;0;_to_be_written_;1;3;1;false;474;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;1;_to_be_written_;1;2;1;false;478;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;2;_to_be_written_;1;1;1;true;847;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;_to_be_written_;1;4;1;false;768;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;2;_to_be_written_;1;5;1;false;1175;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;2;_to_be_written_;1;1;1;true;995;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;0;_to_be_written_;1;3;1;false;580;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;_to_be_written_;1;4;1;false;661;
