"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Feedback;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;14;6;_to_be_written_;1;14;1;false;2599;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;11;3;_to_be_written_;1;11;1;false;2709;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;3;_to_be_written_;1;5;1;false;1455;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;5;_to_be_written_;1;3;1;false;855;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;12;4;_to_be_written_;1;12;1;false;1897;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;5;_to_be_written_;1;3;1;false;626;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;14;6;_to_be_written_;1;14;1;false;2478;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;12;4;_to_be_written_;1;12;1;false;2259;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;12;4;_to_be_written_;1;12;1;false;2139;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;15;7;_to_be_written_;1;15;1;false;3341;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;1;_to_be_written_;1;9;1;false;4324;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;12;4;_to_be_written_;1;12;1;false;1974;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;3;_to_be_written_;1;5;1;false;937;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;14;6;_to_be_written_;1;14;1;false;2565;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;15;7;_to_be_written_;1;15;1;false;2825;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;14;6;_to_be_written_;1;14;1;false;1848;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;6;_to_be_written_;1;2;1;false;850;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;7;_to_be_written_;1;1;1;true;783;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;15;7;_to_be_written_;1;15;1;false;2300;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;1;_to_be_written_;1;9;1;false;4336;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;5;_to_be_written_;1;3;1;false;2508;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;6;_to_be_written_;1;2;1;false;607;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;13;5;_to_be_written_;1;13;1;false;2991;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;10;2;_to_be_written_;1;10;1;false;2265;
