"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Feedback;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;_to_be_written_;1;2;1;false;672;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;_to_be_written_;1;5;1;false;1151;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;6;1;_to_be_written_;1;6;1;false;1025;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;2;_to_be_written_;1;3;1;false;2189;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";9;1;4;_to_be_written_;1;1;1;true;585;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;5;0;_to_be_written_;1;5;1;false;1478;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";3;6;1;_to_be_written_;1;6;1;false;1520;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;0;_to_be_written_;1;5;1;false;1252;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;8;3;_to_be_written_;1;8;1;false;2087;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;8;3;_to_be_written_;1;8;1;false;2036;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;4;1;_to_be_written_;1;4;1;false;1444;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;2;3;_to_be_written_;1;2;1;false;795;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;_to_be_written_;1;8;1;false;1929;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;_to_be_written_;1;5;1;false;1297;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;8;3;_to_be_written_;1;8;1;false;1590;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;2;_to_be_written_;1;7;1;false;1570;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;2;3;_to_be_written_;1;2;1;false;778;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";7;1;4;_to_be_written_;1;1;1;true;488;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;9;4;_to_be_written_;1;9;1;false;1859;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;_to_be_written_;1;1;1;true;558;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;3;_to_be_written_;1;8;1;false;2235;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";1;4;1;_to_be_written_;1;4;1;false;718;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";10;7;2;_to_be_written_;1;7;1;false;2044;
