"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;1;10;1;false;711;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;3;1;5;1;false;581;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;1;10;1;false;1689;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;9;1;false;1305;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;4;1;false;763;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;7;1;false;1627;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;10;1;false;765;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;1;4;1;false;625;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;9;1;false;785;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;2;1;false;640;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;5;1;false;599;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;3;1;false;712;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;10;1;false;686;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;7;1;false;822;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;1;4;1;false;1094;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;8;1;false;776;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;1;4;1;false;853;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;1;7;1;false;1543;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;1;4;1;false;646;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;7;1;false;894;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;1;2;1;false;797;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;1;1;true;677;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;1;2;1;false;667;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;8;1;false;1002;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;1;9;1;false;877;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;1;10;1;false;787;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;2;1;false;729;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;1;6;1;false;1048;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;1;7;1;false;704;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;1;9;1;false;722;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;1;9;1;false;784;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;1;5;1;false;772;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;1;4;1;false;682;
