"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;1;1;10;1;false;1365;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;0;1;7;1;false;1126;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;4;1;false;2858;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;10;1;false;2472;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;1;6;1;false;1593;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;1;10;1;false;1229;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;2;1;4;1;false;1680;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;2;1;false;797;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;1;1;8;1;false;1178;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;4;1;false;1035;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;2;1;8;1;false;2904;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;1;1;true;1004;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;1;10;1;false;2796;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;3;1;5;1;false;1079;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;1;1;true;1183;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;1;1;1;true;953;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;1;9;1;false;756;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;1;2;1;false;1026;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;0;1;7;1;false;1539;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;1;8;1;false;1004;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;1;1;8;1;false;1218;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;1;8;1;false;2253;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;8;1;false;859;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;0;1;4;1;false;1587;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;3;1;7;1;false;1052;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;6;1;1;2;1;false;1015;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;1;9;1;false;3387;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;9;1;false;949;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;1;3;1;false;1368;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;1;9;1;false;3523;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;8;1;false;927;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;1;9;1;false;1815;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;1;3;1;false;1060;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;1;6;1;false;957;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;3;1;6;1;false;1731;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;2;1;false;1100;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;1;8;1;false;972;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;3;1;1;1;true;910;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;1;9;1;false;664;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;1;8;1;false;1043;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;5;1;false;1586;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;1;5;1;false;1495;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;1;9;1;false;4995;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;1;10;1;false;1151;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;1;3;1;false;2255;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;1;9;1;false;911;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;7;1;false;1796;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;1;3;1;false;1107;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;0;1;4;1;false;1081;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;1;6;1;false;2026;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;1;6;1;false;2343;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;1;6;1;false;2648;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;3;1;10;1;false;1356;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;1;2;1;false;1229;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;1;10;1;false;749;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;2;1;5;1;false;926;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;1;8;1;false;1147;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;1;4;1;false;985;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;1;10;1;false;855;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;1;3;1;false;1237;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;10;1;false;1164;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;2;1;false;1011;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;8;1;false;3769;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;1;1;2;1;false;1912;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;6;1;false;1026;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;3;1;10;1;false;1541;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;5;1;false;930;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;1;4;1;false;1584;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;1;10;1;false;850;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;2;1;10;1;false;1490;
