"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;10;1;false;1189;
"undefined";"undefined";"undefined";"undefined";5;5;0;1;7;1;false;1009;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;4;1;false;1393;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;10;1;false;891;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;6;1;false;809;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;10;1;false;841;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;4;1;false;1010;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;2;1;false;680;
"undefined";"undefined";"undefined";"undefined";5;4;1;1;8;1;false;907;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;4;1;false;849;
"undefined";"undefined";"undefined";"undefined";5;7;2;1;8;1;false;754;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;1;1;true;721;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;10;1;false;888;
"undefined";"undefined";"undefined";"undefined";5;8;3;1;5;1;false;761;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;1;1;true;881;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;1;1;true;1092;
"undefined";"undefined";"undefined";"undefined";5;1;4;1;9;1;false;1119;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;2;1;false;907;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;7;1;false;1131;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;8;1;false;1291;
"undefined";"undefined";"undefined";"undefined";5;4;1;1;8;1;false;1133;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;8;1;false;1225;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;8;1;false;1063;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;4;1;false;1110;
"undefined";"undefined";"undefined";"undefined";5;8;3;1;7;1;false;1230;
"undefined";"undefined";"undefined";"undefined";5;6;1;1;2;1;false;984;
"undefined";"undefined";"undefined";"undefined";5;1;4;1;9;1;false;898;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;9;1;false;850;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;3;1;false;1191;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;9;1;false;1153;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;8;1;false;814;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;9;1;false;808;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;3;1;false;799;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;6;1;false;763;
"undefined";"undefined";"undefined";"undefined";5;2;3;1;6;1;false;809;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;2;1;false;789;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;8;1;false;891;
"undefined";"undefined";"undefined";"undefined";5;8;3;1;1;1;true;920;
"undefined";"undefined";"undefined";"undefined";5;9;4;1;9;1;false;726;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;8;1;false;956;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;5;1;false;1030;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;5;1;false;734;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;9;1;false;1537;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;10;1;false;949;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;3;1;false;1087;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;9;1;false;714;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;7;1;false;998;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;3;1;false;999;
"undefined";"undefined";"undefined";"undefined";5;5;0;1;4;1;false;893;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;6;1;false;1372;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;6;1;false;1014;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;6;1;false;959;
"undefined";"undefined";"undefined";"undefined";5;2;3;1;10;1;false;1111;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;2;1;false;910;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;10;1;false;995;
"undefined";"undefined";"undefined";"undefined";5;3;2;1;5;1;false;1008;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;8;1;false;882;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;4;1;false;1126;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;10;1;false;1142;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;3;1;false;1614;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;10;1;false;900;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;2;1;false;994;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;8;1;false;1294;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;2;1;false;927;
