"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Chain_Length;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;4;1;1;1;true;738;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;4;2;1;5;1;false;884;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;4;1;1;5;1;false;918;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;4;3;1;6;1;false;873;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;4;2;1;10;1;false;1128;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;4;1;1;1;true;962;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;1;4;1;false;1189;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;4;1;2;1;false;698;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;4;2;1;6;1;false;714;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;4;2;1;8;1;false;986;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;4;0;1;5;1;false;924;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;4;0;1;9;1;false;759;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;4;2;1;2;1;false;1480;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;4;1;1;2;1;false;808;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;4;1;1;5;1;false;914;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;4;3;1;5;1;false;952;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;4;1;1;3;1;false;852;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;4;3;1;3;1;false;817;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;4;1;4;1;false;732;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;3;4;2;1;9;1;false;741;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;4;0;1;10;1;false;867;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;1;4;4;1;2;1;false;722;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;4;1;1;4;1;false;731;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;5;4;0;1;7;1;false;783;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;1;9;1;false;838;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;4;1;9;1;false;650;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;4;1;1;10;1;false;1346;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;4;1;1;1;true;695;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;4;0;1;3;1;false;834;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;4;1;7;1;false;728;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;4;2;1;4;1;false;909;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;4;2;1;10;1;false;956;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;4;1;1;10;1;false;860;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;4;0;1;2;1;false;1179;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;4;4;1;1;4;1;false;724;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;4;0;1;7;1;false;801;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;4;3;1;2;1;false;665;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;4;4;1;1;2;1;false;791;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;4;1;9;1;false;725;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;4;3;1;7;1;false;791;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;4;3;1;10;1;false;752;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;4;3;1;5;1;false;830;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;4;1;3;1;false;729;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;4;1;6;1;false;650;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;4;1;2;1;false;779;
