"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Chain_Length;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;10;1;false;1100;
"undefined";"undefined";"undefined";"undefined";5;2;4;3;1;5;1;false;872;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;5;1;false;975;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;1;1;true;1271;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;2;1;false;1206;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;4;1;false;801;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;7;1;false;971;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;4;1;false;938;
"undefined";"undefined";"undefined";"undefined";5;7;4;2;1;1;1;true;907;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;7;1;false;1078;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;7;1;false;880;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;5;1;false;1123;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;7;1;false;828;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;6;1;false;588;
"undefined";"undefined";"undefined";"undefined";5;1;4;4;1;4;1;false;838;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;4;1;false;963;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;3;1;false;629;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;8;1;false;625;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;7;1;false;741;
"undefined";"undefined";"undefined";"undefined";5;4;4;1;1;6;1;false;1028;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;9;1;false;562;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;9;1;false;938;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;10;1;false;976;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;3;1;false;576;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;7;1;false;1206;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;3;1;false;677;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;2;1;false;890;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;7;1;false;1730;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;8;1;false;798;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;1;1;true;660;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;4;1;false;711;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;9;1;false;805;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;6;1;false;743;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;4;1;false;696;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;4;1;false;916;
"undefined";"undefined";"undefined";"undefined";5;7;4;2;1;5;1;false;889;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;10;1;false;888;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;5;1;false;785;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;10;1;false;600;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;9;1;false;773;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;1;2;1;false;705;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;3;1;false;874;
"undefined";"undefined";"undefined";"undefined";5;1;4;4;1;6;1;false;775;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;10;1;false;853;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;3;1;false;858;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;1;9;1;false;607;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;5;1;false;851;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;2;1;false;862;
"undefined";"undefined";"undefined";"undefined";5;8;4;3;1;7;1;false;866;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;10;1;false;537;
"undefined";"undefined";"undefined";"undefined";5;3;4;2;1;5;1;false;929;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;3;1;false;795;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;2;1;false;793;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;4;1;false;649;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;6;1;false;759;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;6;1;false;889;
"undefined";"undefined";"undefined";"undefined";5;8;4;3;1;4;1;false;738;
"undefined";"undefined";"undefined";"undefined";5;4;4;1;1;7;1;false;1080;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;4;1;false;838;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;3;1;false;832;
"undefined";"undefined";"undefined";"undefined";6;7;4;2;1;5;1;false;973;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;7;1;false;1119;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;7;1;false;905;
"undefined";"undefined";"undefined";"undefined";5;6;4;1;1;4;1;false;887;
