"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Chain_Length;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;4;1;1;4;1;false;2766;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;4;3;1;2;1;false;1973;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;4;1;9;1;false;4860;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;4;2;1;7;1;false;6685;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;4;1;9;1;false;5538;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;4;2;1;7;1;false;6727;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;4;1;1;6;1;false;10421;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;4;3;1;2;1;false;4172;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;4;1;1;1;true;1292;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;4;2;1;7;1;false;7462;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;4;3;1;8;1;false;9274;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;4;4;1;1;4;1;false;4912;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;4;1;9;1;false;8463;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;4;2;1;7;1;false;6639;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;4;3;1;2;1;false;3103;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;4;3;1;2;1;false;972;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;4;2;1;7;1;false;7450;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;4;1;1;6;1;false;5834;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;4;2;1;7;1;false;8282;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;4;0;1;5;1;false;9710;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;4;1;1;1;true;1565;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;4;1;1;6;1;false;4922;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;4;1;1;6;1;false;1566;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;4;1;9;1;false;8036;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;7;4;2;1;7;1;false;6213;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;4;1;1;1;true;1315;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;3;4;2;1;3;1;false;3078;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;4;1;1;6;1;false;4733;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;4;1;9;1;false;17299;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;8;4;3;1;8;1;false;12158;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;4;1;9;1;false;3801;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;4;1;1;6;1;false;7288;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;4;0;1;5;1;false;6261;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;3;4;2;1;3;1;false;3569;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;4;1;1;6;1;false;8060;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;4;0;1;5;1;false;6583;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;9;4;4;1;9;1;false;11997;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;9;4;4;1;9;1;false;11576;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;4;0;1;5;1;false;11723;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";5;2;4;3;1;2;1;false;3252;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;4;0;1;5;1;false;6094;
