"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Body_Lines;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;6;1;false;1452;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;1;1;true;786;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;7;1;false;1022;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;7;1;false;692;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;9;1;false;1082;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;7;1;false;1418;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;1;1;true;887;
"undefined";"undefined";"undefined";"undefined";5;3;4;2;1;10;1;false;935;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;7;1;false;1387;
"undefined";"undefined";"undefined";"undefined";5;1;4;4;1;1;1;true;788;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;10;1;false;876;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;7;1;false;1000;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;6;1;false;905;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;2;1;false;1129;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;7;1;false;859;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;2;1;false;994;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;7;1;false;817;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;8;1;false;871;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;1;1;true;859;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;8;1;false;1936;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;9;1;false;1326;
"undefined";"undefined";"undefined";"undefined";5;1;4;4;1;7;1;false;699;
"undefined";"undefined";"undefined";"undefined";5;4;4;1;1;2;1;false;1115;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;8;1;false;753;
"undefined";"undefined";"undefined";"undefined";5;6;4;1;1;4;1;false;751;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;6;1;false;1085;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;7;1;false;587;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;2;1;false;874;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;3;1;false;674;
"undefined";"undefined";"undefined";"undefined";6;7;4;2;1;9;1;false;738;
"undefined";"undefined";"undefined";"undefined";5;6;4;1;1;5;1;false;695;
"undefined";"undefined";"undefined";"undefined";5;7;4;2;1;1;1;true;671;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;8;1;false;550;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;6;1;false;788;
"undefined";"undefined";"undefined";"undefined";5;8;4;3;1;2;1;false;653;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;7;1;false;730;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;4;1;false;1512;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;1;1;true;2169;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;6;1;false;1302;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;10;1;false;961;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;8;1;false;1350;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;4;1;false;731;
"undefined";"undefined";"undefined";"undefined";5;6;4;1;1;10;1;false;732;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;4;1;false;1123;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;1;6;1;false;606;
"undefined";"undefined";"undefined";"undefined";4;9;4;4;1;5;1;false;733;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;5;1;false;716;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;8;1;false;620;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;4;1;false;750;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;9;1;false;1687;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;4;1;false;1237;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;10;1;false;1101;
"undefined";"undefined";"undefined";"undefined";5;3;4;2;1;3;1;false;890;
"undefined";"undefined";"undefined";"undefined";5;4;4;1;1;7;1;false;1195;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;4;1;false;627;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;4;1;false;859;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;2;1;false;724;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;4;1;false;1900;
