"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Empty_Lines;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";6;8;0;3;1;9;1;false;691;
"undefined";"undefined";"undefined";"undefined";4;8;3;3;1;2;1;false;793;
"undefined";"undefined";"undefined";"undefined";4;8;1;3;1;1;1;true;513;
"undefined";"undefined";"undefined";"undefined";8;3;1;2;1;4;1;false;505;
"undefined";"undefined";"undefined";"undefined";8;3;1;2;1;5;1;false;482;
"undefined";"undefined";"undefined";"undefined";8;2;2;3;1;3;1;false;589;
"undefined";"undefined";"undefined";"undefined";8;1;0;4;1;9;1;false;494;
"undefined";"undefined";"undefined";"undefined";6;7;3;2;1;10;1;false;690;
"undefined";"undefined";"undefined";"undefined";2;2;2;3;1;5;1;false;715;
"undefined";"undefined";"undefined";"undefined";4;2;3;3;1;9;1;false;745;
"undefined";"undefined";"undefined";"undefined";4;7;1;2;1;9;1;false;558;
"undefined";"undefined";"undefined";"undefined";8;2;0;3;1;9;1;false;517;
"undefined";"undefined";"undefined";"undefined";8;1;2;4;1;2;1;false;491;
"undefined";"undefined";"undefined";"undefined";8;8;3;3;1;8;1;false;523;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;1;2;1;false;918;
"undefined";"undefined";"undefined";"undefined";2;7;1;2;1;1;1;true;739;
"undefined";"undefined";"undefined";"undefined";8;2;3;3;1;8;1;false;637;
"undefined";"undefined";"undefined";"undefined";2;7;2;2;1;7;1;false;905;
"undefined";"undefined";"undefined";"undefined";2;7;2;2;1;6;1;false;879;
"undefined";"undefined";"undefined";"undefined";2;1;2;4;1;8;1;false;670;
"undefined";"undefined";"undefined";"undefined";2;8;0;3;1;5;1;false;1010;
"undefined";"undefined";"undefined";"undefined";2;8;2;3;1;1;1;true;658;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;1;1;1;true;684;
"undefined";"undefined";"undefined";"undefined";8;8;0;3;1;6;1;false;522;
"undefined";"undefined";"undefined";"undefined";8;3;0;2;1;7;1;false;615;
"undefined";"undefined";"undefined";"undefined";4;2;2;3;1;7;1;false;639;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;1;8;1;false;969;
"undefined";"undefined";"undefined";"undefined";6;6;3;1;1;4;1;false;769;
"undefined";"undefined";"undefined";"undefined";6;2;1;3;1;7;1;false;617;
"undefined";"undefined";"undefined";"undefined";6;8;2;3;1;1;1;true;658;
"undefined";"undefined";"undefined";"undefined";6;5;3;0;1;8;1;false;659;
"undefined";"undefined";"undefined";"undefined";2;7;1;2;1;4;1;false;848;
"undefined";"undefined";"undefined";"undefined";4;5;1;0;1;6;1;false;851;
"undefined";"undefined";"undefined";"undefined";4;8;2;3;1;5;1;false;702;
"undefined";"undefined";"undefined";"undefined";4;2;1;3;1;8;1;false;737;
"undefined";"undefined";"undefined";"undefined";4;1;2;4;1;8;1;false;653;
"undefined";"undefined";"undefined";"undefined";8;7;2;2;1;6;1;false;632;
"undefined";"undefined";"undefined";"undefined";4;3;0;2;1;4;1;false;699;
"undefined";"undefined";"undefined";"undefined";6;8;1;3;1;7;1;false;620;
"undefined";"undefined";"undefined";"undefined";8;9;3;4;1;4;1;false;630;
"undefined";"undefined";"undefined";"undefined";8;3;3;2;1;8;1;false;785;
"undefined";"undefined";"undefined";"undefined";6;4;2;1;1;5;1;false;715;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;1;2;1;false;599;
"undefined";"undefined";"undefined";"undefined";8;8;1;3;1;10;1;false;507;
"undefined";"undefined";"undefined";"undefined";6;5;0;0;1;10;1;false;620;
"undefined";"undefined";"undefined";"undefined";8;2;1;3;1;2;1;false;597;
"undefined";"undefined";"undefined";"undefined";2;1;0;4;1;9;1;false;778;
"undefined";"undefined";"undefined";"undefined";8;8;1;3;1;8;1;false;515;
"undefined";"undefined";"undefined";"undefined";8;8;0;3;1;4;1;false;597;
"undefined";"undefined";"undefined";"undefined";4;6;0;1;1;4;1;false;644;
"undefined";"undefined";"undefined";"undefined";2;7;3;2;1;2;1;false;1065;
"undefined";"undefined";"undefined";"undefined";6;4;0;1;1;8;1;false;620;
"undefined";"undefined";"undefined";"undefined";4;2;2;3;1;1;1;true;1097;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;1;9;1;false;657;
"undefined";"undefined";"undefined";"undefined";6;9;3;4;1;4;1;false;593;
"undefined";"undefined";"undefined";"undefined";4;5;2;0;1;3;1;false;677;
"undefined";"undefined";"undefined";"undefined";4;2;1;3;1;1;1;true;556;
"undefined";"undefined";"undefined";"undefined";4;3;3;2;1;5;1;false;675;
"undefined";"undefined";"undefined";"undefined";4;4;0;1;1;4;1;false;797;
"undefined";"undefined";"undefined";"undefined";4;7;2;2;1;3;1;false;675;
"undefined";"undefined";"undefined";"undefined";8;7;3;2;1;7;1;false;702;
"undefined";"undefined";"undefined";"undefined";8;2;2;3;1;8;1;false;569;
"undefined";"undefined";"undefined";"undefined";2;1;1;4;1;2;1;false;594;
"undefined";"undefined";"undefined";"undefined";6;6;2;1;1;4;1;false;634;
"undefined";"undefined";"undefined";"undefined";4;7;0;2;1;6;1;false;565;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;6;1;false;554;
"undefined";"undefined";"undefined";"undefined";8;5;3;0;1;7;1;false;648;
"undefined";"undefined";"undefined";"undefined";6;1;2;4;1;6;1;false;586;
"undefined";"undefined";"undefined";"undefined";2;2;2;3;1;9;1;false;707;
"undefined";"undefined";"undefined";"undefined";2;9;1;4;1;4;1;false;621;
"undefined";"undefined";"undefined";"undefined";4;7;0;2;1;5;1;false;545;
"undefined";"undefined";"undefined";"undefined";6;1;0;4;1;3;1;false;538;
"undefined";"undefined";"undefined";"undefined";2;7;3;2;1;3;1;false;965;
"undefined";"undefined";"undefined";"undefined";4;2;2;3;1;9;1;false;628;
"undefined";"undefined";"undefined";"undefined";2;9;2;4;1;4;1;false;578;
"undefined";"undefined";"undefined";"undefined";8;1;1;4;1;4;1;false;540;
"undefined";"undefined";"undefined";"undefined";2;8;3;3;1;6;1;false;671;
"undefined";"undefined";"undefined";"undefined";2;8;1;3;1;6;1;false;609;
"undefined";"undefined";"undefined";"undefined";6;5;2;0;1;9;1;false;579;
"undefined";"undefined";"undefined";"undefined";6;4;3;1;1;10;1;false;591;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;1;3;1;false;846;
"undefined";"undefined";"undefined";"undefined";6;6;3;1;1;7;1;false;723;
"undefined";"undefined";"undefined";"undefined";8;6;2;1;1;1;1;true;573;
"undefined";"undefined";"undefined";"undefined";4;6;0;1;1;2;1;false;611;
"undefined";"undefined";"undefined";"undefined";4;2;0;3;1;2;1;false;755;
"undefined";"undefined";"undefined";"undefined";8;7;3;2;1;9;1;false;601;
"undefined";"undefined";"undefined";"undefined";6;5;2;0;1;4;1;false;602;
"undefined";"undefined";"undefined";"undefined";8;9;3;4;1;10;1;false;594;
"undefined";"undefined";"undefined";"undefined";2;8;3;3;1;4;1;false;609;
"undefined";"undefined";"undefined";"undefined";8;5;0;0;1;3;1;false;608;
