"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;4;1;false;996;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;3;1;false;868;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;8;1;false;1789;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;6;1;false;1000;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;3;1;false;1381;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;10;1;false;1059;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;1;1;true;1043;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;6;1;false;909;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;8;1;false;1290;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;5;1;false;801;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;5;1;false;749;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;4;1;false;970;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;1;1;true;799;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;7;1;false;742;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;6;1;false;1069;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;6;1;false;968;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;2;1;false;977;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;9;1;false;794;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;9;1;false;684;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;1;1;true;990;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;1;1;true;910;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;10;1;false;1065;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;6;1;false;1102;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;7;1;false;914;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;3;1;false;820;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;9;1;false;782;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;1;1;true;829;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;8;1;false;1355;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;8;1;false;965;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;9;1;false;922;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;7;1;false;1080;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;5;1;false;991;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;7;1;false;863;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;5;1;false;741;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;8;1;false;1016;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;10;1;false;849;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;6;1;false;1073;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;10;1;false;727;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;3;1;false;604;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;1;1;true;881;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;3;1;false;924;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;10;1;false;884;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;10;1;false;854;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;2;1;false;1069;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;8;1;false;894;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;10;1;false;851;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;8;1;false;880;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;4;1;false;879;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;4;1;false;849;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;2;1;false;643;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;2;1;false;812;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;3;1;false;711;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;9;1;false;723;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;5;1;false;769;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;10;1;false;966;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;6;1;false;1059;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;6;1;false;624;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;2;1;false;998;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;4;1;false;804;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;2;1;false;1226;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;6;1;false;760;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;6;1;false;743;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;1;1;true;596;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;1;1;true;869;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;3;1;false;2515;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;8;1;false;840;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;3;1;false;712;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;6;1;false;775;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;6;1;false;1053;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;5;1;false;759;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;5;1;false;1115;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;5;1;false;888;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;10;1;false;953;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;1;1;true;855;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;4;1;false;911;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;5;1;false;856;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;7;1;false;765;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;10;1;false;795;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;1;1;true;934;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;4;1;false;1619;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;3;1;false;1108;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;4;1;false;1041;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;7;1;false;933;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;1;1;true;1039;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;5;1;false;1355;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;8;1;false;993;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;9;1;false;1032;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;9;1;false;894;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;5;1;false;821;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;1;1;true;867;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;2;1;false;929;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;1;1;true;891;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;7;1;false;1022;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;5;1;false;966;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;9;1;false;1155;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;10;1;false;950;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;2;1;false;852;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;5;1;false;1003;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;6;1;false;1132;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;6;1;false;1135;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;1;1;true;753;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;4;1;false;782;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;1;1;true;930;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;4;1;false;972;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;8;1;false;942;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;10;1;false;1156;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;1;1;true;961;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;4;1;false;900;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;2;1;false;1122;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;10;1;false;901;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;8;1;false;955;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;3;1;false;753;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;2;1;false;825;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;1;1;true;1037;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;6;1;false;1673;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;7;1;false;807;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;1;1;true;1157;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;10;1;false;1054;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;4;1;false;873;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;3;1;false;971;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;10;1;false;904;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;1;1;true;909;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;4;1;false;847;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;3;1;false;1048;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;9;1;false;955;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;6;1;false;1047;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;8;1;false;982;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;2;1;false;678;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;7;1;false;883;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;3;1;false;938;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;9;1;false;805;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;8;1;false;920;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;6;1;false;776;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;3;1;false;709;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;1;1;true;898;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;3;1;false;890;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;4;1;false;930;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;4;1;false;854;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;7;1;false;1102;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;3;1;false;813;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;7;1;false;858;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;10;1;false;927;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;6;1;false;2418;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;8;1;false;804;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;10;1;false;1070;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;7;1;false;919;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;2;1;false;1321;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;3;1;false;1107;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;3;1;false;1034;
