"Age";"Status";"Studies";"YearsOfExperience";Length;Position;Row;Density;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";0;0;2;23;1;3;1;false;514;
"undefined";"undefined";"undefined";"undefined";20;0;2;17;1;3;1;false;500;
"undefined";"undefined";"undefined";"undefined";20;100;0;24;1;1;1;true;517;
"undefined";"undefined";"undefined";"undefined";0;50;3;48;1;4;1;false;596;
"undefined";"undefined";"undefined";"undefined";20;50;6;34;1;7;1;false;917;
"undefined";"undefined";"undefined";"undefined";0;75;5;48;1;6;1;false;613;
"undefined";"undefined";"undefined";"undefined";20;15;0;6;1;1;1;true;508;
"undefined";"undefined";"undefined";"undefined";20;75;7;27;1;8;1;false;747;
"undefined";"undefined";"undefined";"undefined";20;50;1;27;1;2;1;false;644;
"undefined";"undefined";"undefined";"undefined";0;0;2;23;1;3;1;false;730;
"undefined";"undefined";"undefined";"undefined";0;75;2;41;1;3;1;false;619;
"undefined";"undefined";"undefined";"undefined";0;100;3;21;1;4;1;false;487;
"undefined";"undefined";"undefined";"undefined";20;100;8;10;1;9;1;false;581;
"undefined";"undefined";"undefined";"undefined";20;15;6;27;1;7;1;false;507;
"undefined";"undefined";"undefined";"undefined";20;100;7;17;1;8;1;false;545;
"undefined";"undefined";"undefined";"undefined";20;75;9;13;1;10;1;false;550;
"undefined";"undefined";"undefined";"undefined";20;100;9;3;1;10;1;false;631;
"undefined";"undefined";"undefined";"undefined";20;50;3;34;1;4;1;false;850;
"undefined";"undefined";"undefined";"undefined";0;100;2;18;1;3;1;false;491;
"undefined";"undefined";"undefined";"undefined";20;0;9;24;1;10;1;false;621;
"undefined";"undefined";"undefined";"undefined";0;100;5;21;1;6;1;false;471;
"undefined";"undefined";"undefined";"undefined";0;15;5;48;1;6;1;false;841;
"undefined";"undefined";"undefined";"undefined";0;15;4;48;1;5;1;false;545;
"undefined";"undefined";"undefined";"undefined";0;15;4;48;1;5;1;false;558;
"undefined";"undefined";"undefined";"undefined";0;0;6;27;1;7;1;false;530;
"undefined";"undefined";"undefined";"undefined";20;75;6;34;1;7;1;false;718;
"undefined";"undefined";"undefined";"undefined";20;50;2;34;1;3;1;false;697;
"undefined";"undefined";"undefined";"undefined";0;50;9;27;1;10;1;false;654;
"undefined";"undefined";"undefined";"undefined";20;75;4;34;1;5;1;false;756;
"undefined";"undefined";"undefined";"undefined";20;50;5;34;1;6;1;false;906;
"undefined";"undefined";"undefined";"undefined";0;100;2;18;1;3;1;false;544;
"undefined";"undefined";"undefined";"undefined";0;75;2;41;1;3;1;false;679;
"undefined";"undefined";"undefined";"undefined";0;75;8;34;1;9;1;false;640;
"undefined";"undefined";"undefined";"undefined";20;75;4;34;1;5;1;false;915;
"undefined";"undefined";"undefined";"undefined";0;0;4;27;1;5;1;false;646;
"undefined";"undefined";"undefined";"undefined";20;50;0;20;1;1;1;true;578;
"undefined";"undefined";"undefined";"undefined";0;15;8;34;1;9;1;false;642;
"undefined";"undefined";"undefined";"undefined";0;75;4;48;1;5;1;false;657;
"undefined";"undefined";"undefined";"undefined";0;75;0;27;1;1;1;true;539;
"undefined";"undefined";"undefined";"undefined";0;100;6;21;1;7;1;false;467;
"undefined";"undefined";"undefined";"undefined";20;75;1;34;1;2;1;false;545;
"undefined";"undefined";"undefined";"undefined";0;15;1;34;1;2;1;false;629;
"undefined";"undefined";"undefined";"undefined";20;50;9;20;1;10;1;false;799;
"undefined";"undefined";"undefined";"undefined";20;75;3;34;1;4;1;false;612;
"undefined";"undefined";"undefined";"undefined";20;100;0;24;1;1;1;true;488;
"undefined";"undefined";"undefined";"undefined";20;50;3;34;1;4;1;false;925;
"undefined";"undefined";"undefined";"undefined";0;0;5;27;1;6;1;false;529;
"undefined";"undefined";"undefined";"undefined";0;15;6;48;1;7;1;false;581;
"undefined";"undefined";"undefined";"undefined";20;75;4;34;1;5;1;false;646;
"undefined";"undefined";"undefined";"undefined";20;75;5;34;1;6;1;false;610;
"undefined";"undefined";"undefined";"undefined";0;50;8;34;1;9;1;false;658;
