"Age";"Status";"Studies";"YearsOfExperience";Length;Segment;Row;Density;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";20;2;6;34;1;7;1;false;899;
"undefined";"undefined";"undefined";"undefined";20;3;1;34;1;2;1;false;749;
"undefined";"undefined";"undefined";"undefined";0;3;7;34;1;8;1;false;667;
"undefined";"undefined";"undefined";"undefined";0;0;0;27;1;1;1;true;623;
"undefined";"undefined";"undefined";"undefined";20;2;3;34;1;4;1;false;836;
"undefined";"undefined";"undefined";"undefined";0;0;1;34;1;2;1;false;541;
"undefined";"undefined";"undefined";"undefined";0;4;1;34;1;2;1;false;556;
"undefined";"undefined";"undefined";"undefined";20;2;2;34;1;3;1;false;744;
"undefined";"undefined";"undefined";"undefined";0;4;1;34;1;2;1;false;589;
"undefined";"undefined";"undefined";"undefined";20;4;0;27;1;1;1;true;491;
"undefined";"undefined";"undefined";"undefined";20;4;7;11;1;8;1;false;610;
"undefined";"undefined";"undefined";"undefined";0;4;4;48;1;5;1;false;587;
"undefined";"undefined";"undefined";"undefined";20;1;1;21;1;2;1;false;639;
"undefined";"undefined";"undefined";"undefined";20;2;4;34;1;5;1;false;614;
"undefined";"undefined";"undefined";"undefined";20;2;8;20;1;9;1;false;811;
"undefined";"undefined";"undefined";"undefined";0;4;1;34;1;2;1;false;557;
"undefined";"undefined";"undefined";"undefined";0;2;3;48;1;4;1;false;810;
"undefined";"undefined";"undefined";"undefined";0;4;3;48;1;4;1;false;571;
"undefined";"undefined";"undefined";"undefined";20;3;7;23;1;8;1;false;929;
"undefined";"undefined";"undefined";"undefined";20;3;8;13;1;9;1;false;707;
"undefined";"undefined";"undefined";"undefined";20;2;2;34;1;3;1;false;948;
"undefined";"undefined";"undefined";"undefined";0;4;0;23;1;1;1;true;626;
"undefined";"undefined";"undefined";"undefined";20;1;2;27;1;3;1;false;752;
"undefined";"undefined";"undefined";"undefined";0;3;0;27;1;1;1;true;556;
"undefined";"undefined";"undefined";"undefined";0;1;1;34;1;2;1;false;685;
"undefined";"undefined";"undefined";"undefined";20;4;2;27;1;3;1;false;568;
"undefined";"undefined";"undefined";"undefined";20;1;2;27;1;3;1;false;607;
"undefined";"undefined";"undefined";"undefined";20;0;4;27;1;5;1;false;475;
"undefined";"undefined";"undefined";"undefined";0;2;1;34;1;2;1;false;661;
"undefined";"undefined";"undefined";"undefined";20;1;2;27;1;3;1;false;608;
"undefined";"undefined";"undefined";"undefined";20;0;3;26;1;4;1;false;517;
"undefined";"undefined";"undefined";"undefined";20;2;5;34;1;6;1;false;732;
"undefined";"undefined";"undefined";"undefined";20;2;3;34;1;4;1;false;819;
"undefined";"undefined";"undefined";"undefined";20;2;6;34;1;7;1;false;822;
"undefined";"undefined";"undefined";"undefined";0;2;5;48;1;6;1;false;757;
"undefined";"undefined";"undefined";"undefined";20;3;4;31;1;5;1;false;592;
"undefined";"undefined";"undefined";"undefined";0;2;3;48;1;4;1;false;746;
"undefined";"undefined";"undefined";"undefined";0;0;3;27;1;4;1;false;618;
"undefined";"undefined";"undefined";"undefined";0;0;1;34;1;2;1;false;570;
"undefined";"undefined";"undefined";"undefined";0;3;7;34;1;8;1;false;664;
"undefined";"undefined";"undefined";"undefined";20;2;7;27;1;8;1;false;852;
"undefined";"undefined";"undefined";"undefined";0;3;3;48;1;4;1;false;650;
"undefined";"undefined";"undefined";"undefined";0;0;5;48;1;6;1;false;717;
"undefined";"undefined";"undefined";"undefined";20;2;1;28;1;2;1;false;655;
"undefined";"undefined";"undefined";"undefined";0;4;3;48;1;4;1;false;599;
"undefined";"undefined";"undefined";"undefined";20;2;5;34;1;6;1;false;784;
"undefined";"undefined";"undefined";"undefined";0;2;4;48;1;5;1;false;713;
"undefined";"undefined";"undefined";"undefined";20;0;8;27;1;9;1;false;600;
"undefined";"undefined";"undefined";"undefined";0;3;7;34;1;8;1;false;634;
"undefined";"undefined";"undefined";"undefined";20;4;3;25;1;4;1;false;513;
"undefined";"undefined";"undefined";"undefined";0;3;2;41;1;3;1;false;879;
"undefined";"undefined";"undefined";"undefined";0;0;7;19;1;8;1;false;1057;
"undefined";"undefined";"undefined";"undefined";0;4;7;34;1;8;1;false;577;
"undefined";"undefined";"undefined";"undefined";20;3;6;27;1;7;1;false;669;
"undefined";"undefined";"undefined";"undefined";20;4;2;27;1;3;1;false;559;
"undefined";"undefined";"undefined";"undefined";0;4;6;41;1;7;1;false;617;
"undefined";"undefined";"undefined";"undefined";20;4;6;20;1;7;1;false;767;
"undefined";"undefined";"undefined";"undefined";0;3;0;27;1;1;1;true;604;
"undefined";"undefined";"undefined";"undefined";20;4;2;27;1;3;1;false;627;
"undefined";"undefined";"undefined";"undefined";20;4;5;27;1;6;1;false;613;
"undefined";"undefined";"undefined";"undefined";0;1;0;27;1;1;1;true;710;
"undefined";"undefined";"undefined";"undefined";0;3;2;41;1;3;1;false;730;
"undefined";"undefined";"undefined";"undefined";20;1;7;34;1;8;1;false;744;
"undefined";"undefined";"undefined";"undefined";20;0;1;13;1;2;1;false;636;
"undefined";"undefined";"undefined";"undefined";20;0;5;28;1;6;1;false;624;
"undefined";"undefined";"undefined";"undefined";0;3;1;34;1;2;1;false;652;
"undefined";"undefined";"undefined";"undefined";20;0;4;27;1;5;1;false;600;
"undefined";"undefined";"undefined";"undefined";0;2;2;41;1;3;1;false;863;
"undefined";"undefined";"undefined";"undefined";20;4;7;13;1;8;1;false;667;
"undefined";"undefined";"undefined";"undefined";20;0;8;27;1;9;1;false;731;
"undefined";"undefined";"undefined";"undefined";0;2;2;41;1;3;1;false;817;
"undefined";"undefined";"undefined";"undefined";0;1;7;34;1;8;1;false;916;
"undefined";"undefined";"undefined";"undefined";0;0;4;41;1;5;1;false;636;
"undefined";"undefined";"undefined";"undefined";20;3;2;34;1;3;1;false;1094;
"undefined";"undefined";"undefined";"undefined";0;2;6;41;1;7;1;false;751;
"undefined";"undefined";"undefined";"undefined";0;3;3;48;1;4;1;false;738;
"undefined";"undefined";"undefined";"undefined";0;0;8;19;1;9;1;false;546;
"undefined";"undefined";"undefined";"undefined";20;2;3;34;1;4;1;false;1054;
"undefined";"undefined";"undefined";"undefined";0;1;2;41;1;3;1;false;687;
"undefined";"undefined";"undefined";"undefined";0;3;1;34;1;2;1;false;627;
"undefined";"undefined";"undefined";"undefined";0;4;6;41;1;7;1;false;582;
"undefined";"undefined";"undefined";"undefined";20;2;7;27;1;8;1;false;1003;
"undefined";"undefined";"undefined";"undefined";20;4;1;27;1;2;1;false;618;
"undefined";"undefined";"undefined";"undefined";0;0;6;41;1;7;1;false;713;
"undefined";"undefined";"undefined";"undefined";0;4;0;27;1;1;1;true;563;
"undefined";"undefined";"undefined";"undefined";0;2;5;48;1;6;1;false;945;
