"Age";"Status";"Studies";"YearsOfExperience";Length;Segment;Row;Density;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";20;2;6;33;1;7;1;false;847;
"undefined";"undefined";"undefined";"undefined";20;3;1;32;1;2;1;false;722;
"undefined";"undefined";"undefined";"undefined";0;3;7;32;1;8;1;false;1031;
"undefined";"undefined";"undefined";"undefined";0;0;0;25;1;1;1;true;593;
"undefined";"undefined";"undefined";"undefined";20;2;3;34;1;4;1;false;944;
"undefined";"undefined";"undefined";"undefined";0;0;1;33;1;2;1;false;691;
"undefined";"undefined";"undefined";"undefined";0;4;1;33;1;2;1;false;689;
"undefined";"undefined";"undefined";"undefined";20;2;2;34;1;3;1;false;869;
"undefined";"undefined";"undefined";"undefined";0;4;1;34;1;2;1;false;629;
"undefined";"undefined";"undefined";"undefined";20;4;0;27;1;1;1;true;530;
"undefined";"undefined";"undefined";"undefined";20;4;7;9;1;8;1;false;675;
"undefined";"undefined";"undefined";"undefined";0;4;4;47;1;5;1;false;843;
"undefined";"undefined";"undefined";"undefined";20;1;1;21;1;2;1;false;686;
"undefined";"undefined";"undefined";"undefined";20;2;4;32;1;5;1;false;837;
"undefined";"undefined";"undefined";"undefined";20;2;8;19;1;9;1;false;691;
"undefined";"undefined";"undefined";"undefined";0;4;1;34;1;2;1;false;627;
"undefined";"undefined";"undefined";"undefined";0;2;3;45;1;4;1;false;989;
"undefined";"undefined";"undefined";"undefined";0;4;3;46;1;4;1;false;646;
"undefined";"undefined";"undefined";"undefined";20;3;7;23;1;8;1;false;757;
"undefined";"undefined";"undefined";"undefined";20;3;8;13;1;9;1;false;629;
"undefined";"undefined";"undefined";"undefined";20;2;2;34;1;3;1;false;828;
"undefined";"undefined";"undefined";"undefined";0;4;0;21;1;1;1;true;506;
"undefined";"undefined";"undefined";"undefined";20;1;2;27;1;3;1;false;692;
"undefined";"undefined";"undefined";"undefined";0;3;0;27;1;1;1;true;623;
"undefined";"undefined";"undefined";"undefined";0;1;1;34;1;2;1;false;790;
"undefined";"undefined";"undefined";"undefined";20;4;2;27;1;3;1;false;621;
"undefined";"undefined";"undefined";"undefined";20;1;2;22;1;3;1;false;609;
"undefined";"undefined";"undefined";"undefined";20;0;4;25;1;5;1;false;583;
"undefined";"undefined";"undefined";"undefined";0;2;1;34;1;2;1;false;882;
"undefined";"undefined";"undefined";"undefined";20;1;2;24;1;3;1;false;675;
"undefined";"undefined";"undefined";"undefined";20;0;3;22;1;4;1;false;653;
"undefined";"undefined";"undefined";"undefined";20;2;5;31;1;6;1;false;804;
"undefined";"undefined";"undefined";"undefined";20;2;3;32;1;4;1;false;868;
"undefined";"undefined";"undefined";"undefined";20;2;6;32;1;7;1;false;787;
"undefined";"undefined";"undefined";"undefined";0;2;5;46;1;6;1;false;823;
"undefined";"undefined";"undefined";"undefined";20;3;4;29;1;5;1;false;719;
"undefined";"undefined";"undefined";"undefined";0;2;3;46;1;4;1;false;826;
"undefined";"undefined";"undefined";"undefined";0;0;3;24;1;4;1;false;752;
"undefined";"undefined";"undefined";"undefined";0;0;1;31;1;2;1;false;689;
"undefined";"undefined";"undefined";"undefined";0;3;7;32;1;8;1;false;876;
"undefined";"undefined";"undefined";"undefined";20;2;7;27;1;8;1;false;841;
"undefined";"undefined";"undefined";"undefined";0;3;3;48;1;4;1;false;704;
"undefined";"undefined";"undefined";"undefined";0;0;5;47;1;6;1;false;639;
"undefined";"undefined";"undefined";"undefined";20;2;1;28;1;2;1;false;1174;
"undefined";"undefined";"undefined";"undefined";0;4;3;46;1;4;1;false;678;
"undefined";"undefined";"undefined";"undefined";20;2;5;31;1;6;1;false;858;
"undefined";"undefined";"undefined";"undefined";0;2;4;44;1;5;1;false;925;
"undefined";"undefined";"undefined";"undefined";20;0;8;25;1;9;1;false;690;
"undefined";"undefined";"undefined";"undefined";0;3;7;32;1;8;1;false;814;
