"Age";"Status";"Studies";"YearsOfExperience";Segment;Row;Density;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";2;7;34;1;8;1;false;956;
"undefined";"undefined";"undefined";"undefined";4;7;33;1;8;1;false;579;
"undefined";"undefined";"undefined";"undefined";0;8;25;1;9;1;false;572;
"undefined";"undefined";"undefined";"undefined";3;0;27;1;1;1;true;581;
"undefined";"undefined";"undefined";"undefined";1;3;48;1;4;1;false;718;
"undefined";"undefined";"undefined";"undefined";1;1;34;1;2;1;false;742;
"undefined";"undefined";"undefined";"undefined";1;7;32;1;8;1;false;716;
"undefined";"undefined";"undefined";"undefined";3;2;38;1;3;1;false;652;
"undefined";"undefined";"undefined";"undefined";1;6;38;1;7;1;false;692;
"undefined";"undefined";"undefined";"undefined";0;8;26;1;9;1;false;606;
"undefined";"undefined";"undefined";"undefined";1;8;26;1;9;1;false;608;
"undefined";"undefined";"undefined";"undefined";0;6;40;1;7;1;false;613;
"undefined";"undefined";"undefined";"undefined";0;3;37;1;4;1;false;579;
"undefined";"undefined";"undefined";"undefined";3;5;46;1;6;1;false;1199;
"undefined";"undefined";"undefined";"undefined";4;7;33;1;8;1;false;561;
"undefined";"undefined";"undefined";"undefined";1;4;46;1;5;1;false;604;
"undefined";"undefined";"undefined";"undefined";0;7;17;1;8;1;false;532;
"undefined";"undefined";"undefined";"undefined";4;0;21;1;1;1;true;487;
"undefined";"undefined";"undefined";"undefined";1;1;33;1;2;1;false;728;
"undefined";"undefined";"undefined";"undefined";2;0;26;1;1;1;true;547;
"undefined";"undefined";"undefined";"undefined";3;7;32;1;8;1;false;640;
"undefined";"undefined";"undefined";"undefined";3;4;47;1;5;1;false;700;
"undefined";"undefined";"undefined";"undefined";0;4;46;1;5;1;false;561;
"undefined";"undefined";"undefined";"undefined";0;4;44;1;5;1;false;512;
"undefined";"undefined";"undefined";"undefined";2;5;43;1;6;1;false;662;
"undefined";"undefined";"undefined";"undefined";1;0;27;1;1;1;true;540;
"undefined";"undefined";"undefined";"undefined";4;0;25;1;1;1;true;480;
"undefined";"undefined";"undefined";"undefined";3;0;26;1;1;1;true;497;
"undefined";"undefined";"undefined";"undefined";4;5;46;1;6;1;false;511;
"undefined";"undefined";"undefined";"undefined";4;3;46;1;4;1;false;539;
"undefined";"undefined";"undefined";"undefined";0;6;40;1;7;1;false;803;
"undefined";"undefined";"undefined";"undefined";3;6;40;1;7;1;false;728;
"undefined";"undefined";"undefined";"undefined";3;5;45;1;6;1;false;838;
"undefined";"undefined";"undefined";"undefined";4;3;46;1;4;1;false;691;
"undefined";"undefined";"undefined";"undefined";4;6;29;1;7;1;false;659;
"undefined";"undefined";"undefined";"undefined";0;3;45;1;4;1;false;678;
"undefined";"undefined";"undefined";"undefined";3;7;33;1;8;1;false;795;
"undefined";"undefined";"undefined";"undefined";2;6;38;1;7;1;false;854;
"undefined";"undefined";"undefined";"undefined";4;6;38;1;7;1;false;798;
"undefined";"undefined";"undefined";"undefined";1;3;46;1;4;1;false;794;
"undefined";"undefined";"undefined";"undefined";3;1;31;1;2;1;false;663;
"undefined";"undefined";"undefined";"undefined";0;8;27;1;9;1;false;658;
"undefined";"undefined";"undefined";"undefined";2;7;31;1;8;1;false;721;
"undefined";"undefined";"undefined";"undefined";3;4;48;1;5;1;false;941;
"undefined";"undefined";"undefined";"undefined";1;3;46;1;4;1;false;830;
"undefined";"undefined";"undefined";"undefined";2;8;23;1;9;1;false;607;
"undefined";"undefined";"undefined";"undefined";0;1;32;1;2;1;false;647;
"undefined";"undefined";"undefined";"undefined";2;8;24;1;9;1;false;493;
"undefined";"undefined";"undefined";"undefined";1;6;39;1;7;1;false;899;
"undefined";"undefined";"undefined";"undefined";2;5;46;1;6;1;false;754;
"undefined";"undefined";"undefined";"undefined";3;2;39;1;3;1;false;988;
"undefined";"undefined";"undefined";"undefined";3;2;40;1;3;1;false;827;
"undefined";"undefined";"undefined";"undefined";2;4;44;1;5;1;false;982;
"undefined";"undefined";"undefined";"undefined";4;6;39;1;7;1;false;661;
"undefined";"undefined";"undefined";"undefined";4;2;40;1;3;1;false;735;
"undefined";"undefined";"undefined";"undefined";4;8;26;1;9;1;false;571;
"undefined";"undefined";"undefined";"undefined";1;8;25;1;9;1;false;561;
"undefined";"undefined";"undefined";"undefined";1;2;37;1;3;1;false;665;
"undefined";"undefined";"undefined";"undefined";2;6;39;1;7;1;false;831;
"undefined";"undefined";"undefined";"undefined";4;7;33;1;8;1;false;523;
"undefined";"undefined";"undefined";"undefined";1;4;45;1;5;1;false;875;
"undefined";"undefined";"undefined";"undefined";4;8;25;1;9;1;false;526;
"undefined";"undefined";"undefined";"undefined";4;4;46;1;5;1;false;685;
"undefined";"undefined";"undefined";"undefined";1;8;26;1;9;1;false;671;
"undefined";"undefined";"undefined";"undefined";4;1;34;1;2;1;false;533;
"undefined";"undefined";"undefined";"undefined";0;4;47;1;5;1;false;553;
"undefined";"undefined";"undefined";"undefined";1;5;47;1;6;1;false;576;
"undefined";"undefined";"undefined";"undefined";4;5;46;1;6;1;false;618;
"undefined";"undefined";"undefined";"undefined";3;5;48;1;6;1;false;817;
"undefined";"undefined";"undefined";"undefined";0;7;33;1;8;1;false;628;
"undefined";"undefined";"undefined";"undefined";4;3;46;1;4;1;false;782;
"undefined";"undefined";"undefined";"undefined";0;8;26;1;9;1;false;600;
"undefined";"undefined";"undefined";"undefined";4;1;33;1;2;1;false;562;
"undefined";"undefined";"undefined";"undefined";4;7;32;1;8;1;false;548;
"undefined";"undefined";"undefined";"undefined";3;1;33;1;2;1;false;798;
"undefined";"undefined";"undefined";"undefined";2;4;46;1;5;1;false;913;
"undefined";"undefined";"undefined";"undefined";4;5;46;1;6;1;false;623;
"undefined";"undefined";"undefined";"undefined";4;4;47;1;5;1;false;622;
"undefined";"undefined";"undefined";"undefined";1;0;26;1;1;1;true;604;
"undefined";"undefined";"undefined";"undefined";3;2;41;1;3;1;false;835;
"undefined";"undefined";"undefined";"undefined";1;6;39;1;7;1;false;771;
"undefined";"undefined";"undefined";"undefined";1;6;39;1;7;1;false;720;
"undefined";"undefined";"undefined";"undefined";3;1;34;1;2;1;false;738;
"undefined";"undefined";"undefined";"undefined";0;1;31;1;2;1;false;589;
