"Age";"Status";"Studies";"YearsOfExperience";Length;Segment;Row;Density;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";0;2;9;26;1;8;1;false;1840;
"undefined";"undefined";"undefined";"undefined";0;0;9;26;1;7;1;false;1066;
"undefined";"undefined";"undefined";"undefined";0;4;7;40;1;9;1;false;1914;
"undefined";"undefined";"undefined";"undefined";0;4;2;33;1;2;1;false;1918;
"undefined";"undefined";"undefined";"undefined";0;3;6;47;1;8;1;false;2966;
"undefined";"undefined";"undefined";"undefined";0;4;5;45;1;6;1;false;1273;
"undefined";"undefined";"undefined";"undefined";0;0;7;40;1;4;1;false;1112;
"undefined";"undefined";"undefined";"undefined";0;4;5;47;1;1;1;true;1800;
"undefined";"undefined";"undefined";"undefined";0;1;9;26;1;3;1;false;2281;
"undefined";"undefined";"undefined";"undefined";0;0;2;31;1;2;1;false;1599;
"undefined";"undefined";"undefined";"undefined";0;3;9;26;1;8;1;false;1415;
"undefined";"undefined";"undefined";"undefined";0;0;5;45;1;5;1;false;1558;
"undefined";"undefined";"undefined";"undefined";0;3;1;22;1;2;1;false;1543;
"undefined";"undefined";"undefined";"undefined";0;1;1;26;1;3;1;false;1923;
"undefined";"undefined";"undefined";"undefined";0;0;7;39;1;4;1;false;1041;
"undefined";"undefined";"undefined";"undefined";0;3;5;44;1;1;1;true;4200;
"undefined";"undefined";"undefined";"undefined";0;0;4;45;1;9;1;false;1869;
"undefined";"undefined";"undefined";"undefined";0;0;4;47;1;2;1;false;1273;
"undefined";"undefined";"undefined";"undefined";0;2;8;34;1;1;1;true;2854;
"undefined";"undefined";"undefined";"undefined";0;0;6;45;1;8;1;false;959;
"undefined";"undefined";"undefined";"undefined";0;1;8;34;1;1;1;true;1328;
"undefined";"undefined";"undefined";"undefined";0;2;6;44;1;8;1;false;2100;
"undefined";"undefined";"undefined";"undefined";0;1;3;41;1;3;1;false;1165;
"undefined";"undefined";"undefined";"undefined";0;2;7;40;1;1;1;true;1989;
"undefined";"undefined";"undefined";"undefined";0;0;4;45;1;2;1;false;1105;
"undefined";"undefined";"undefined";"undefined";0;4;1;27;1;6;1;false;4019;
"undefined";"undefined";"undefined";"undefined";0;0;1;25;1;2;1;false;1774;
"undefined";"undefined";"undefined";"undefined";0;3;7;41;1;3;1;false;4290;
"undefined";"undefined";"undefined";"undefined";0;1;5;45;1;5;1;false;1665;
"undefined";"undefined";"undefined";"undefined";0;0;3;38;1;1;1;true;1250;
"undefined";"undefined";"undefined";"undefined";0;4;6;43;1;9;1;false;2192;
"undefined";"undefined";"undefined";"undefined";0;2;8;33;1;5;1;false;1386;
"undefined";"undefined";"undefined";"undefined";0;3;2;34;1;2;1;false;3955;
"undefined";"undefined";"undefined";"undefined";0;0;2;32;1;2;1;false;1329;
"undefined";"undefined";"undefined";"undefined";0;3;5;44;1;4;1;false;4745;
"undefined";"undefined";"undefined";"undefined";0;1;7;36;1;5;1;false;1621;
"undefined";"undefined";"undefined";"undefined";0;3;4;45;1;9;1;false;1322;
"undefined";"undefined";"undefined";"undefined";0;3;4;45;1;6;1;false;4246;
"undefined";"undefined";"undefined";"undefined";0;1;1;25;1;2;1;false;2846;
