"Age";"Status";"Studies";"YearsOfExperience";Length;Segment;Row;Density;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";0;0;3;1;1;9;1;false;1499;
"undefined";"undefined";"undefined";"undefined";0;3;8;1;1;3;1;false;994;
"undefined";"undefined";"undefined";"undefined";0;0;9;0;1;7;1;false;6535;
"undefined";"undefined";"undefined";"undefined";0;4;2;1;1;3;1;false;1509;
"undefined";"undefined";"undefined";"undefined";0;4;9;1;1;8;1;false;1484;
"undefined";"undefined";"undefined";"undefined";0;0;2;1;1;3;1;false;764;
"undefined";"undefined";"undefined";"undefined";0;2;6;0;1;8;1;false;2120;
"undefined";"undefined";"undefined";"undefined";0;2;1;1;1;9;1;false;1354;
"undefined";"undefined";"undefined";"undefined";0;1;7;1;1;8;1;false;1231;
"undefined";"undefined";"undefined";"undefined";0;3;7;1;1;9;1;false;875;
"undefined";"undefined";"undefined";"undefined";0;0;2;1;1;8;1;false;945;
"undefined";"undefined";"undefined";"undefined";0;4;3;1;1;3;1;false;928;
"undefined";"undefined";"undefined";"undefined";0;4;1;0;1;3;1;false;1245;
"undefined";"undefined";"undefined";"undefined";0;0;8;1;1;9;1;false;1125;
"undefined";"undefined";"undefined";"undefined";0;4;6;1;1;2;1;false;845;
"undefined";"undefined";"undefined";"undefined";0;3;6;0;1;7;1;false;4140;
"undefined";"undefined";"undefined";"undefined";0;4;8;0;1;9;1;false;1668;
"undefined";"undefined";"undefined";"undefined";0;1;5;1;1;6;1;false;1187;
"undefined";"undefined";"undefined";"undefined";0;4;5;0;1;4;1;false;6784;
"undefined";"undefined";"undefined";"undefined";0;4;7;0;1;4;1;false;984;
"undefined";"undefined";"undefined";"undefined";0;1;4;1;1;3;1;false;1695;
"undefined";"undefined";"undefined";"undefined";0;3;7;0;1;1;1;true;16169;
"undefined";"undefined";"undefined";"undefined";0;2;5;1;1;1;1;true;1093;
"undefined";"undefined";"undefined";"undefined";0;4;8;0;1;2;1;false;1169;
"undefined";"undefined";"undefined";"undefined";0;2;2;1;1;6;1;false;1217;
"undefined";"undefined";"undefined";"undefined";0;1;9;0;1;2;1;false;1183;
"undefined";"undefined";"undefined";"undefined";0;4;2;0;1;2;1;false;2327;
"undefined";"undefined";"undefined";"undefined";0;0;1;0;1;1;1;true;4699;
"undefined";"undefined";"undefined";"undefined";0;2;4;1;1;1;1;true;1184;
"undefined";"undefined";"undefined";"undefined";0;4;4;0;1;8;1;false;3331;
"undefined";"undefined";"undefined";"undefined";0;1;4;0;1;7;1;false;1111;
"undefined";"undefined";"undefined";"undefined";0;1;6;0;1;3;1;false;1060;
"undefined";"undefined";"undefined";"undefined";0;3;7;1;1;5;1;false;1411;
"undefined";"undefined";"undefined";"undefined";0;4;6;0;1;9;1;false;2938;
