"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";40;4;186.0;1;1;1;true;1462;
"undefined";"undefined";"undefined";"undefined";20;4;91.0;1;6;1;false;2319;
"undefined";"undefined";"undefined";"undefined";30;5;119.0;1;9;1;false;2938;
"undefined";"undefined";"undefined";"undefined";30;6;143.0;1;7;1;false;1752;
"undefined";"undefined";"undefined";"undefined";40;6;176.0;1;7;1;false;1253;
"undefined";"undefined";"undefined";"undefined";20;6;83.0;1;6;1;false;1142;
"undefined";"undefined";"undefined";"undefined";10;7;21.0;1;7;1;false;1215;
"undefined";"undefined";"undefined";"undefined";20;4;72.0;1;2;1;false;1045;
"undefined";"undefined";"undefined";"undefined";20;8;70.0;1;9;1;false;744;
"undefined";"undefined";"undefined";"undefined";40;2;191.0;1;3;1;false;1389;
"undefined";"undefined";"undefined";"undefined";10;3;42.0;1;6;1;false;1433;
"undefined";"undefined";"undefined";"undefined";20;5;71.0;1;4;1;false;2109;
"undefined";"undefined";"undefined";"undefined";40;5;185.0;1;7;1;false;2960;
"undefined";"undefined";"undefined";"undefined";10;7;19.0;1;3;1;false;835;
"undefined";"undefined";"undefined";"undefined";20;9;77.0;1;7;1;false;721;
"undefined";"undefined";"undefined";"undefined";20;2;85.0;1;5;1;false;846;
"undefined";"undefined";"undefined";"undefined";10;3;35.0;1;7;1;false;1310;
"undefined";"undefined";"undefined";"undefined";10;1;36.0;1;8;1;false;712;
"undefined";"undefined";"undefined";"undefined";40;1;193.0;1;6;1;false;705;
"undefined";"undefined";"undefined";"undefined";10;9;17.0;1;9;1;false;636;
"undefined";"undefined";"undefined";"undefined";40;3;181.0;1;9;1;false;1323;
"undefined";"undefined";"undefined";"undefined";20;6;89.0;1;7;1;false;1140;
"undefined";"undefined";"undefined";"undefined";20;3;82.0;1;5;1;false;1150;
"undefined";"undefined";"undefined";"undefined";40;3;169.0;1;1;1;true;1111;
"undefined";"undefined";"undefined";"undefined";30;2;122.0;1;7;1;false;962;
"undefined";"undefined";"undefined";"undefined";30;9;132.0;1;2;1;false;788;
"undefined";"undefined";"undefined";"undefined";40;6;192.0;1;3;1;false;1113;
"undefined";"undefined";"undefined";"undefined";10;7;29.0;1;4;1;false;964;
"undefined";"undefined";"undefined";"undefined";20;3;71.0;1;9;1;false;1065;
"undefined";"undefined";"undefined";"undefined";40;6;171.0;1;4;1;false;2440;
"undefined";"undefined";"undefined";"undefined";40;5;176.0;1;5;1;false;3409;
"undefined";"undefined";"undefined";"undefined";30;3;124.0;1;9;1;false;1226;
"undefined";"undefined";"undefined";"undefined";40;3;187.0;1;6;1;false;3020;
"undefined";"undefined";"undefined";"undefined";20;1;76.0;1;6;1;false;707;
"undefined";"undefined";"undefined";"undefined";10;6;29.0;1;2;1;false;1866;
"undefined";"undefined";"undefined";"undefined";40;8;190.0;1;6;1;false;1028;
"undefined";"undefined";"undefined";"undefined";30;5;136.0;1;3;1;false;1453;
"undefined";"undefined";"undefined";"undefined";40;2;167.0;1;8;1;false;1178;
"undefined";"undefined";"undefined";"undefined";30;4;118.0;1;1;1;true;2205;
"undefined";"undefined";"undefined";"undefined";20;9;92.0;1;7;1;false;1344;
"undefined";"undefined";"undefined";"undefined";30;4;133.0;1;1;1;true;971;
"undefined";"undefined";"undefined";"undefined";30;8;141.0;1;4;1;false;835;
"undefined";"undefined";"undefined";"undefined";40;5;171.0;1;6;1;false;1276;
"undefined";"undefined";"undefined";"undefined";10;4;29.0;1;7;1;false;1077;
"undefined";"undefined";"undefined";"undefined";40;9;183.0;1;7;1;false;792;
"undefined";"undefined";"undefined";"undefined";30;3;128.0;1;2;1;false;2384;
"undefined";"undefined";"undefined";"undefined";40;9;193.0;1;8;1;false;914;
"undefined";"undefined";"undefined";"undefined";10;7;20.0;1;9;1;false;813;
"undefined";"undefined";"undefined";"undefined";30;5;128.0;1;2;1;false;1127;
"undefined";"undefined";"undefined";"undefined";20;4;84.0;1;4;1;false;1476;
"undefined";"undefined";"undefined";"undefined";20;1;86.0;1;1;1;true;731;
"undefined";"undefined";"undefined";"undefined";30;2;132.0;1;5;1;false;883;
"undefined";"undefined";"undefined";"undefined";40;7;184.0;1;1;1;true;955;
"undefined";"undefined";"undefined";"undefined";20;6;71.0;1;5;1;false;945;
"undefined";"undefined";"undefined";"undefined";10;6;36.0;1;2;1;false;985;
"undefined";"undefined";"undefined";"undefined";20;7;75.0;1;5;1;false;997;
"undefined";"undefined";"undefined";"undefined";10;5;42.0;1;6;1;false;997;
"undefined";"undefined";"undefined";"undefined";10;9;27.0;1;3;1;false;802;
"undefined";"undefined";"undefined";"undefined";30;8;133.0;1;6;1;false;674;
"undefined";"undefined";"undefined";"undefined";40;9;168.0;1;8;1;false;649;
"undefined";"undefined";"undefined";"undefined";20;2;75.0;1;9;1;false;669;
"undefined";"undefined";"undefined";"undefined";20;5;85.0;1;7;1;false;1326;
"undefined";"undefined";"undefined";"undefined";10;1;19.0;1;3;1;false;618;
"undefined";"undefined";"undefined";"undefined";10;8;31.0;1;6;1;false;772;
"undefined";"undefined";"undefined";"undefined";20;8;82.0;1;5;1;false;749;
"undefined";"undefined";"undefined";"undefined";40;9;170.0;1;8;1;false;741;
"undefined";"undefined";"undefined";"undefined";40;4;171.0;1;9;1;false;2664;
"undefined";"undefined";"undefined";"undefined";10;4;29.0;1;5;1;false;1098;
"undefined";"undefined";"undefined";"undefined";20;2;79.0;1;7;1;false;1237;
