"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";200;4;1;1;1;1;true;1494;
"undefined";"undefined";"undefined";"undefined";100;4;1;1;6;1;false;2286;
"undefined";"undefined";"undefined";"undefined";150;5;0;1;9;1;false;1687;
"undefined";"undefined";"undefined";"undefined";150;6;1;1;7;1;false;1176;
"undefined";"undefined";"undefined";"undefined";200;6;1;1;7;1;false;1925;
"undefined";"undefined";"undefined";"undefined";100;6;1;1;6;1;false;1675;
"undefined";"undefined";"undefined";"undefined";50;7;2;1;7;1;false;982;
"undefined";"undefined";"undefined";"undefined";100;4;1;1;2;1;false;1588;
"undefined";"undefined";"undefined";"undefined";100;8;3;1;9;1;false;1143;
"undefined";"undefined";"undefined";"undefined";200;2;3;1;3;1;false;1487;
"undefined";"undefined";"undefined";"undefined";50;3;2;1;6;1;false;1023;
"undefined";"undefined";"undefined";"undefined";100;5;0;1;4;1;false;1428;
"undefined";"undefined";"undefined";"undefined";200;5;0;1;7;1;false;2706;
"undefined";"undefined";"undefined";"undefined";50;7;2;1;3;1;false;1051;
"undefined";"undefined";"undefined";"undefined";100;9;4;1;7;1;false;767;
"undefined";"undefined";"undefined";"undefined";100;2;3;1;5;1;false;978;
"undefined";"undefined";"undefined";"undefined";50;3;2;1;7;1;false;976;
"undefined";"undefined";"undefined";"undefined";50;1;4;1;8;1;false;701;
"undefined";"undefined";"undefined";"undefined";200;1;4;1;6;1;false;859;
"undefined";"undefined";"undefined";"undefined";50;9;4;1;9;1;false;679;
"undefined";"undefined";"undefined";"undefined";200;3;2;1;9;1;false;1069;
"undefined";"undefined";"undefined";"undefined";100;6;1;1;7;1;false;854;
"undefined";"undefined";"undefined";"undefined";100;3;2;1;5;1;false;1174;
"undefined";"undefined";"undefined";"undefined";200;3;2;1;1;1;true;1507;
"undefined";"undefined";"undefined";"undefined";150;2;3;1;7;1;false;979;
"undefined";"undefined";"undefined";"undefined";150;9;4;1;2;1;false;831;
"undefined";"undefined";"undefined";"undefined";200;6;1;1;3;1;false;2180;
"undefined";"undefined";"undefined";"undefined";50;7;2;1;4;1;false;1604;
"undefined";"undefined";"undefined";"undefined";100;3;2;1;9;1;false;1090;
"undefined";"undefined";"undefined";"undefined";200;6;1;1;4;1;false;1872;
"undefined";"undefined";"undefined";"undefined";200;5;0;1;5;1;false;1006;
"undefined";"undefined";"undefined";"undefined";150;3;2;1;9;1;false;920;
"undefined";"undefined";"undefined";"undefined";200;3;2;1;6;1;false;1030;
"undefined";"undefined";"undefined";"undefined";100;1;4;1;6;1;false;854;
"undefined";"undefined";"undefined";"undefined";50;6;1;1;2;1;false;828;
"undefined";"undefined";"undefined";"undefined";200;8;3;1;6;1;false;866;
"undefined";"undefined";"undefined";"undefined";150;5;0;1;3;1;false;1479;
"undefined";"undefined";"undefined";"undefined";200;2;3;1;8;1;false;870;
"undefined";"undefined";"undefined";"undefined";150;4;1;1;1;1;true;958;
"undefined";"undefined";"undefined";"undefined";100;9;4;1;7;1;false;675;
"undefined";"undefined";"undefined";"undefined";150;4;1;1;1;1;true;960;
"undefined";"undefined";"undefined";"undefined";150;8;3;1;4;1;false;812;
"undefined";"undefined";"undefined";"undefined";200;5;0;1;6;1;false;1606;
"undefined";"undefined";"undefined";"undefined";50;4;1;1;7;1;false;1400;
"undefined";"undefined";"undefined";"undefined";200;9;4;1;7;1;false;871;
"undefined";"undefined";"undefined";"undefined";150;3;2;1;2;1;false;1213;
"undefined";"undefined";"undefined";"undefined";200;9;4;1;8;1;false;684;
"undefined";"undefined";"undefined";"undefined";50;7;2;1;9;1;false;925;
"undefined";"undefined";"undefined";"undefined";150;5;0;1;2;1;false;893;
"undefined";"undefined";"undefined";"undefined";100;4;1;1;4;1;false;1004;
"undefined";"undefined";"undefined";"undefined";100;1;4;1;1;1;true;906;
"undefined";"undefined";"undefined";"undefined";150;2;3;1;5;1;false;953;
"undefined";"undefined";"undefined";"undefined";200;7;2;1;1;1;true;1612;
"undefined";"undefined";"undefined";"undefined";100;6;1;1;5;1;false;1016;
"undefined";"undefined";"undefined";"undefined";50;6;1;1;2;1;false;1558;
"undefined";"undefined";"undefined";"undefined";100;7;2;1;5;1;false;883;
"undefined";"undefined";"undefined";"undefined";50;5;0;1;6;1;false;920;
"undefined";"undefined";"undefined";"undefined";50;9;4;1;3;1;false;617;
"undefined";"undefined";"undefined";"undefined";150;8;3;1;6;1;false;913;
"undefined";"undefined";"undefined";"undefined";200;9;4;1;8;1;false;943;
"undefined";"undefined";"undefined";"undefined";100;2;3;1;9;1;false;1578;
"undefined";"undefined";"undefined";"undefined";100;5;0;1;7;1;false;2461;
"undefined";"undefined";"undefined";"undefined";50;1;4;1;3;1;false;973;
"undefined";"undefined";"undefined";"undefined";50;8;3;1;6;1;false;844;
"undefined";"undefined";"undefined";"undefined";100;8;3;1;5;1;false;997;
"undefined";"undefined";"undefined";"undefined";200;9;4;1;8;1;false;804;
"undefined";"undefined";"undefined";"undefined";200;4;1;1;9;1;false;1640;
"undefined";"undefined";"undefined";"undefined";50;4;1;1;5;1;false;1523;
"undefined";"undefined";"undefined";"undefined";100;2;3;1;7;1;false;1570;
"undefined";"undefined";"undefined";"undefined";150;1;4;1;7;1;false;722;
"undefined";"undefined";"undefined";"undefined";100;7;2;1;4;1;false;1105;
"undefined";"undefined";"undefined";"undefined";200;5;0;1;3;1;false;1153;
"undefined";"undefined";"undefined";"undefined";150;8;3;1;5;1;false;991;
"undefined";"undefined";"undefined";"undefined";50;2;3;1;4;1;false;969;
"undefined";"undefined";"undefined";"undefined";50;4;1;1;4;1;false;1126;
"undefined";"undefined";"undefined";"undefined";100;6;1;1;6;1;false;1165;
"undefined";"undefined";"undefined";"undefined";200;2;3;1;1;1;true;839;
"undefined";"undefined";"undefined";"undefined";150;9;4;1;1;1;true;909;
"undefined";"undefined";"undefined";"undefined";200;4;1;1;9;1;false;1340;
"undefined";"undefined";"undefined";"undefined";200;8;3;1;7;1;false;1504;
"undefined";"undefined";"undefined";"undefined";50;5;0;1;9;1;false;963;
"undefined";"undefined";"undefined";"undefined";200;5;0;1;9;1;false;1064;
"undefined";"undefined";"undefined";"undefined";150;3;2;1;1;1;true;1161;
"undefined";"undefined";"undefined";"undefined";50;5;0;1;1;1;true;1518;
"undefined";"undefined";"undefined";"undefined";100;1;4;1;5;1;false;709;
"undefined";"undefined";"undefined";"undefined";150;8;3;1;1;1;true;933;
"undefined";"undefined";"undefined";"undefined";100;4;1;1;1;1;true;1217;
"undefined";"undefined";"undefined";"undefined";150;9;4;1;7;1;false;1027;
"undefined";"undefined";"undefined";"undefined";150;8;3;1;2;1;false;925;
"undefined";"undefined";"undefined";"undefined";100;9;4;1;5;1;false;1217;
"undefined";"undefined";"undefined";"undefined";150;4;1;1;8;1;false;1898;
"undefined";"undefined";"undefined";"undefined";50;8;3;1;6;1;false;736;
