"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Density;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";100;5;4;0;1;1;1;true;4307;
"undefined";"undefined";"undefined";"undefined";150;5;2;0;1;9;1;false;1835;
"undefined";"undefined";"undefined";"undefined";100;5;2;0;1;5;1;false;1781;
"undefined";"undefined";"undefined";"undefined";100;9;2;4;1;3;1;false;961;
"undefined";"undefined";"undefined";"undefined";50;4;2;1;1;5;1;false;1293;
"undefined";"undefined";"undefined";"undefined";150;5;4;0;1;6;1;false;1321;
"undefined";"undefined";"undefined";"undefined";50;9;4;4;1;6;1;false;2150;
"undefined";"undefined";"undefined";"undefined";100;4;0;1;1;6;1;false;2754;
"undefined";"undefined";"undefined";"undefined";150;3;4;2;1;3;1;false;1209;
"undefined";"undefined";"undefined";"undefined";50;7;2;2;1;9;1;false;1033;
"undefined";"undefined";"undefined";"undefined";50;2;2;3;1;4;1;false;1170;
"undefined";"undefined";"undefined";"undefined";150;5;4;0;1;3;1;false;2072;
"undefined";"undefined";"undefined";"undefined";150;5;0;0;1;5;1;false;1186;
"undefined";"undefined";"undefined";"undefined";100;9;2;4;1;9;1;false;906;
"undefined";"undefined";"undefined";"undefined";200;2;4;3;1;5;1;false;1248;
"undefined";"undefined";"undefined";"undefined";150;8;4;3;1;3;1;false;941;
"undefined";"undefined";"undefined";"undefined";100;4;0;1;1;5;1;false;1035;
"undefined";"undefined";"undefined";"undefined";50;5;4;0;1;6;1;false;1051;
"undefined";"undefined";"undefined";"undefined";50;3;4;2;1;2;1;false;981;
"undefined";"undefined";"undefined";"undefined";200;2;0;3;1;8;1;false;954;
"undefined";"undefined";"undefined";"undefined";50;5;4;0;1;2;1;false;1008;
"undefined";"undefined";"undefined";"undefined";150;7;2;2;1;7;1;false;1573;
"undefined";"undefined";"undefined";"undefined";200;2;0;3;1;7;1;false;847;
"undefined";"undefined";"undefined";"undefined";150;8;4;3;1;5;1;false;901;
"undefined";"undefined";"undefined";"undefined";100;2;2;3;1;1;1;true;1116;
"undefined";"undefined";"undefined";"undefined";100;3;4;2;1;3;1;false;1028;
"undefined";"undefined";"undefined";"undefined";200;7;4;2;1;6;1;false;1320;
"undefined";"undefined";"undefined";"undefined";150;6;4;1;1;2;1;false;1270;
"undefined";"undefined";"undefined";"undefined";50;9;0;4;1;8;1;false;663;
"undefined";"undefined";"undefined";"undefined";200;5;2;0;1;1;1;true;1270;
"undefined";"undefined";"undefined";"undefined";150;7;4;2;1;4;1;false;999;
"undefined";"undefined";"undefined";"undefined";200;8;0;3;1;8;1;false;941;
"undefined";"undefined";"undefined";"undefined";150;9;4;4;1;4;1;false;790;
"undefined";"undefined";"undefined";"undefined";200;8;2;3;1;2;1;false;1719;
"undefined";"undefined";"undefined";"undefined";100;8;4;3;1;9;1;false;919;
"undefined";"undefined";"undefined";"undefined";50;3;4;2;1;2;1;false;1579;
"undefined";"undefined";"undefined";"undefined";200;4;2;1;1;2;1;false;1272;
"undefined";"undefined";"undefined";"undefined";150;9;2;4;1;5;1;false;876;
"undefined";"undefined";"undefined";"undefined";200;6;2;1;1;1;1;true;1366;
"undefined";"undefined";"undefined";"undefined";100;7;2;2;1;3;1;false;1143;
"undefined";"undefined";"undefined";"undefined";200;3;4;2;1;6;1;false;1127;
"undefined";"undefined";"undefined";"undefined";150;5;0;0;1;5;1;false;1264;
"undefined";"undefined";"undefined";"undefined";150;8;0;3;1;1;1;true;1048;
"undefined";"undefined";"undefined";"undefined";100;8;4;3;1;4;1;false;945;
"undefined";"undefined";"undefined";"undefined";50;1;0;4;1;2;1;false;817;
"undefined";"undefined";"undefined";"undefined";150;4;2;1;1;2;1;false;1032;
"undefined";"undefined";"undefined";"undefined";150;5;4;0;1;1;1;true;1019;
"undefined";"undefined";"undefined";"undefined";150;7;0;2;1;1;1;true;1471;
"undefined";"undefined";"undefined";"undefined";50;5;2;0;1;5;1;false;1030;
"undefined";"undefined";"undefined";"undefined";50;2;4;3;1;7;1;false;916;
"undefined";"undefined";"undefined";"undefined";50;3;2;2;1;2;1;false;1000;
"undefined";"undefined";"undefined";"undefined";50;7;4;2;1;1;1;true;1003;
"undefined";"undefined";"undefined";"undefined";150;3;2;2;1;8;1;false;974;
"undefined";"undefined";"undefined";"undefined";200;6;0;1;1;9;1;false;1105;
"undefined";"undefined";"undefined";"undefined";150;9;0;4;1;5;1;false;818;
"undefined";"undefined";"undefined";"undefined";100;5;2;0;1;9;1;false;1762;
