"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Density;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";2;8;0;3;1;8;1;false;1159;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;7;1;false;1316;
"undefined";"undefined";"undefined";"undefined";8;9;0;4;1;9;1;false;722;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;7;1;false;1077;
"undefined";"undefined";"undefined";"undefined";6;5;0;0;1;5;1;false;705;
"undefined";"undefined";"undefined";"undefined";6;6;2;1;1;6;1;false;1037;
"undefined";"undefined";"undefined";"undefined";2;2;2;3;1;2;1;false;880;
"undefined";"undefined";"undefined";"undefined";4;3;2;2;1;3;1;false;900;
"undefined";"undefined";"undefined";"undefined";8;9;2;4;1;9;1;false;760;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;1;4;1;false;977;
"undefined";"undefined";"undefined";"undefined";8;3;2;2;1;3;1;false;819;
"undefined";"undefined";"undefined";"undefined";8;8;0;3;1;8;1;false;771;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;3;1;false;1189;
"undefined";"undefined";"undefined";"undefined";2;5;2;0;1;5;1;false;1148;
"undefined";"undefined";"undefined";"undefined";8;6;0;1;1;6;1;false;613;
"undefined";"undefined";"undefined";"undefined";4;5;2;0;1;5;1;false;1144;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;6;1;false;935;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;6;1;false;1246;
"undefined";"undefined";"undefined";"undefined";6;9;0;4;1;9;1;false;738;
"undefined";"undefined";"undefined";"undefined";6;7;2;2;1;7;1;false;919;
"undefined";"undefined";"undefined";"undefined";6;9;2;4;1;9;1;false;731;
"undefined";"undefined";"undefined";"undefined";4;7;2;2;1;7;1;false;926;
"undefined";"undefined";"undefined";"undefined";2;1;2;4;1;1;1;true;1362;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;9;1;false;863;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;1;1;true;779;
"undefined";"undefined";"undefined";"undefined";8;5;0;0;1;5;1;false;769;
"undefined";"undefined";"undefined";"undefined";4;3;0;2;1;3;1;false;908;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;6;1;false;1149;
"undefined";"undefined";"undefined";"undefined";4;6;0;1;1;6;1;false;1140;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;8;1;false;972;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;4;1;false;1133;
"undefined";"undefined";"undefined";"undefined";8;7;0;2;1;7;1;false;822;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;7;1;false;960;
"undefined";"undefined";"undefined";"undefined";6;3;0;2;1;3;1;false;1238;
"undefined";"undefined";"undefined";"undefined";2;7;2;2;1;7;1;false;1982;
"undefined";"undefined";"undefined";"undefined";6;7;0;2;1;7;1;false;789;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;8;1;false;950;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;4;1;false;1475;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;3;1;false;1079;
"undefined";"undefined";"undefined";"undefined";6;1;2;4;1;1;1;true;799;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;2;1;false;1105;
"undefined";"undefined";"undefined";"undefined";8;7;2;2;1;7;1;false;876;
"undefined";"undefined";"undefined";"undefined";2;5;4;0;1;5;1;false;1927;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;7;1;false;920;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;5;1;false;948;
"undefined";"undefined";"undefined";"undefined";2;9;0;4;1;9;1;false;787;
"undefined";"undefined";"undefined";"undefined";4;9;0;4;1;9;1;false;759;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;5;1;false;1354;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;2;1;false;1026;
"undefined";"undefined";"undefined";"undefined";2;5;2;0;1;5;1;false;1871;
"undefined";"undefined";"undefined";"undefined";6;5;0;0;1;5;1;false;939;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;1;1;true;880;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;4;1;false;1077;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;7;1;false;1125;
"undefined";"undefined";"undefined";"undefined";2;1;2;4;1;1;1;true;890;
"undefined";"undefined";"undefined";"undefined";8;9;0;4;1;9;1;false;759;
"undefined";"undefined";"undefined";"undefined";4;7;2;2;1;7;1;false;1304;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;3;1;false;1073;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;2;1;false;1057;
"undefined";"undefined";"undefined";"undefined";6;7;2;2;1;7;1;false;1114;
"undefined";"undefined";"undefined";"undefined";4;1;2;4;1;1;1;true;899;
"undefined";"undefined";"undefined";"undefined";8;6;2;1;1;6;1;false;947;
"undefined";"undefined";"undefined";"undefined";8;3;2;2;1;3;1;false;1799;
"undefined";"undefined";"undefined";"undefined";2;7;0;2;1;7;1;false;1154;
"undefined";"undefined";"undefined";"undefined";2;3;2;2;1;3;1;false;1014;
"undefined";"undefined";"undefined";"undefined";8;8;2;3;1;8;1;false;893;
"undefined";"undefined";"undefined";"undefined";8;4;0;1;1;4;1;false;667;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;8;1;false;862;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;2;1;false;1157;
"undefined";"undefined";"undefined";"undefined";4;5;0;0;1;5;1;false;1105;
"undefined";"undefined";"undefined";"undefined";6;7;2;2;1;7;1;false;1134;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;8;1;false;1886;
"undefined";"undefined";"undefined";"undefined";6;9;0;4;1;9;1;false;1162;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;8;1;false;1131;
"undefined";"undefined";"undefined";"undefined";8;7;2;2;1;7;1;false;1048;
"undefined";"undefined";"undefined";"undefined";6;6;2;1;1;6;1;false;913;
"undefined";"undefined";"undefined";"undefined";6;9;2;4;1;9;1;false;796;
"undefined";"undefined";"undefined";"undefined";8;5;2;0;1;5;1;false;825;
"undefined";"undefined";"undefined";"undefined";4;1;2;4;1;1;1;true;903;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;5;1;false;967;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;5;1;false;947;
"undefined";"undefined";"undefined";"undefined";4;7;0;2;1;7;1;false;1536;
"undefined";"undefined";"undefined";"undefined";2;6;0;1;1;6;1;false;1290;
"undefined";"undefined";"undefined";"undefined";4;6;0;1;1;6;1;false;907;
"undefined";"undefined";"undefined";"undefined";2;6;2;1;1;6;1;false;1565;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;3;1;false;1413;
"undefined";"undefined";"undefined";"undefined";6;9;0;4;1;9;1;false;628;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;9;1;false;1592;
"undefined";"undefined";"undefined";"undefined";8;8;0;3;1;8;1;false;569;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;4;1;false;1067;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;6;1;false;1151;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;1;4;1;false;1656;
"undefined";"undefined";"undefined";"undefined";4;3;2;2;1;3;1;false;943;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;8;1;false;1461;
"undefined";"undefined";"undefined";"undefined";4;8;2;3;1;8;1;false;1123;
"undefined";"undefined";"undefined";"undefined";8;4;2;1;1;4;1;false;1036;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;8;1;false;1336;
"undefined";"undefined";"undefined";"undefined";8;5;0;0;1;5;1;false;626;
"undefined";"undefined";"undefined";"undefined";8;1;2;4;1;1;1;true;739;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;9;1;false;711;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;1;4;1;false;1157;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;5;1;false;897;
"undefined";"undefined";"undefined";"undefined";2;4;0;1;1;4;1;false;1364;
"undefined";"undefined";"undefined";"undefined";8;2;2;3;1;2;1;false;868;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;4;1;false;1366;
"undefined";"undefined";"undefined";"undefined";2;7;2;2;1;7;1;false;1191;
"undefined";"undefined";"undefined";"undefined";8;2;0;3;1;2;1;false;698;
"undefined";"undefined";"undefined";"undefined";4;7;4;2;1;7;1;false;1089;
"undefined";"undefined";"undefined";"undefined";4;6;0;1;1;6;1;false;914;
"undefined";"undefined";"undefined";"undefined";6;1;0;4;1;1;1;true;750;
"undefined";"undefined";"undefined";"undefined";8;5;0;0;1;5;1;false;765;
"undefined";"undefined";"undefined";"undefined";8;3;0;2;1;3;1;false;666;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;9;1;false;1174;
"undefined";"undefined";"undefined";"undefined";4;4;0;1;1;4;1;false;883;
"undefined";"undefined";"undefined";"undefined";2;5;0;0;1;5;1;false;1001;
"undefined";"undefined";"undefined";"undefined";4;6;2;1;1;6;1;false;975;
"undefined";"undefined";"undefined";"undefined";4;1;0;4;1;1;1;true;693;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;8;1;false;1195;
"undefined";"undefined";"undefined";"undefined";6;5;0;0;1;5;1;false;650;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;9;1;false;892;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;4;1;false;1254;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;3;1;false;1607;
"undefined";"undefined";"undefined";"undefined";4;4;0;1;1;4;1;false;780;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;3;1;false;1021;
"undefined";"undefined";"undefined";"undefined";2;5;0;0;1;5;1;false;1374;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;9;1;false;900;
"undefined";"undefined";"undefined";"undefined";6;6;0;1;1;6;1;false;745;
"undefined";"undefined";"undefined";"undefined";4;3;0;2;1;3;1;false;925;
"undefined";"undefined";"undefined";"undefined";6;2;0;3;1;2;1;false;599;
"undefined";"undefined";"undefined";"undefined";2;6;2;1;1;6;1;false;1047;
"undefined";"undefined";"undefined";"undefined";2;2;0;3;1;2;1;false;891;
"undefined";"undefined";"undefined";"undefined";2;7;4;2;1;7;1;false;1370;
"undefined";"undefined";"undefined";"undefined";6;1;0;4;1;1;1;true;662;
"undefined";"undefined";"undefined";"undefined";6;8;2;3;1;8;1;false;951;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;2;1;false;1024;
"undefined";"undefined";"undefined";"undefined";4;6;0;1;1;6;1;false;948;
"undefined";"undefined";"undefined";"undefined";8;4;0;1;1;4;1;false;773;
"undefined";"undefined";"undefined";"undefined";2;3;0;2;1;3;1;false;1088;
"undefined";"undefined";"undefined";"undefined";8;1;2;4;1;1;1;true;644;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;1;1;true;773;
"undefined";"undefined";"undefined";"undefined";8;3;0;2;1;3;1;false;715;
"undefined";"undefined";"undefined";"undefined";6;1;2;4;1;1;1;true;963;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;3;1;false;971;
"undefined";"undefined";"undefined";"undefined";6;6;2;1;1;6;1;false;1006;
"undefined";"undefined";"undefined";"undefined";2;8;2;3;1;8;1;false;1197;
"undefined";"undefined";"undefined";"undefined";8;3;2;2;1;3;1;false;893;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;1;4;1;false;1165;
"undefined";"undefined";"undefined";"undefined";2;9;0;4;1;9;1;false;919;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;8;1;false;968;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;6;1;false;1428;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;3;1;false;1187;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;1;4;1;false;1577;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;5;1;false;1125;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;2;1;false;1469;
"undefined";"undefined";"undefined";"undefined";6;8;0;3;1;8;1;false;799;
"undefined";"undefined";"undefined";"undefined";6;3;0;2;1;3;1;false;771;
"undefined";"undefined";"undefined";"undefined";4;8;0;3;1;8;1;false;884;
"undefined";"undefined";"undefined";"undefined";8;6;0;1;1;6;1;false;672;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;2;1;false;1811;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;6;1;false;1166;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;1;4;1;false;1592;
"undefined";"undefined";"undefined";"undefined";6;4;2;1;1;4;1;false;889;
"undefined";"undefined";"undefined";"undefined";2;5;2;0;1;5;1;false;1216;
"undefined";"undefined";"undefined";"undefined";8;4;0;1;1;4;1;false;652;
"undefined";"undefined";"undefined";"undefined";4;5;2;0;1;5;1;false;1117;
"undefined";"undefined";"undefined";"undefined";2;7;2;2;1;7;1;false;1344;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;4;1;false;1426;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;3;1;false;1178;
"undefined";"undefined";"undefined";"undefined";4;7;0;2;1;7;1;false;1028;
"undefined";"undefined";"undefined";"undefined";6;5;2;0;1;5;1;false;959;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;6;1;false;1030;
"undefined";"undefined";"undefined";"undefined";2;1;2;4;1;1;1;true;906;
"undefined";"undefined";"undefined";"undefined";6;8;0;3;1;8;1;false;643;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;1;1;true;818;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;6;1;false;1522;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;3;1;false;1294;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;2;1;false;971;
"undefined";"undefined";"undefined";"undefined";6;1;2;4;1;1;1;true;648;
"undefined";"undefined";"undefined";"undefined";6;8;2;3;1;8;1;false;751;
"undefined";"undefined";"undefined";"undefined";8;7;2;2;1;7;1;false;730;
"undefined";"undefined";"undefined";"undefined";4;9;2;4;1;9;1;false;1016;
"undefined";"undefined";"undefined";"undefined";6;2;2;3;1;2;1;false;847;
"undefined";"undefined";"undefined";"undefined";8;9;2;4;1;9;1;false;822;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;8;1;false;940;
"undefined";"undefined";"undefined";"undefined";8;3;0;2;1;3;1;false;800;
"undefined";"undefined";"undefined";"undefined";2;9;2;4;1;9;1;false;1151;
"undefined";"undefined";"undefined";"undefined";4;1;0;4;1;1;1;true;1175;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;2;1;false;1118;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;8;1;false;1178;
"undefined";"undefined";"undefined";"undefined";6;7;0;2;1;7;1;false;743;
"undefined";"undefined";"undefined";"undefined";2;3;0;2;1;3;1;false;1181;
"undefined";"undefined";"undefined";"undefined";2;1;2;4;1;1;1;true;774;
"undefined";"undefined";"undefined";"undefined";2;3;2;2;1;3;1;false;1124;
"undefined";"undefined";"undefined";"undefined";8;6;2;1;1;6;1;false;1026;
"undefined";"undefined";"undefined";"undefined";6;4;0;1;1;4;1;false;760;
"undefined";"undefined";"undefined";"undefined";2;9;2;4;1;9;1;false;838;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;9;1;false;889;
"undefined";"undefined";"undefined";"undefined";4;1;0;4;1;1;1;true;802;
"undefined";"undefined";"undefined";"undefined";4;6;2;1;1;6;1;false;1076;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;6;1;false;1013;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;8;1;false;1261;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;1;1;true;1008;
"undefined";"undefined";"undefined";"undefined";4;4;4;1;1;4;1;false;1512;
"undefined";"undefined";"undefined";"undefined";8;2;0;3;1;2;1;false;785;
"undefined";"undefined";"undefined";"undefined";6;2;0;3;1;2;1;false;868;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;2;1;false;1061;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;5;1;false;1269;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;1;1;true;836;
"undefined";"undefined";"undefined";"undefined";2;3;0;2;1;3;1;false;1231;
"undefined";"undefined";"undefined";"undefined";6;4;2;1;1;4;1;false;922;
"undefined";"undefined";"undefined";"undefined";6;8;0;3;1;8;1;false;779;
"undefined";"undefined";"undefined";"undefined";6;6;0;1;1;6;1;false;787;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;4;1;false;1667;
"undefined";"undefined";"undefined";"undefined";2;9;2;4;1;9;1;false;973;
"undefined";"undefined";"undefined";"undefined";2;9;4;4;1;9;1;false;1404;
"undefined";"undefined";"undefined";"undefined";6;2;2;3;1;2;1;false;1724;
"undefined";"undefined";"undefined";"undefined";8;5;2;0;1;5;1;false;1011;
"undefined";"undefined";"undefined";"undefined";8;4;2;1;1;4;1;false;1220;
"undefined";"undefined";"undefined";"undefined";4;8;4;3;1;8;1;false;1175;
"undefined";"undefined";"undefined";"undefined";2;1;0;4;1;1;1;true;890;
"undefined";"undefined";"undefined";"undefined";4;1;2;4;1;1;1;true;736;
"undefined";"undefined";"undefined";"undefined";4;3;0;2;1;3;1;false;864;
"undefined";"undefined";"undefined";"undefined";8;2;0;3;1;2;1;false;721;
"undefined";"undefined";"undefined";"undefined";6;8;4;3;1;8;1;false;1477;
"undefined";"undefined";"undefined";"undefined";6;3;2;2;1;3;1;false;867;
"undefined";"undefined";"undefined";"undefined";8;1;2;4;1;1;1;true;784;
"undefined";"undefined";"undefined";"undefined";4;2;0;3;1;2;1;false;839;
"undefined";"undefined";"undefined";"undefined";4;1;2;4;1;1;1;true;741;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;3;1;false;1012;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;2;1;false;919;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;1;1;true;954;
"undefined";"undefined";"undefined";"undefined";4;6;2;1;1;6;1;false;1069;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;6;1;false;1022;
"undefined";"undefined";"undefined";"undefined";4;2;2;3;1;2;1;false;821;
"undefined";"undefined";"undefined";"undefined";8;6;0;1;1;6;1;false;800;
"undefined";"undefined";"undefined";"undefined";4;3;0;2;1;3;1;false;996;
"undefined";"undefined";"undefined";"undefined";6;2;4;3;1;2;1;false;908;
"undefined";"undefined";"undefined";"undefined";6;3;4;2;1;3;1;false;885;
"undefined";"undefined";"undefined";"undefined";8;8;0;3;1;8;1;false;867;
"undefined";"undefined";"undefined";"undefined";2;5;0;0;1;5;1;false;1149;
"undefined";"undefined";"undefined";"undefined";8;9;4;4;1;9;1;false;856;
"undefined";"undefined";"undefined";"undefined";6;3;2;2;1;3;1;false;1052;
"undefined";"undefined";"undefined";"undefined";6;2;2;3;1;2;1;false;881;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;1;1;true;955;
"undefined";"undefined";"undefined";"undefined";2;5;4;0;1;5;1;false;1291;
"undefined";"undefined";"undefined";"undefined";8;8;2;3;1;8;1;false;901;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;5;1;false;1350;
"undefined";"undefined";"undefined";"undefined";6;4;0;1;1;4;1;false;873;
"undefined";"undefined";"undefined";"undefined";4;9;2;4;1;9;1;false;834;
"undefined";"undefined";"undefined";"undefined";4;5;2;0;1;5;1;false;1136;
"undefined";"undefined";"undefined";"undefined";4;8;0;3;1;8;1;false;839;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;1;4;1;false;1600;
"undefined";"undefined";"undefined";"undefined";2;2;0;3;1;2;1;false;835;
"undefined";"undefined";"undefined";"undefined";8;6;0;1;1;6;1;false;765;
"undefined";"undefined";"undefined";"undefined";4;5;0;0;1;5;1;false;717;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;5;1;false;1133;
"undefined";"undefined";"undefined";"undefined";4;5;0;0;1;5;1;false;916;
"undefined";"undefined";"undefined";"undefined";8;4;2;1;1;4;1;false;1125;
"undefined";"undefined";"undefined";"undefined";6;1;0;4;1;1;1;true;631;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;2;1;false;957;
"undefined";"undefined";"undefined";"undefined";2;9;0;4;1;9;1;false;852;
"undefined";"undefined";"undefined";"undefined";4;8;2;3;1;8;1;false;1355;
"undefined";"undefined";"undefined";"undefined";6;7;0;2;1;7;1;false;830;
"undefined";"undefined";"undefined";"undefined";4;5;2;0;1;5;1;false;1035;
"undefined";"undefined";"undefined";"undefined";4;4;0;1;1;4;1;false;914;
"undefined";"undefined";"undefined";"undefined";4;1;0;4;1;1;1;true;723;
"undefined";"undefined";"undefined";"undefined";4;2;0;3;1;2;1;false;796;
"undefined";"undefined";"undefined";"undefined";4;2;2;3;1;2;1;false;965;
"undefined";"undefined";"undefined";"undefined";4;9;0;4;1;9;1;false;788;
"undefined";"undefined";"undefined";"undefined";6;7;0;2;1;7;1;false;813;
"undefined";"undefined";"undefined";"undefined";6;7;4;2;1;7;1;false;1207;
"undefined";"undefined";"undefined";"undefined";2;8;0;3;1;8;1;false;1511;
"undefined";"undefined";"undefined";"undefined";2;4;0;1;1;4;1;false;990;
"undefined";"undefined";"undefined";"undefined";8;7;0;2;1;7;1;false;685;
"undefined";"undefined";"undefined";"undefined";6;8;2;3;1;8;1;false;900;
"undefined";"undefined";"undefined";"undefined";4;2;4;3;1;2;1;false;1180;
"undefined";"undefined";"undefined";"undefined";6;4;0;1;1;4;1;false;701;
"undefined";"undefined";"undefined";"undefined";4;9;4;4;1;9;1;false;809;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;4;1;false;1302;
"undefined";"undefined";"undefined";"undefined";2;9;2;4;1;9;1;false;1048;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;1;1;true;896;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;1;1;1;true;903;
"undefined";"undefined";"undefined";"undefined";4;2;2;3;1;2;1;false;957;
"undefined";"undefined";"undefined";"undefined";6;7;4;2;1;7;1;false;1158;
"undefined";"undefined";"undefined";"undefined";2;1;0;4;1;1;1;true;957;
"undefined";"undefined";"undefined";"undefined";4;2;2;3;1;2;1;false;928;
"undefined";"undefined";"undefined";"undefined";8;6;2;1;1;6;1;false;1513;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;3;1;false;1233;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;1;1;true;878;
"undefined";"undefined";"undefined";"undefined";8;2;4;3;1;2;1;false;875;
"undefined";"undefined";"undefined";"undefined";2;7;0;2;1;7;1;false;956;
