"Age";"Status";"Studies";"YearsOfExperience";Condition_Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;9;1;false;504;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;10;1;false;438;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;8;1;false;548;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;3;1;false;544;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;9;1;false;541;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;7;1;false;493;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;6;1;false;497;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;1;1;true;499;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;5;1;false;503;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;9;1;false;430;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;5;1;false;435;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;2;1;false;438;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;9;1;false;423;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;10;1;false;402;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;5;1;false;444;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;4;1;false;454;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;9;1;false;430;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;10;1;false;445;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;8;1;false;474;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;10;1;false;444;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;7;1;false;441;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;9;1;false;448;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;6;1;false;458;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;2;1;false;427;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;8;1;false;471;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;6;1;false;484;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;6;1;false;406;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;1;1;true;417;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;5;1;false;452;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;9;1;false;478;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;8;1;false;460;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;9;1;false;437;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;3;1;false;390;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;3;1;false;429;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;2;1;false;503;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;8;1;false;492;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;6;1;false;441;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;4;1;false;510;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;4;1;false;499;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;5;1;false;506;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;9;1;false;422;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;2;1;false;434;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;7;1;false;476;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;9;1;false;476;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;2;1;false;479;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;8;1;false;409;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;1;1;true;482;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;10;1;false;434;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;3;1;false;438;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;4;1;false;452;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;2;1;false;412;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;8;1;false;451;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;3;1;false;495;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;9;1;false;465;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;8;1;false;425;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;2;1;false;475;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;7;1;false;460;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;10;1;false;466;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;3;1;false;491;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;8;1;false;466;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;10;1;false;469;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;1;1;true;481;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;4;1;false;423;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;7;1;false;380;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;2;1;false;397;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;7;1;false;395;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;1;1;true;424;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;2;1;false;451;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;9;1;false;452;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;2;1;false;439;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;10;1;false;474;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;8;1;false;496;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;2;1;false;408;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;2;1;false;424;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;10;1;false;413;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;3;1;false;438;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;6;1;false;442;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;9;1;false;435;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;1;1;true;405;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;5;1;false;431;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;2;1;false;441;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;4;1;false;399;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;4;1;false;421;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;4;1;false;428;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;4;1;false;442;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;6;1;false;439;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;3;1;false;466;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;6;1;false;405;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;8;1;false;459;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;10;1;false;476;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;10;1;false;454;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;3;1;false;447;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;10;1;false;440;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;4;1;false;416;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;3;1;false;386;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;4;1;false;402;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;8;1;false;413;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;8;1;false;426;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;10;1;false;405;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;1;1;true;418;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;8;1;false;413;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;3;1;false;448;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;2;1;false;384;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;5;1;false;361;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;5;1;false;379;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;10;1;false;403;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;6;1;false;397;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;10;1;false;469;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;9;1;false;430;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;2;1;false;435;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;2;1;false;431;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;9;1;false;413;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;9;1;false;420;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;5;1;false;399;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;8;1;false;390;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;8;1;false;348;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;1;1;true;479;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;5;1;false;472;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;9;1;false;451;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;8;1;false;472;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;1;1;true;431;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;7;1;false;435;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;2;1;false;424;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;3;1;false;403;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;10;1;false;434;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;9;1;false;417;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;10;1;false;420;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;6;1;false;444;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;7;1;false;453;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;10;1;false;435;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;8;1;false;401;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;1;1;true;460;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;8;1;false;430;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;7;1;false;406;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;7;1;false;406;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;7;1;false;403;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;1;1;true;400;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;8;1;false;455;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;2;1;false;396;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;10;1;false;404;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;2;1;false;408;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;10;1;false;392;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;6;1;false;383;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;5;1;false;447;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;1;1;true;410;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;9;1;false;418;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;4;1;false;407;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;9;1;false;396;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;6;1;false;377;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;2;1;false;459;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;9;1;false;398;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;3;1;false;430;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;5;1;false;406;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;9;1;false;434;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;10;1;false;405;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;10;1;false;429;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;10;1;false;409;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;3;1;false;446;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;4;1;false;387;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;6;1;false;431;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;5;1;false;365;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;1;1;true;384;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;5;1;false;383;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;7;1;false;428;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;4;1;false;385;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;4;1;false;371;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;6;1;false;377;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;10;1;false;384;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;6;1;false;418;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;2;1;false;376;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;3;1;false;410;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;8;1;false;395;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;9;1;false;476;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;5;1;false;410;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;4;1;false;371;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;4;1;false;369;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;8;1;false;447;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;9;1;false;413;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;9;1;false;461;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;3;1;false;414;
