"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";1;3;1;1;1;1;true;1772;
"undefined";"undefined";"undefined";"undefined";1;1;1;1;1;1;true;823;
"undefined";"undefined";"undefined";"undefined";1;3;1;1;3;1;false;914;
"undefined";"undefined";"undefined";"undefined";3;4;2;1;1;1;true;1114;
"undefined";"undefined";"undefined";"undefined";3;1;1;1;3;1;false;795;
"undefined";"undefined";"undefined";"undefined";1;1;1;1;2;1;false;898;
"undefined";"undefined";"undefined";"undefined";4;2;0;1;5;1;false;1394;
"undefined";"undefined";"undefined";"undefined";4;2;0;1;5;1;false;848;
"undefined";"undefined";"undefined";"undefined";1;1;1;1;4;1;false;841;
"undefined";"undefined";"undefined";"undefined";3;4;2;1;5;1;false;709;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;5;1;false;802;
"undefined";"undefined";"undefined";"undefined";3;1;1;1;3;1;false;736;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;4;1;false;1293;
"undefined";"undefined";"undefined";"undefined";1;2;0;1;1;1;true;995;
"undefined";"undefined";"undefined";"undefined";1;1;1;1;2;1;false;1317;
"undefined";"undefined";"undefined";"undefined";3;2;0;1;5;1;false;916;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;2;1;false;1464;
"undefined";"undefined";"undefined";"undefined";3;1;1;1;2;1;false;769;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;2;1;false;599;
"undefined";"undefined";"undefined";"undefined";3;3;1;1;3;1;false;770;
"undefined";"undefined";"undefined";"undefined";3;2;0;1;1;1;true;1096;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;5;1;false;876;
"undefined";"undefined";"undefined";"undefined";1;2;0;1;5;1;false;846;
"undefined";"undefined";"undefined";"undefined";4;2;0;1;1;1;true;1324;
"undefined";"undefined";"undefined";"undefined";3;4;2;1;4;1;false;561;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;2;1;false;621;
"undefined";"undefined";"undefined";"undefined";3;2;0;1;2;1;false;844;
"undefined";"undefined";"undefined";"undefined";1;1;1;1;1;1;true;752;
"undefined";"undefined";"undefined";"undefined";2;2;0;1;3;1;false;741;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;5;1;false;1921;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;2;1;false;642;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;3;1;false;614;
"undefined";"undefined";"undefined";"undefined";1;4;2;1;5;1;false;544;
"undefined";"undefined";"undefined";"undefined";2;1;1;1;5;1;false;861;
"undefined";"undefined";"undefined";"undefined";3;1;1;1;2;1;false;741;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;3;1;false;657;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;5;1;false;964;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;2;1;false;590;
"undefined";"undefined";"undefined";"undefined";1;3;1;1;4;1;false;1465;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;5;1;false;640;
"undefined";"undefined";"undefined";"undefined";2;2;0;1;3;1;false;1026;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;3;1;false;607;
"undefined";"undefined";"undefined";"undefined";3;2;0;1;2;1;false;1271;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;1;1;true;664;
"undefined";"undefined";"undefined";"undefined";3;3;1;1;1;1;true;977;
"undefined";"undefined";"undefined";"undefined";4;3;1;1;4;1;false;1333;
"undefined";"undefined";"undefined";"undefined";3;4;2;1;2;1;false;627;
"undefined";"undefined";"undefined";"undefined";1;4;2;1;1;1;true;854;
"undefined";"undefined";"undefined";"undefined";2;1;1;1;4;1;false;634;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;1;1;true;736;
"undefined";"undefined";"undefined";"undefined";4;3;1;1;1;1;true;1004;
"undefined";"undefined";"undefined";"undefined";2;1;1;1;4;1;false;581;
"undefined";"undefined";"undefined";"undefined";1;4;2;1;5;1;false;634;
"undefined";"undefined";"undefined";"undefined";1;2;0;1;3;1;false;952;
"undefined";"undefined";"undefined";"undefined";3;3;1;1;5;1;false;1353;
"undefined";"undefined";"undefined";"undefined";1;2;0;1;2;1;false;1988;
"undefined";"undefined";"undefined";"undefined";2;1;1;1;4;1;false;723;
"undefined";"undefined";"undefined";"undefined";2;2;0;1;5;1;false;1176;
"undefined";"undefined";"undefined";"undefined";4;2;0;1;5;1;false;1828;
"undefined";"undefined";"undefined";"undefined";1;4;2;1;4;1;false;588;
"undefined";"undefined";"undefined";"undefined";4;3;1;1;5;1;false;1274;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;3;1;false;1874;
"undefined";"undefined";"undefined";"undefined";1;3;1;1;4;1;false;1605;
"undefined";"undefined";"undefined";"undefined";1;2;0;1;4;1;false;2726;
"undefined";"undefined";"undefined";"undefined";3;1;1;1;5;1;false;853;
"undefined";"undefined";"undefined";"undefined";2;1;1;1;5;1;false;1307;
"undefined";"undefined";"undefined";"undefined";3;2;0;1;2;1;false;1328;
"undefined";"undefined";"undefined";"undefined";4;3;1;1;3;1;false;1203;
"undefined";"undefined";"undefined";"undefined";1;3;1;1;3;1;false;927;
"undefined";"undefined";"undefined";"undefined";2;4;2;1;4;1;false;755;
"undefined";"undefined";"undefined";"undefined";4;3;1;1;3;1;false;1059;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;1;1;true;787;
"undefined";"undefined";"undefined";"undefined";3;4;2;1;4;1;false;595;
"undefined";"undefined";"undefined";"undefined";1;4;2;1;3;1;false;714;
"undefined";"undefined";"undefined";"undefined";3;3;1;1;3;1;false;893;
"undefined";"undefined";"undefined";"undefined";2;2;0;1;2;1;false;758;
"undefined";"undefined";"undefined";"undefined";4;4;2;1;5;1;false;630;
"undefined";"undefined";"undefined";"undefined";2;2;0;1;3;1;false;746;
"undefined";"undefined";"undefined";"undefined";3;3;1;1;2;1;false;728;
"undefined";"undefined";"undefined";"undefined";4;2;0;1;2;1;false;1126;
