"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;10;1;false;767;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;5;1;false;535;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;10;1;false;920;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;9;1;false;623;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;4;1;false;700;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;7;1;false;1028;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;10;1;false;607;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;4;1;false;525;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;9;1;false;598;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;2;1;false;624;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;5;1;false;622;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;3;1;false;567;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;10;1;false;580;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;7;1;false;624;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;4;1;false;738;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;8;1;false;544;
"undefined";"undefined";"undefined";"undefined";4;7;2;1;4;1;false;629;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;7;1;false;1020;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;4;1;false;555;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;7;1;false;617;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;2;1;false;596;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;1;1;true;802;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;2;1;false;543;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;8;1;false;850;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;9;1;false;620;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;10;1;false;690;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;2;1;false;534;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;6;1;false;815;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;7;1;false;683;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;9;1;false;596;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;9;1;false;632;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;5;1;false;763;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;4;1;false;541;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;6;1;false;597;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;7;1;false;511;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;9;1;false;714;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;4;1;false;536;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;6;1;false;614;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;3;1;false;548;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;6;1;false;664;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;9;1;false;527;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;1;1;true;475;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;4;1;false;663;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;2;1;false;543;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;8;1;false;659;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;2;1;false;478;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;7;1;false;801;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;7;1;false;720;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;7;1;false;551;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;7;1;false;458;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;6;1;false;682;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;9;1;false;539;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;4;1;false;514;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;7;1;false;507;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;7;1;false;573;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;7;1;false;775;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;7;1;false;476;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;9;1;false;457;
"undefined";"undefined";"undefined";"undefined";6;8;3;1;6;1;false;487;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;9;1;false;586;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;4;1;false;415;
"undefined";"undefined";"undefined";"undefined";2;7;2;1;2;1;false;617;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;3;1;false;538;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;6;1;false;746;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;2;1;false;563;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;2;1;false;528;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;2;1;false;708;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;3;1;false;634;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;9;1;false;603;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;2;1;false;565;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;1;1;true;781;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;4;1;false;539;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;2;1;false;488;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;2;1;false;454;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;1;1;true;661;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;8;1;false;596;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;10;1;false;534;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;3;1;false;698;
"undefined";"undefined";"undefined";"undefined";4;1;4;1;9;1;false;547;
"undefined";"undefined";"undefined";"undefined";4;8;3;1;3;1;false;478;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;5;1;false;650;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;7;1;false;645;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;7;1;false;511;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;6;1;false;636;
"undefined";"undefined";"undefined";"undefined";8;4;1;1;5;1;false;531;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;3;1;false;750;
"undefined";"undefined";"undefined";"undefined";6;6;1;1;4;1;false;566;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;7;1;false;877;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;5;1;false;605;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;5;1;false;774;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;3;1;false;565;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;9;1;false;582;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;1;1;true;559;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;5;1;false;993;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;2;1;false;915;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;1;1;true;628;
"undefined";"undefined";"undefined";"undefined";6;2;3;1;7;1;false;664;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;1;1;true;718;
"undefined";"undefined";"undefined";"undefined";8;7;2;1;9;1;false;557;
"undefined";"undefined";"undefined";"undefined";2;6;1;1;10;1;false;904;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;5;1;false;844;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;10;1;false;529;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;1;1;true;592;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;8;1;false;912;
