"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Contrast;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";6;2;yes;3;1;3;1;false;602;
"undefined";"undefined";"undefined";"undefined";2;6;no;1;1;10;1;false;1181;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;1;1;true;771;
"undefined";"undefined";"undefined";"undefined";4;3;no;2;1;7;1;false;1015;
"undefined";"undefined";"undefined";"undefined";6;4;no;1;1;3;1;false;837;
"undefined";"undefined";"undefined";"undefined";8;8;no;3;1;2;1;false;771;
"undefined";"undefined";"undefined";"undefined";4;4;yes;1;1;3;1;false;1321;
"undefined";"undefined";"undefined";"undefined";2;3;yes;2;1;5;1;false;1095;
"undefined";"undefined";"undefined";"undefined";2;1;yes;4;1;7;1;false;849;
"undefined";"undefined";"undefined";"undefined";2;6;no;1;1;3;1;false;1050;
"undefined";"undefined";"undefined";"undefined";4;6;no;1;1;3;1;false;997;
"undefined";"undefined";"undefined";"undefined";6;1;yes;4;1;7;1;false;658;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;10;1;false;999;
"undefined";"undefined";"undefined";"undefined";8;6;yes;1;1;10;1;false;840;
"undefined";"undefined";"undefined";"undefined";8;7;no;2;1;10;1;false;1081;
"undefined";"undefined";"undefined";"undefined";8;7;yes;2;1;1;1;true;762;
"undefined";"undefined";"undefined";"undefined";6;2;no;3;1;1;1;true;787;
"undefined";"undefined";"undefined";"undefined";2;2;yes;3;1;2;1;false;889;
"undefined";"undefined";"undefined";"undefined";8;5;no;0;1;10;1;false;808;
"undefined";"undefined";"undefined";"undefined";2;1;no;4;1;10;1;false;677;
"undefined";"undefined";"undefined";"undefined";6;8;yes;3;1;10;1;false;819;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;7;1;false;1046;
"undefined";"undefined";"undefined";"undefined";6;5;yes;0;1;9;1;false;795;
"undefined";"undefined";"undefined";"undefined";6;8;yes;3;1;7;1;false;698;
"undefined";"undefined";"undefined";"undefined";6;8;no;3;1;4;1;false;830;
"undefined";"undefined";"undefined";"undefined";8;3;no;2;1;7;1;false;825;
"undefined";"undefined";"undefined";"undefined";2;7;no;2;1;1;1;true;940;
"undefined";"undefined";"undefined";"undefined";2;4;no;1;1;5;1;false;948;
"undefined";"undefined";"undefined";"undefined";8;6;yes;1;1;9;1;false;745;
"undefined";"undefined";"undefined";"undefined";8;8;no;3;1;7;1;false;694;
"undefined";"undefined";"undefined";"undefined";6;6;no;1;1;7;1;false;886;
"undefined";"undefined";"undefined";"undefined";2;9;no;4;1;3;1;false;664;
"undefined";"undefined";"undefined";"undefined";8;8;yes;3;1;6;1;false;851;
"undefined";"undefined";"undefined";"undefined";8;1;yes;4;1;9;1;false;631;
"undefined";"undefined";"undefined";"undefined";4;7;yes;2;1;8;1;false;987;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;5;1;false;886;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;7;1;false;1121;
"undefined";"undefined";"undefined";"undefined";8;8;yes;3;1;6;1;false;933;
"undefined";"undefined";"undefined";"undefined";2;5;no;0;1;4;1;false;1246;
"undefined";"undefined";"undefined";"undefined";2;3;yes;2;1;3;1;false;1084;
"undefined";"undefined";"undefined";"undefined";4;4;yes;1;1;1;1;true;1020;
"undefined";"undefined";"undefined";"undefined";8;5;yes;0;1;4;1;false;817;
"undefined";"undefined";"undefined";"undefined";4;8;no;3;1;9;1;false;737;
"undefined";"undefined";"undefined";"undefined";2;1;no;4;1;10;1;false;819;
"undefined";"undefined";"undefined";"undefined";2;1;yes;4;1;8;1;false;952;
"undefined";"undefined";"undefined";"undefined";4;3;no;2;1;9;1;false;1003;
"undefined";"undefined";"undefined";"undefined";4;5;yes;0;1;4;1;false;919;
"undefined";"undefined";"undefined";"undefined";8;4;no;1;1;6;1;false;877;
"undefined";"undefined";"undefined";"undefined";2;7;yes;2;1;5;1;false;896;
"undefined";"undefined";"undefined";"undefined";4;6;no;1;1;7;1;false;1150;
"undefined";"undefined";"undefined";"undefined";6;6;yes;1;1;3;1;false;853;
"undefined";"undefined";"undefined";"undefined";4;9;no;4;1;8;1;false;641;
"undefined";"undefined";"undefined";"undefined";8;2;no;3;1;1;1;true;750;
"undefined";"undefined";"undefined";"undefined";8;2;no;3;1;10;1;false;619;
"undefined";"undefined";"undefined";"undefined";2;1;no;4;1;7;1;false;702;
"undefined";"undefined";"undefined";"undefined";6;9;no;4;1;5;1;false;579;
"undefined";"undefined";"undefined";"undefined";8;8;no;3;1;4;1;false;686;
"undefined";"undefined";"undefined";"undefined";6;8;yes;3;1;10;1;false;685;
"undefined";"undefined";"undefined";"undefined";6;5;yes;0;1;4;1;false;840;
"undefined";"undefined";"undefined";"undefined";8;4;no;1;1;5;1;false;920;
"undefined";"undefined";"undefined";"undefined";2;9;yes;4;1;3;1;false;645;
"undefined";"undefined";"undefined";"undefined";8;8;no;3;1;3;1;false;883;
"undefined";"undefined";"undefined";"undefined";4;1;no;4;1;4;1;false;625;
"undefined";"undefined";"undefined";"undefined";4;1;no;4;1;8;1;false;618;
"undefined";"undefined";"undefined";"undefined";2;3;no;2;1;8;1;false;977;
"undefined";"undefined";"undefined";"undefined";8;4;yes;1;1;9;1;false;896;
"undefined";"undefined";"undefined";"undefined";8;1;yes;4;1;6;1;false;571;
"undefined";"undefined";"undefined";"undefined";4;2;yes;3;1;6;1;false;1273;
"undefined";"undefined";"undefined";"undefined";4;4;no;1;1;1;1;true;897;
"undefined";"undefined";"undefined";"undefined";2;9;yes;4;1;5;1;false;787;
"undefined";"undefined";"undefined";"undefined";4;1;no;4;1;7;1;false;546;
"undefined";"undefined";"undefined";"undefined";8;4;yes;1;1;8;1;false;1651;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;3;1;false;965;
"undefined";"undefined";"undefined";"undefined";4;5;yes;0;1;2;1;false;1505;
"undefined";"undefined";"undefined";"undefined";8;4;no;1;1;3;1;false;1157;
"undefined";"undefined";"undefined";"undefined";8;6;yes;1;1;5;1;false;879;
"undefined";"undefined";"undefined";"undefined";4;8;yes;3;1;8;1;false;835;
"undefined";"undefined";"undefined";"undefined";8;5;no;0;1;2;1;false;807;
"undefined";"undefined";"undefined";"undefined";8;2;yes;3;1;3;1;false;902;
"undefined";"undefined";"undefined";"undefined";4;5;no;0;1;4;1;false;1660;
"undefined";"undefined";"undefined";"undefined";2;9;yes;4;1;1;1;true;796;
"undefined";"undefined";"undefined";"undefined";4;1;yes;4;1;6;1;false;735;
"undefined";"undefined";"undefined";"undefined";8;3;no;2;1;5;1;false;855;
"undefined";"undefined";"undefined";"undefined";6;6;yes;1;1;6;1;false;882;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;4;1;false;1104;
"undefined";"undefined";"undefined";"undefined";2;9;yes;4;1;3;1;false;706;
"undefined";"undefined";"undefined";"undefined";2;1;yes;4;1;8;1;false;666;
"undefined";"undefined";"undefined";"undefined";2;7;yes;2;1;6;1;false;1062;
"undefined";"undefined";"undefined";"undefined";8;9;yes;4;1;6;1;false;1068;
"undefined";"undefined";"undefined";"undefined";2;5;yes;0;1;6;1;false;991;
"undefined";"undefined";"undefined";"undefined";8;2;no;3;1;7;1;false;795;
"undefined";"undefined";"undefined";"undefined";8;3;yes;2;1;8;1;false;910;
"undefined";"undefined";"undefined";"undefined";4;3;yes;2;1;2;1;false;1441;
"undefined";"undefined";"undefined";"undefined";4;3;no;2;1;10;1;false;1019;
"undefined";"undefined";"undefined";"undefined";6;7;no;2;1;8;1;false;961;
