"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Contrast;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";4;6;yes;1;1;5;1;false;1060;
"undefined";"undefined";"undefined";"undefined";5;3;yes;2;1;3;1;false;779;
"undefined";"undefined";"undefined";"undefined";5;6;no;1;1;6;1;false;689;
"undefined";"undefined";"undefined";"undefined";4;4;yes;1;1;8;1;false;797;
"undefined";"undefined";"undefined";"undefined";6;3;yes;2;1;8;1;false;738;
"undefined";"undefined";"undefined";"undefined";4;7;no;2;1;1;1;true;688;
"undefined";"undefined";"undefined";"undefined";4;4;yes;1;1;4;1;false;737;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;4;1;false;752;
"undefined";"undefined";"undefined";"undefined";4;4;no;1;1;7;1;false;742;
"undefined";"undefined";"undefined";"undefined";2;4;yes;1;1;7;1;false;803;
"undefined";"undefined";"undefined";"undefined";6;4;yes;1;1;8;1;false;789;
"undefined";"undefined";"undefined";"undefined";2;5;yes;0;1;3;1;false;754;
"undefined";"undefined";"undefined";"undefined";5;4;no;1;1;8;1;false;742;
"undefined";"undefined";"undefined";"undefined";6;3;yes;2;1;9;1;false;800;
"undefined";"undefined";"undefined";"undefined";8;5;no;0;1;3;1;false;713;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;8;1;false;735;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;8;1;false;778;
"undefined";"undefined";"undefined";"undefined";2;7;yes;2;1;2;1;false;756;
"undefined";"undefined";"undefined";"undefined";8;6;yes;1;1;4;1;false;674;
"undefined";"undefined";"undefined";"undefined";6;5;no;0;1;1;1;true;835;
"undefined";"undefined";"undefined";"undefined";8;5;yes;0;1;10;1;false;862;
"undefined";"undefined";"undefined";"undefined";6;5;yes;0;1;6;1;false;843;
"undefined";"undefined";"undefined";"undefined";8;3;no;2;1;5;1;false;819;
"undefined";"undefined";"undefined";"undefined";6;7;yes;2;1;9;1;false;799;
"undefined";"undefined";"undefined";"undefined";4;7;yes;2;1;3;1;false;804;
"undefined";"undefined";"undefined";"undefined";6;6;yes;1;1;5;1;false;913;
"undefined";"undefined";"undefined";"undefined";2;4;yes;1;1;2;1;false;1183;
"undefined";"undefined";"undefined";"undefined";5;6;no;1;1;2;1;false;821;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;8;1;false;751;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;9;1;false;769;
"undefined";"undefined";"undefined";"undefined";5;3;no;2;1;3;1;false;696;
"undefined";"undefined";"undefined";"undefined";2;3;no;2;1;1;1;true;892;
"undefined";"undefined";"undefined";"undefined";2;4;no;1;1;2;1;false;859;
"undefined";"undefined";"undefined";"undefined";5;5;no;0;1;6;1;false;876;
"undefined";"undefined";"undefined";"undefined";5;5;yes;0;1;5;1;false;777;
"undefined";"undefined";"undefined";"undefined";2;7;no;2;1;1;1;true;910;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;4;1;false;798;
"undefined";"undefined";"undefined";"undefined";8;7;yes;2;1;5;1;false;761;
"undefined";"undefined";"undefined";"undefined";2;5;yes;0;1;9;1;false;999;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;8;1;false;718;
"undefined";"undefined";"undefined";"undefined";2;7;no;2;1;10;1;false;894;
"undefined";"undefined";"undefined";"undefined";5;6;no;1;1;5;1;false;779;
"undefined";"undefined";"undefined";"undefined";5;5;yes;0;1;7;1;false;891;
"undefined";"undefined";"undefined";"undefined";2;3;yes;2;1;6;1;false;829;
"undefined";"undefined";"undefined";"undefined";6;6;no;1;1;5;1;false;828;
"undefined";"undefined";"undefined";"undefined";6;4;no;1;1;6;1;false;804;
"undefined";"undefined";"undefined";"undefined";6;4;yes;1;1;4;1;false;724;
"undefined";"undefined";"undefined";"undefined";4;4;no;1;1;4;1;false;785;
"undefined";"undefined";"undefined";"undefined";2;7;no;2;1;7;1;false;795;
"undefined";"undefined";"undefined";"undefined";6;4;yes;1;1;3;1;false;783;
"undefined";"undefined";"undefined";"undefined";6;7;no;2;1;10;1;false;770;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;2;1;false;825;
"undefined";"undefined";"undefined";"undefined";8;4;yes;1;1;9;1;false;985;
"undefined";"undefined";"undefined";"undefined";8;7;no;2;1;4;1;false;695;
"undefined";"undefined";"undefined";"undefined";6;6;yes;1;1;8;1;false;860;
"undefined";"undefined";"undefined";"undefined";8;3;yes;2;1;9;1;false;979;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;3;1;false;782;
