"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Contrast;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";2;3;no;2;1;5;1;false;828;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;7;1;false;652;
"undefined";"undefined";"undefined";"undefined";2;4;yes;1;1;8;1;false;1361;
"undefined";"undefined";"undefined";"undefined";5;6;yes;1;1;5;1;false;800;
"undefined";"undefined";"undefined";"undefined";8;3;no;2;1;7;1;false;804;
"undefined";"undefined";"undefined";"undefined";8;5;yes;0;1;3;1;false;774;
"undefined";"undefined";"undefined";"undefined";5;5;yes;0;1;9;1;false;1130;
"undefined";"undefined";"undefined";"undefined";6;5;yes;0;1;10;1;false;742;
"undefined";"undefined";"undefined";"undefined";2;7;yes;2;1;10;1;false;971;
"undefined";"undefined";"undefined";"undefined";4;3;yes;2;1;3;1;false;825;
"undefined";"undefined";"undefined";"undefined";8;5;yes;0;1;7;1;false;707;
"undefined";"undefined";"undefined";"undefined";6;7;no;2;1;2;1;false;737;
"undefined";"undefined";"undefined";"undefined";4;3;no;2;1;6;1;false;892;
"undefined";"undefined";"undefined";"undefined";2;3;yes;2;1;4;1;false;968;
"undefined";"undefined";"undefined";"undefined";6;5;yes;0;1;8;1;false;905;
"undefined";"undefined";"undefined";"undefined";2;3;no;2;1;7;1;false;835;
"undefined";"undefined";"undefined";"undefined";5;7;no;2;1;8;1;false;693;
"undefined";"undefined";"undefined";"undefined";4;6;no;1;1;8;1;false;731;
"undefined";"undefined";"undefined";"undefined";2;4;yes;1;1;10;1;false;1151;
"undefined";"undefined";"undefined";"undefined";5;5;no;0;1;4;1;false;853;
"undefined";"undefined";"undefined";"undefined";5;4;yes;1;1;8;1;false;751;
"undefined";"undefined";"undefined";"undefined";5;5;yes;0;1;2;1;false;942;
"undefined";"undefined";"undefined";"undefined";6;6;yes;1;1;8;1;false;873;
"undefined";"undefined";"undefined";"undefined";6;7;yes;2;1;4;1;false;861;
"undefined";"undefined";"undefined";"undefined";6;5;yes;0;1;3;1;false;973;
"undefined";"undefined";"undefined";"undefined";2;3;no;2;1;6;1;false;825;
