"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Contrast;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";5;7;yes;2;1;6;1;false;605;
"undefined";"undefined";"undefined";"undefined";6;7;no;2;1;2;1;false;580;
"undefined";"undefined";"undefined";"undefined";5;3;no;2;1;7;1;false;662;
"undefined";"undefined";"undefined";"undefined";2;5;no;0;1;10;1;false;675;
"undefined";"undefined";"undefined";"undefined";8;3;yes;2;1;2;1;false;566;
"undefined";"undefined";"undefined";"undefined";4;4;yes;1;1;4;1;false;665;
"undefined";"undefined";"undefined";"undefined";4;3;no;2;1;7;1;false;709;
"undefined";"undefined";"undefined";"undefined";6;4;no;1;1;7;1;false;608;
"undefined";"undefined";"undefined";"undefined";6;3;yes;2;1;2;1;false;483;
"undefined";"undefined";"undefined";"undefined";2;5;yes;0;1;5;1;false;666;
"undefined";"undefined";"undefined";"undefined";4;4;no;1;1;6;1;false;584;
"undefined";"undefined";"undefined";"undefined";8;7;no;2;1;2;1;false;581;
"undefined";"undefined";"undefined";"undefined";4;4;yes;1;1;1;1;true;583;
"undefined";"undefined";"undefined";"undefined";4;7;no;2;1;1;1;true;541;
"undefined";"undefined";"undefined";"undefined";2;7;no;2;1;2;1;false;852;
"undefined";"undefined";"undefined";"undefined";5;6;no;1;1;7;1;false;628;
"undefined";"undefined";"undefined";"undefined";4;7;no;2;1;3;1;false;608;
"undefined";"undefined";"undefined";"undefined";8;6;yes;1;1;8;1;false;671;
"undefined";"undefined";"undefined";"undefined";8;7;no;2;1;1;1;true;910;
"undefined";"undefined";"undefined";"undefined";6;5;no;0;1;2;1;false;550;
"undefined";"undefined";"undefined";"undefined";2;3;no;2;1;2;1;false;868;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;5;1;false;910;
"undefined";"undefined";"undefined";"undefined";2;4;no;1;1;5;1;false;826;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;4;1;false;904;
"undefined";"undefined";"undefined";"undefined";2;7;yes;2;1;1;1;true;838;
"undefined";"undefined";"undefined";"undefined";2;4;yes;1;1;7;1;false;929;
"undefined";"undefined";"undefined";"undefined";8;3;yes;2;1;2;1;false;655;
"undefined";"undefined";"undefined";"undefined";2;7;no;2;1;1;1;true;990;
"undefined";"undefined";"undefined";"undefined";5;5;yes;0;1;10;1;false;657;
"undefined";"undefined";"undefined";"undefined";4;3;no;2;1;6;1;false;865;
"undefined";"undefined";"undefined";"undefined";8;3;yes;2;1;8;1;false;637;
"undefined";"undefined";"undefined";"undefined";8;7;yes;2;1;9;1;false;706;
"undefined";"undefined";"undefined";"undefined";8;7;yes;2;1;8;1;false;843;
"undefined";"undefined";"undefined";"undefined";6;7;no;2;1;10;1;false;622;
"undefined";"undefined";"undefined";"undefined";5;3;yes;2;1;5;1;false;749;
"undefined";"undefined";"undefined";"undefined";2;3;yes;2;1;2;1;false;1018;
"undefined";"undefined";"undefined";"undefined";4;5;yes;0;1;7;1;false;722;
"undefined";"undefined";"undefined";"undefined";4;3;yes;2;1;5;1;false;829;
"undefined";"undefined";"undefined";"undefined";5;5;yes;0;1;7;1;false;619;
"undefined";"undefined";"undefined";"undefined";4;5;yes;0;1;8;1;false;621;
"undefined";"undefined";"undefined";"undefined";4;3;no;2;1;2;1;false;744;
"undefined";"undefined";"undefined";"undefined";2;5;yes;0;1;8;1;false;745;
"undefined";"undefined";"undefined";"undefined";2;5;yes;0;1;8;1;false;720;
"undefined";"undefined";"undefined";"undefined";5;7;no;2;1;3;1;false;622;
"undefined";"undefined";"undefined";"undefined";8;7;yes;2;1;5;1;false;621;
"undefined";"undefined";"undefined";"undefined";4;5;no;0;1;7;1;false;703;
"undefined";"undefined";"undefined";"undefined";5;7;no;2;1;8;1;false;612;
"undefined";"undefined";"undefined";"undefined";6;3;yes;2;1;3;1;false;621;
"undefined";"undefined";"undefined";"undefined";6;4;yes;1;1;4;1;false;536;
"undefined";"undefined";"undefined";"undefined";4;3;yes;2;1;6;1;false;641;
"undefined";"undefined";"undefined";"undefined";5;4;yes;1;1;7;1;false;640;
"undefined";"undefined";"undefined";"undefined";8;7;no;2;1;3;1;false;578;
"undefined";"undefined";"undefined";"undefined";6;4;no;1;1;5;1;false;532;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;2;1;false;559;
"undefined";"undefined";"undefined";"undefined";5;5;yes;0;1;1;1;true;585;
"undefined";"undefined";"undefined";"undefined";6;6;no;1;1;6;1;false;524;
"undefined";"undefined";"undefined";"undefined";5;4;yes;1;1;4;1;false;660;
"undefined";"undefined";"undefined";"undefined";6;4;yes;1;1;2;1;false;646;
"undefined";"undefined";"undefined";"undefined";2;6;no;1;1;1;1;true;730;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;9;1;false;663;
"undefined";"undefined";"undefined";"undefined";2;3;no;2;1;5;1;false;1019;
"undefined";"undefined";"undefined";"undefined";5;3;no;2;1;7;1;false;628;
"undefined";"undefined";"undefined";"undefined";8;6;yes;1;1;6;1;false;519;
"undefined";"undefined";"undefined";"undefined";6;6;no;1;1;7;1;false;528;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;1;1;true;490;
"undefined";"undefined";"undefined";"undefined";2;3;no;2;1;5;1;false;638;
"undefined";"undefined";"undefined";"undefined";2;4;no;1;1;6;1;false;607;
"undefined";"undefined";"undefined";"undefined";6;6;no;1;1;9;1;false;561;
"undefined";"undefined";"undefined";"undefined";8;5;yes;0;1;3;1;false;599;
"undefined";"undefined";"undefined";"undefined";8;4;yes;1;1;2;1;false;551;
"undefined";"undefined";"undefined";"undefined";5;6;no;1;1;10;1;false;557;
"undefined";"undefined";"undefined";"undefined";8;7;no;2;1;4;1;false;566;
"undefined";"undefined";"undefined";"undefined";5;3;no;2;1;6;1;false;541;
"undefined";"undefined";"undefined";"undefined";8;5;no;0;1;5;1;false;519;
"undefined";"undefined";"undefined";"undefined";6;6;yes;1;1;7;1;false;528;
"undefined";"undefined";"undefined";"undefined";4;4;no;1;1;10;1;false;519;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;7;1;false;475;
"undefined";"undefined";"undefined";"undefined";5;7;yes;2;1;10;1;false;542;
"undefined";"undefined";"undefined";"undefined";2;3;yes;2;1;7;1;false;632;
"undefined";"undefined";"undefined";"undefined";6;5;no;0;1;7;1;false;525;
"undefined";"undefined";"undefined";"undefined";5;4;yes;1;1;7;1;false;560;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;1;1;true;562;
"undefined";"undefined";"undefined";"undefined";4;6;yes;1;1;9;1;false;552;
"undefined";"undefined";"undefined";"undefined";4;6;yes;1;1;2;1;false;568;
"undefined";"undefined";"undefined";"undefined";8;7;no;2;1;6;1;false;602;
"undefined";"undefined";"undefined";"undefined";4;6;no;1;1;3;1;false;753;
"undefined";"undefined";"undefined";"undefined";5;7;yes;2;1;5;1;false;645;
"undefined";"undefined";"undefined";"undefined";5;4;no;1;1;1;1;true;633;
"undefined";"undefined";"undefined";"undefined";2;7;yes;2;1;4;1;false;845;
"undefined";"undefined";"undefined";"undefined";4;4;yes;1;1;8;1;false;613;
"undefined";"undefined";"undefined";"undefined";4;5;no;0;1;8;1;false;691;
"undefined";"undefined";"undefined";"undefined";8;3;yes;2;1;2;1;false;530;
"undefined";"undefined";"undefined";"undefined";2;4;no;1;1;7;1;false;611;
"undefined";"undefined";"undefined";"undefined";5;7;no;2;1;6;1;false;593;
"undefined";"undefined";"undefined";"undefined";8;5;yes;0;1;7;1;false;565;
"undefined";"undefined";"undefined";"undefined";2;3;yes;2;1;4;1;false;540;
"undefined";"undefined";"undefined";"undefined";5;4;no;1;1;2;1;false;521;
"undefined";"undefined";"undefined";"undefined";2;6;yes;1;1;1;1;true;504;
"undefined";"undefined";"undefined";"undefined";5;6;yes;1;1;4;1;false;516;
"undefined";"undefined";"undefined";"undefined";6;4;no;1;1;9;1;false;585;
"undefined";"undefined";"undefined";"undefined";8;5;no;0;1;9;1;false;523;
"undefined";"undefined";"undefined";"undefined";8;6;no;1;1;6;1;false;602;
"undefined";"undefined";"undefined";"undefined";5;7;no;2;1;8;1;false;519;
"undefined";"undefined";"undefined";"undefined";4;6;yes;1;1;9;1;false;612;
"undefined";"undefined";"undefined";"undefined";8;4;no;1;1;3;1;false;518;
"undefined";"undefined";"undefined";"undefined";8;3;no;2;1;10;1;false;481;
"undefined";"undefined";"undefined";"undefined";8;5;no;0;1;7;1;false;523;
"undefined";"undefined";"undefined";"undefined";2;4;no;1;1;1;1;true;576;
"undefined";"undefined";"undefined";"undefined";6;3;no;2;1;2;1;false;552;
"undefined";"undefined";"undefined";"undefined";6;5;yes;0;1;8;1;false;488;
"undefined";"undefined";"undefined";"undefined";6;3;yes;2;1;7;1;false;509;
"undefined";"undefined";"undefined";"undefined";4;7;no;2;1;10;1;false;574;
"undefined";"undefined";"undefined";"undefined";8;4;no;1;1;7;1;false;512;
"undefined";"undefined";"undefined";"undefined";6;6;no;1;1;6;1;false;514;
"undefined";"undefined";"undefined";"undefined";5;6;no;1;1;6;1;false;512;
"undefined";"undefined";"undefined";"undefined";6;7;yes;2;1;2;1;false;458;
"undefined";"undefined";"undefined";"undefined";5;3;no;2;1;9;1;false;526;
"undefined";"undefined";"undefined";"undefined";2;7;no;2;1;2;1;false;514;
"undefined";"undefined";"undefined";"undefined";8;5;no;0;1;4;1;false;512;
"undefined";"undefined";"undefined";"undefined";5;4;no;1;1;1;1;true;487;
"undefined";"undefined";"undefined";"undefined";2;4;no;1;1;7;1;false;514;
"undefined";"undefined";"undefined";"undefined";4;5;yes;0;1;7;1;false;579;
