"Age";"Status";"Studies";"YearsOfExperience";Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";3;2;1;8;1;false;439;
"undefined";"undefined";"undefined";"undefined";3;2;1;8;1;false;329;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;1;true;332;
"undefined";"undefined";"undefined";"undefined";2;3;1;10;1;false;380;
"undefined";"undefined";"undefined";"undefined";1;4;1;3;1;false;340;
"undefined";"undefined";"undefined";"undefined";1;4;1;5;1;false;355;
"undefined";"undefined";"undefined";"undefined";5;0;1;9;1;false;426;
"undefined";"undefined";"undefined";"undefined";5;0;1;3;1;false;381;
"undefined";"undefined";"undefined";"undefined";8;3;1;6;1;false;382;
"undefined";"undefined";"undefined";"undefined";5;0;1;8;1;false;405;
"undefined";"undefined";"undefined";"undefined";4;1;1;5;1;false;385;
"undefined";"undefined";"undefined";"undefined";4;1;1;3;1;false;372;
"undefined";"undefined";"undefined";"undefined";8;3;1;8;1;false;399;
"undefined";"undefined";"undefined";"undefined";2;3;1;3;1;false;421;
"undefined";"undefined";"undefined";"undefined";4;1;1;9;1;false;375;
"undefined";"undefined";"undefined";"undefined";4;1;1;9;1;false;375;
"undefined";"undefined";"undefined";"undefined";7;2;1;5;1;false;327;
"undefined";"undefined";"undefined";"undefined";1;4;1;2;1;false;383;
"undefined";"undefined";"undefined";"undefined";9;4;1;9;1;false;363;
"undefined";"undefined";"undefined";"undefined";4;1;1;2;1;false;376;
"undefined";"undefined";"undefined";"undefined";8;3;1;2;1;false;345;
"undefined";"undefined";"undefined";"undefined";5;0;1;9;1;false;322;
"undefined";"undefined";"undefined";"undefined";6;1;1;1;1;true;359;
"undefined";"undefined";"undefined";"undefined";9;4;1;7;1;false;326;
"undefined";"undefined";"undefined";"undefined";3;2;1;5;1;false;362;
"undefined";"undefined";"undefined";"undefined";2;3;1;9;1;false;347;
"undefined";"undefined";"undefined";"undefined";8;3;1;7;1;false;346;
"undefined";"undefined";"undefined";"undefined";6;1;1;2;1;false;329;
"undefined";"undefined";"undefined";"undefined";1;4;1;3;1;false;359;
"undefined";"undefined";"undefined";"undefined";7;2;1;1;1;true;363;
"undefined";"undefined";"undefined";"undefined";9;4;1;8;1;false;373;
"undefined";"undefined";"undefined";"undefined";8;3;1;4;1;false;346;
"undefined";"undefined";"undefined";"undefined";1;4;1;6;1;false;381;
"undefined";"undefined";"undefined";"undefined";9;4;1;5;1;false;331;
"undefined";"undefined";"undefined";"undefined";3;2;1;3;1;false;351;
"undefined";"undefined";"undefined";"undefined";6;1;1;10;1;false;356;
"undefined";"undefined";"undefined";"undefined";1;4;1;1;1;true;466;
"undefined";"undefined";"undefined";"undefined";5;0;1;2;1;false;375;
"undefined";"undefined";"undefined";"undefined";6;1;1;10;1;false;380;
"undefined";"undefined";"undefined";"undefined";9;4;1;10;1;false;343;
"undefined";"undefined";"undefined";"undefined";7;2;1;10;1;false;393;
"undefined";"undefined";"undefined";"undefined";2;3;1;10;1;false;366;
"undefined";"undefined";"undefined";"undefined";3;2;1;4;1;false;380;
"undefined";"undefined";"undefined";"undefined";2;3;1;5;1;false;414;
"undefined";"undefined";"undefined";"undefined";1;4;1;7;1;false;419;
"undefined";"undefined";"undefined";"undefined";9;4;1;5;1;false;324;
"undefined";"undefined";"undefined";"undefined";8;3;1;5;1;false;334;
"undefined";"undefined";"undefined";"undefined";6;1;1;3;1;false;395;
