"Age";"Status";"Studies";"YearsOfExperience";Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";2;3;1;2;1;false;388;
"undefined";"undefined";"undefined";"undefined";7;2;1;8;1;false;297;
"undefined";"undefined";"undefined";"undefined";7;2;1;7;1;false;431;
"undefined";"undefined";"undefined";"undefined";5;0;1;5;1;false;302;
"undefined";"undefined";"undefined";"undefined";3;2;1;7;1;false;276;
"undefined";"undefined";"undefined";"undefined";4;1;1;10;1;false;251;
"undefined";"undefined";"undefined";"undefined";3;2;1;1;1;true;292;
"undefined";"undefined";"undefined";"undefined";1;4;1;7;1;false;284;
"undefined";"undefined";"undefined";"undefined";6;1;1;5;1;false;281;
"undefined";"undefined";"undefined";"undefined";6;1;1;9;1;false;329;
"undefined";"undefined";"undefined";"undefined";8;3;1;3;1;false;310;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;1;true;328;
"undefined";"undefined";"undefined";"undefined";5;0;1;1;1;true;311;
"undefined";"undefined";"undefined";"undefined";2;3;1;3;1;false;365;
"undefined";"undefined";"undefined";"undefined";1;4;1;2;1;false;365;
"undefined";"undefined";"undefined";"undefined";8;3;1;3;1;false;328;
"undefined";"undefined";"undefined";"undefined";7;2;1;8;1;false;347;
"undefined";"undefined";"undefined";"undefined";6;1;1;1;1;true;313;
"undefined";"undefined";"undefined";"undefined";7;2;1;9;1;false;352;
"undefined";"undefined";"undefined";"undefined";8;3;1;2;1;false;302;
"undefined";"undefined";"undefined";"undefined";4;1;1;9;1;false;306;
"undefined";"undefined";"undefined";"undefined";2;3;1;3;1;false;312;
"undefined";"undefined";"undefined";"undefined";4;1;1;5;1;false;333;
"undefined";"undefined";"undefined";"undefined";9;4;1;10;1;false;346;
"undefined";"undefined";"undefined";"undefined";4;1;1;8;1;false;330;
"undefined";"undefined";"undefined";"undefined";6;1;1;4;1;false;356;
"undefined";"undefined";"undefined";"undefined";4;1;1;9;1;false;335;
"undefined";"undefined";"undefined";"undefined";5;0;1;3;1;false;326;
"undefined";"undefined";"undefined";"undefined";5;0;1;3;1;false;370;
"undefined";"undefined";"undefined";"undefined";7;2;1;3;1;false;337;
"undefined";"undefined";"undefined";"undefined";5;0;1;3;1;false;346;
"undefined";"undefined";"undefined";"undefined";3;2;1;2;1;false;328;
"undefined";"undefined";"undefined";"undefined";1;4;1;1;1;true;330;
"undefined";"undefined";"undefined";"undefined";5;0;1;9;1;false;352;
