"Age";"Status";"Studies";"YearsOfExperience";Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";9;4;1;4;1;false;444;
"undefined";"undefined";"undefined";"undefined";3;2;1;1;1;true;305;
"undefined";"undefined";"undefined";"undefined";8;3;1;8;1;false;320;
"undefined";"undefined";"undefined";"undefined";8;3;1;6;1;false;309;
"undefined";"undefined";"undefined";"undefined";1;4;1;8;1;false;338;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;1;true;363;
"undefined";"undefined";"undefined";"undefined";5;0;1;2;1;false;349;
"undefined";"undefined";"undefined";"undefined";1;4;1;9;1;false;313;
"undefined";"undefined";"undefined";"undefined";4;1;1;9;1;false;321;
"undefined";"undefined";"undefined";"undefined";9;4;1;6;1;false;294;
"undefined";"undefined";"undefined";"undefined";3;2;1;7;1;false;312;
"undefined";"undefined";"undefined";"undefined";2;3;1;9;1;false;343;
"undefined";"undefined";"undefined";"undefined";8;3;1;5;1;false;330;
"undefined";"undefined";"undefined";"undefined";4;1;1;1;1;true;322;
"undefined";"undefined";"undefined";"undefined";6;1;1;2;1;false;317;
"undefined";"undefined";"undefined";"undefined";2;3;1;5;1;false;314;
"undefined";"undefined";"undefined";"undefined";7;2;1;3;1;false;344;
"undefined";"undefined";"undefined";"undefined";4;1;1;7;1;false;363;
"undefined";"undefined";"undefined";"undefined";3;2;1;6;1;false;401;
"undefined";"undefined";"undefined";"undefined";3;2;1;7;1;false;336;
"undefined";"undefined";"undefined";"undefined";9;4;1;4;1;false;321;
"undefined";"undefined";"undefined";"undefined";7;2;1;10;1;false;347;
"undefined";"undefined";"undefined";"undefined";3;2;1;7;1;false;351;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;1;true;349;
"undefined";"undefined";"undefined";"undefined";5;0;1;6;1;false;314;
"undefined";"undefined";"undefined";"undefined";7;2;1;5;1;false;317;
"undefined";"undefined";"undefined";"undefined";1;4;1;3;1;false;391;
"undefined";"undefined";"undefined";"undefined";8;3;1;8;1;false;328;
"undefined";"undefined";"undefined";"undefined";4;1;1;8;1;false;369;
"undefined";"undefined";"undefined";"undefined";6;1;1;9;1;false;340;
"undefined";"undefined";"undefined";"undefined";8;3;1;4;1;false;347;
"undefined";"undefined";"undefined";"undefined";3;2;1;1;1;true;333;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;1;true;363;
"undefined";"undefined";"undefined";"undefined";2;3;1;7;1;false;349;
"undefined";"undefined";"undefined";"undefined";6;1;1;1;1;true;357;
"undefined";"undefined";"undefined";"undefined";7;2;1;2;1;false;358;
"undefined";"undefined";"undefined";"undefined";9;4;1;7;1;false;323;
"undefined";"undefined";"undefined";"undefined";3;2;1;3;1;false;343;
"undefined";"undefined";"undefined";"undefined";8;3;1;8;1;false;296;
"undefined";"undefined";"undefined";"undefined";5;0;1;2;1;false;313;
"undefined";"undefined";"undefined";"undefined";3;2;1;4;1;false;319;
"undefined";"undefined";"undefined";"undefined";2;3;1;4;1;false;312;
"undefined";"undefined";"undefined";"undefined";1;4;1;10;1;false;291;
"undefined";"undefined";"undefined";"undefined";8;3;1;6;1;false;296;
"undefined";"undefined";"undefined";"undefined";7;2;1;10;1;false;335;
"undefined";"undefined";"undefined";"undefined";9;4;1;9;1;false;294;
"undefined";"undefined";"undefined";"undefined";5;0;1;9;1;false;290;
"undefined";"undefined";"undefined";"undefined";2;3;1;4;1;false;323;
"undefined";"undefined";"undefined";"undefined";3;2;1;1;1;true;326;
"undefined";"undefined";"undefined";"undefined";6;1;1;8;1;false;303;
"undefined";"undefined";"undefined";"undefined";1;4;1;9;1;false;336;
"undefined";"undefined";"undefined";"undefined";5;0;1;10;1;false;315;
"undefined";"undefined";"undefined";"undefined";4;1;1;10;1;false;319;
"undefined";"undefined";"undefined";"undefined";5;0;1;5;1;false;335;
"undefined";"undefined";"undefined";"undefined";5;0;1;9;1;false;347;
"undefined";"undefined";"undefined";"undefined";1;4;1;1;1;true;328;
"undefined";"undefined";"undefined";"undefined";1;4;1;9;1;false;317;
"undefined";"undefined";"undefined";"undefined";9;4;1;1;1;true;317;
"undefined";"undefined";"undefined";"undefined";2;3;1;3;1;false;335;
"undefined";"undefined";"undefined";"undefined";2;3;1;10;1;false;350;
"undefined";"undefined";"undefined";"undefined";9;4;1;2;1;false;279;
"undefined";"undefined";"undefined";"undefined";6;1;1;8;1;false;331;
"undefined";"undefined";"undefined";"undefined";6;1;1;9;1;false;308;
"undefined";"undefined";"undefined";"undefined";9;4;1;4;1;false;309;
"undefined";"undefined";"undefined";"undefined";7;2;1;1;1;true;319;
"undefined";"undefined";"undefined";"undefined";2;3;1;1;1;true;343;
"undefined";"undefined";"undefined";"undefined";4;1;1;2;1;false;292;
"undefined";"undefined";"undefined";"undefined";4;1;1;9;1;false;307;
"undefined";"undefined";"undefined";"undefined";7;2;1;2;1;false;337;
"undefined";"undefined";"undefined";"undefined";9;4;1;3;1;false;330;
"undefined";"undefined";"undefined";"undefined";5;0;1;7;1;false;327;
"undefined";"undefined";"undefined";"undefined";4;1;1;6;1;false;324;
"undefined";"undefined";"undefined";"undefined";9;4;1;2;1;false;337;
"undefined";"undefined";"undefined";"undefined";1;4;1;1;1;true;340;
"undefined";"undefined";"undefined";"undefined";8;3;1;5;1;false;305;
"undefined";"undefined";"undefined";"undefined";3;2;1;10;1;false;354;
