"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";40;1;4;1;7;1;false;555;
"undefined";"undefined";"undefined";"undefined";40;1;4;1;8;1;false;466;
"undefined";"undefined";"undefined";"undefined";40;3;2;1;9;1;false;451;
"undefined";"undefined";"undefined";"undefined";10;4;1;1;9;1;false;613;
"undefined";"undefined";"undefined";"undefined";10;1;4;1;1;1;true;524;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;9;1;false;518;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;8;1;false;686;
"undefined";"undefined";"undefined";"undefined";4;3;2;1;1;1;true;667;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;10;1;false;562;
"undefined";"undefined";"undefined";"undefined";40;2;3;1;10;1;false;441;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;3;1;false;654;
"undefined";"undefined";"undefined";"undefined";4;2;3;1;3;1;false;576;
"undefined";"undefined";"undefined";"undefined";6;4;1;1;6;1;false;531;
"undefined";"undefined";"undefined";"undefined";40;2;3;1;8;1;false;466;
"undefined";"undefined";"undefined";"undefined";20;5;0;1;9;1;false;405;
"undefined";"undefined";"undefined";"undefined";20;3;2;1;6;1;false;408;
"undefined";"undefined";"undefined";"undefined";10;3;2;1;9;1;false;432;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;8;1;false;450;
"undefined";"undefined";"undefined";"undefined";2;3;2;1;6;1;false;593;
"undefined";"undefined";"undefined";"undefined";40;4;1;1;5;1;false;510;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;1;1;true;539;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;6;1;false;480;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;3;1;false;464;
"undefined";"undefined";"undefined";"undefined";6;3;2;1;10;1;false;420;
"undefined";"undefined";"undefined";"undefined";10;4;1;1;5;1;false;440;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;4;1;false;421;
"undefined";"undefined";"undefined";"undefined";2;5;0;1;8;1;false;521;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;8;1;false;473;
"undefined";"undefined";"undefined";"undefined";40;3;2;1;3;1;false;425;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;5;1;false;517;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;8;1;false;457;
"undefined";"undefined";"undefined";"undefined";40;3;2;1;3;1;false;403;
"undefined";"undefined";"undefined";"undefined";10;2;3;1;4;1;false;445;
"undefined";"undefined";"undefined";"undefined";6;5;0;1;5;1;false;412;
"undefined";"undefined";"undefined";"undefined";20;4;1;1;4;1;false;427;
"undefined";"undefined";"undefined";"undefined";10;1;4;1;10;1;false;418;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;2;1;false;396;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;1;1;true;446;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;2;1;false;422;
"undefined";"undefined";"undefined";"undefined";20;1;4;1;10;1;false;453;
"undefined";"undefined";"undefined";"undefined";4;4;1;1;7;1;false;497;
"undefined";"undefined";"undefined";"undefined";10;1;4;1;1;1;true;436;
"undefined";"undefined";"undefined";"undefined";2;1;4;1;5;1;false;512;
"undefined";"undefined";"undefined";"undefined";2;4;1;1;1;1;true;644;
"undefined";"undefined";"undefined";"undefined";10;5;0;1;10;1;false;439;
