"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Schmutz;Schmutz_Group;Schmutz_Above;Schmutz_Below;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";8;5;0;2;0-5;2;0;1;9;1;false;451;
"undefined";"undefined";"undefined";"undefined";14;4;1;1;0-5;1;0;1;6;1;false;346;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;none;0;0;1;4;1;false;382;
"undefined";"undefined";"undefined";"undefined";20;9;4;0;none;0;0;1;5;1;false;395;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;none;0;0;1;7;1;false;338;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;none;0;0;1;1;1;true;374;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;none;0;0;1;6;1;false;372;
"undefined";"undefined";"undefined";"undefined";8;4;1;7;5-10;2;5;1;4;1;false;402;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;none;0;0;1;3;1;false;388;
"undefined";"undefined";"undefined";"undefined";10;8;3;3;0-5;2;1;1;6;1;false;373;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;none;0;0;1;3;1;false;366;
"undefined";"undefined";"undefined";"undefined";20;2;3;0;none;0;0;1;3;1;false;389;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;1;5;1;false;334;
"undefined";"undefined";"undefined";"undefined";18;7;2;0;none;0;0;1;2;1;false;340;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;none;0;0;1;1;1;true;377;
"undefined";"undefined";"undefined";"undefined";18;5;0;0;none;0;0;1;10;1;false;312;
"undefined";"undefined";"undefined";"undefined";10;7;2;4;0-5;3;1;1;3;1;false;352;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;none;0;0;1;7;1;false;353;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;none;0;0;1;4;1;false;401;
"undefined";"undefined";"undefined";"undefined";10;1;4;2;0-5;0;2;1;8;1;false;396;
"undefined";"undefined";"undefined";"undefined";18;4;1;0;none;0;0;1;8;1;false;341;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;1;10;1;false;337;
"undefined";"undefined";"undefined";"undefined";6;5;0;8;5-10;4;4;1;5;1;false;418;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;none;0;0;1;10;1;false;357;
"undefined";"undefined";"undefined";"undefined";10;6;1;5;0-5;2;3;1;6;1;false;378;
