"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Schmutz;Schmutz_Group;Schmutz_Above;Schmutz_Below;Marked_Word_Length;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";10;2;3;0;none;0;0;4;1;7;1;false;473;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;6;1;6;1;false;358;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;3;1;8;1;false;332;
"undefined";"undefined";"undefined";"undefined";14;6;1;0;none;0;0;5;1;1;1;true;383;
"undefined";"undefined";"undefined";"undefined";14;8;3;0;none;0;0;4;1;10;1;false;387;
"undefined";"undefined";"undefined";"undefined";10;5;0;0;none;0;0;4;1;6;1;false;456;
"undefined";"undefined";"undefined";"undefined";10;5;0;0;none;0;0;3;1;10;1;false;385;
"undefined";"undefined";"undefined";"undefined";10;1;4;5;0-5;0;5;9;1;6;1;false;431;
"undefined";"undefined";"undefined";"undefined";8;2;3;5;0-5;2;3;5;1;5;1;false;428;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;none;0;0;7;1;10;1;false;385;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;none;0;0;10;1;2;1;false;387;
"undefined";"undefined";"undefined";"undefined";18;5;0;0;none;0;0;3;1;1;1;true;349;
"undefined";"undefined";"undefined";"undefined";10;2;3;4;0-5;0;4;8;1;6;1;false;374;
"undefined";"undefined";"undefined";"undefined";10;5;0;2;0-5;2;0;4;1;9;1;false;351;
"undefined";"undefined";"undefined";"undefined";8;4;1;8;5-10;4;4;6;1;6;1;false;412;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;none;0;0;4;1;7;1;false;381;
"undefined";"undefined";"undefined";"undefined";10;2;3;2;0-5;2;0;4;1;4;1;false;369;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;none;0;0;2;1;8;1;false;345;
"undefined";"undefined";"undefined";"undefined";10;1;4;4;0-5;0;4;8;1;3;1;false;435;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;none;0;0;4;1;8;1;false;371;
"undefined";"undefined";"undefined";"undefined";10;2;3;0;none;0;0;4;1;1;1;true;415;
"undefined";"undefined";"undefined";"undefined";6;9;4;6;5-10;6;0;5;1;5;1;false;366;
"undefined";"undefined";"undefined";"undefined";18;3;2;0;none;0;0;3;1;10;1;false;362;
"undefined";"undefined";"undefined";"undefined";20;7;2;0;none;0;0;6;1;5;1;false;357;
"undefined";"undefined";"undefined";"undefined";14;3;2;0;none;0;0;4;1;9;1;false;389;
