"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Schmutz;Schmutz_Group;Schmutz_Above;Schmutz_Below;Marked_Word_Length;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";8;4;1;3;2_0-5;0;3;8;1;10;1;false;424;
"undefined";"undefined";"undefined";"undefined";14;1;4;0;1_none;0;0;6;1;4;1;false;374;
"undefined";"undefined";"undefined";"undefined";18;2;3;0;1_none;0;0;9;1;10;1;false;392;
"undefined";"undefined";"undefined";"undefined";6;2;3;7;3_5-10;4;3;6;1;5;1;false;482;
"undefined";"undefined";"undefined";"undefined";10;3;2;0;1_none;0;0;5;1;9;1;false;482;
"undefined";"undefined";"undefined";"undefined";8;2;3;0;1_none;0;0;4;1;7;1;false;622;
"undefined";"undefined";"undefined";"undefined";10;4;1;0;1_none;0;0;4;1;4;1;false;582;
"undefined";"undefined";"undefined";"undefined";18;6;1;0;1_none;0;0;4;1;10;1;false;475;
"undefined";"undefined";"undefined";"undefined";18;1;4;0;1_none;0;0;7;1;6;1;false;383;
"undefined";"undefined";"undefined";"undefined";8;7;2;5;2_0-5;3;2;7;1;2;1;false;337;
"undefined";"undefined";"undefined";"undefined";6;1;4;4;2_0-5;0;4;7;1;1;1;true;403;
"undefined";"undefined";"undefined";"undefined";20;6;1;0;1_none;0;0;6;1;4;1;false;376;
"undefined";"undefined";"undefined";"undefined";6;9;4;5;2_0-5;5;0;5;1;5;1;false;396;
"undefined";"undefined";"undefined";"undefined";6;7;2;7;3_5-10;4;3;6;1;2;1;false;421;
"undefined";"undefined";"undefined";"undefined";10;4;1;2;2_0-5;0;2;9;1;10;1;false;457;
"undefined";"undefined";"undefined";"undefined";18;8;3;0;1_none;0;0;10;1;6;1;false;369;
"undefined";"undefined";"undefined";"undefined";6;3;2;5;2_0-5;4;1;4;1;9;1;false;492;
"undefined";"undefined";"undefined";"undefined";18;9;4;0;1_none;0;0;3;1;3;1;false;354;
"undefined";"undefined";"undefined";"undefined";20;5;0;0;1_none;0;0;10;1;9;1;false;336;
"undefined";"undefined";"undefined";"undefined";14;3;2;0;1_none;0;0;6;1;8;1;false;430;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;1_none;0;0;5;1;2;1;false;383;
"undefined";"undefined";"undefined";"undefined";6;8;3;3;2_0-5;3;0;3;1;3;1;false;401;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;1_none;0;0;5;1;7;1;false;492;
"undefined";"undefined";"undefined";"undefined";6;1;4;0;1_none;0;0;3;1;10;1;false;445;
"undefined";"undefined";"undefined";"undefined";8;2;3;3;2_0-5;2;1;6;1;5;1;false;392;
"undefined";"undefined";"undefined";"undefined";20;3;2;0;1_none;0;0;5;1;7;1;false;392;
"undefined";"undefined";"undefined";"undefined";6;4;1;4;2_0-5;2;2;5;1;1;1;true;468;
"undefined";"undefined";"undefined";"undefined";14;9;4;0;1_none;0;0;4;1;10;1;false;385;
"undefined";"undefined";"undefined";"undefined";10;1;4;0;1_none;0;0;5;1;7;1;false;344;
"undefined";"undefined";"undefined";"undefined";20;1;4;0;1_none;0;0;7;1;1;1;true;371;
