"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Overlap_Target;Distance_from_Center;Marked_Word_Length;Overlap_Above;Overlap_Above_Percent;Overlap_Below;Overlap_Below_Percent;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";14;6;2_26-50;1;16;5;31;5;31;1;1;1;true;478;
"undefined";"undefined";"undefined";"undefined";14;6;3_51-75;1;34;23;68;23;68;1;8;1;false;442;
"undefined";"undefined";"undefined";"undefined";10;8;2_26-50;3;12;5;42;5;42;1;5;1;false;506;
"undefined";"undefined";"undefined";"undefined";6;5;2_26-50;0;5;2;40;2;40;1;3;1;false;679;
"undefined";"undefined";"undefined";"undefined";14;7;3_51-75;2;25;14;56;14;56;1;1;1;true;556;
"undefined";"undefined";"undefined";"undefined";10;4;2_26-50;1;10;3;30;3;30;1;7;1;false;409;
"undefined";"undefined";"undefined";"undefined";10;3;2_26-50;2;11;4;36;4;36;1;3;1;false;417;
"undefined";"undefined";"undefined";"undefined";14;4;1_0-25;1;11;0;0;0;0;1;10;1;false;416;
"undefined";"undefined";"undefined";"undefined";14;2;3_51-75;3;26;15;58;15;58;1;9;1;false;559;
"undefined";"undefined";"undefined";"undefined";14;7;1_0-25;2;12;1;8;1;8;1;10;1;false;486;
"undefined";"undefined";"undefined";"undefined";6;3;1_0-25;2;3;0;0;0;0;1;8;1;false;553;
"undefined";"undefined";"undefined";"undefined";14;6;1_0-25;1;12;1;8;1;8;1;1;1;true;437;
"undefined";"undefined";"undefined";"undefined";14;6;3_51-75;1;23;12;52;12;52;1;9;1;false;506;
"undefined";"undefined";"undefined";"undefined";10;7;2_26-50;2;13;6;46;6;46;1;6;1;false;430;
"undefined";"undefined";"undefined";"undefined";14;3;3_51-75;2;42;31;74;31;74;1;10;1;false;674;
"undefined";"undefined";"undefined";"undefined";10;8;3_51-75;3;15;8;53;8;53;1;4;1;false;503;
"undefined";"undefined";"undefined";"undefined";6;7;3_51-75;2;9;6;67;6;67;1;6;1;false;540;
"undefined";"undefined";"undefined";"undefined";14;7;2_26-50;2;19;8;42;8;42;1;10;1;false;453;
"undefined";"undefined";"undefined";"undefined";14;8;3_51-75;3;27;16;59;16;59;1;2;1;false;568;
"undefined";"undefined";"undefined";"undefined";14;7;2_26-50;2;16;5;31;5;31;1;1;1;true;425;
"undefined";"undefined";"undefined";"undefined";10;8;2_26-50;3;11;4;36;4;36;1;10;1;false;456;
"undefined";"undefined";"undefined";"undefined";14;4;3_51-75;1;29;18;62;18;62;1;8;1;false;533;
"undefined";"undefined";"undefined";"undefined";6;8;1_0-25;3;3;0;0;0;0;1;10;1;false;592;
"undefined";"undefined";"undefined";"undefined";14;2;1_0-25;3;14;3;21;3;21;1;7;1;false;581;
"undefined";"undefined";"undefined";"undefined";6;2;1_0-25;3;3;0;0;0;0;1;4;1;false;541;
"undefined";"undefined";"undefined";"undefined";14;8;2_26-50;3;16;5;31;5;31;1;4;1;false;375;
"undefined";"undefined";"undefined";"undefined";14;5;1_0-25;0;14;3;21;3;21;1;5;1;false;423;
"undefined";"undefined";"undefined";"undefined";6;7;2_26-50;2;5;2;40;2;40;1;6;1;false;488;
"undefined";"undefined";"undefined";"undefined";6;7;1_0-25;2;4;1;25;1;25;1;4;1;false;416;
"undefined";"undefined";"undefined";"undefined";10;5;3_51-75;0;15;8;53;8;53;1;10;1;false;432;
"undefined";"undefined";"undefined";"undefined";14;6;3_51-75;1;25;14;56;14;56;1;8;1;false;388;
"undefined";"undefined";"undefined";"undefined";6;4;3_51-75;1;8;5;63;5;63;1;8;1;false;491;
"undefined";"undefined";"undefined";"undefined";6;3;2_26-50;2;5;2;40;2;40;1;1;1;true;507;
"undefined";"undefined";"undefined";"undefined";10;7;1_0-25;2;8;1;13;1;13;1;10;1;false;429;
"undefined";"undefined";"undefined";"undefined";6;5;1_0-25;0;3;0;0;0;0;1;9;1;false;449;
"undefined";"undefined";"undefined";"undefined";6;4;2_26-50;1;6;3;50;3;50;1;8;1;false;486;
"undefined";"undefined";"undefined";"undefined";14;7;2_26-50;2;16;5;31;5;31;1;4;1;false;444;
"undefined";"undefined";"undefined";"undefined";10;8;2_26-50;3;12;5;42;5;42;1;6;1;false;432;
"undefined";"undefined";"undefined";"undefined";10;4;3_51-75;1;15;8;53;8;53;1;3;1;false;463;
"undefined";"undefined";"undefined";"undefined";10;7;1_0-25;2;8;1;13;1;13;1;4;1;false;437;
"undefined";"undefined";"undefined";"undefined";14;4;1_0-25;1;14;3;21;3;21;1;6;1;false;438;
"undefined";"undefined";"undefined";"undefined";14;6;1_0-25;1;13;2;15;2;15;1;7;1;false;387;
"undefined";"undefined";"undefined";"undefined";10;4;1_0-25;1;9;2;22;2;22;1;9;1;false;433;
"undefined";"undefined";"undefined";"undefined";14;7;1_0-25;2;14;3;21;3;21;1;4;1;false;408;
"undefined";"undefined";"undefined";"undefined";10;2;3_51-75;3;23;16;70;16;70;1;9;1;false;505;
"undefined";"undefined";"undefined";"undefined";6;8;2_26-50;3;5;2;40;2;40;1;3;1;false;392;
"undefined";"undefined";"undefined";"undefined";10;5;3_51-75;0;25;18;72;18;72;1;6;1;false;368;
"undefined";"undefined";"undefined";"undefined";10;6;3_51-75;1;15;8;53;8;53;1;1;1;true;333;
"undefined";"undefined";"undefined";"undefined";6;7;2_26-50;2;5;2;40;2;40;1;9;1;false;432;
"undefined";"undefined";"undefined";"undefined";6;2;3_51-75;3;8;5;63;5;63;1;8;1;false;430;
"undefined";"undefined";"undefined";"undefined";14;2;1_0-25;3;13;2;15;2;15;1;10;1;false;407;
"undefined";"undefined";"undefined";"undefined";10;7;1_0-25;2;7;0;0;0;0;1;9;1;false;422;
"undefined";"undefined";"undefined";"undefined";6;3;3_51-75;2;8;5;63;5;63;1;9;1;false;466;
"undefined";"undefined";"undefined";"undefined";6;4;1_0-25;1;3;0;0;0;0;1;7;1;false;452;
"undefined";"undefined";"undefined";"undefined";6;7;2_26-50;2;4;1;25;1;25;1;3;1;false;418;
"undefined";"undefined";"undefined";"undefined";14;8;3_51-75;3;37;26;70;26;70;1;6;1;false;417;
"undefined";"undefined";"undefined";"undefined";14;8;2_26-50;3;18;7;39;7;39;1;6;1;false;398;
"undefined";"undefined";"undefined";"undefined";6;2;1_0-25;3;4;1;25;1;25;1;1;1;true;438;
"undefined";"undefined";"undefined";"undefined";14;8;1_0-25;3;12;1;8;1;8;1;4;1;false;406;
"undefined";"undefined";"undefined";"undefined";6;5;1_0-25;0;3;0;0;0;0;1;5;1;false;439;
"undefined";"undefined";"undefined";"undefined";6;4;3_51-75;1;7;4;57;4;57;1;4;1;false;484;
"undefined";"undefined";"undefined";"undefined";14;2;2_26-50;3;16;5;31;5;31;1;2;1;false;408;
"undefined";"undefined";"undefined";"undefined";10;3;2_26-50;2;14;7;50;7;50;1;7;1;false;413;
"undefined";"undefined";"undefined";"undefined";10;2;1_0-25;3;8;1;13;1;13;1;7;1;false;406;
"undefined";"undefined";"undefined";"undefined";14;6;3_51-75;1;30;19;63;19;63;1;7;1;false;422;
"undefined";"undefined";"undefined";"undefined";10;4;2_26-50;1;11;4;36;4;36;1;7;1;false;402;
