"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Overlap_Total_Target;Distance_from_Center;Marked_Word_Length;Overlap_Above;Overlap_Above_Percent;Overlap_Below;Overlap_Below_Percent;Overlap_Total;Overlap_Total_Percent;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";10;3;2_1-33;2;8;0;0;2;25;2;25;1;2;1;false;514;
"undefined";"undefined";"undefined";"undefined";15;6;1_none;1;4;0;0;0;0;0;0;1;3;1;false;394;
"undefined";"undefined";"undefined";"undefined";6;2;3_34-66;3;5;0;0;3;60;3;60;1;7;1;false;573;
"undefined";"undefined";"undefined";"undefined";10;5;1_none;0;4;0;0;0;0;0;0;1;6;1;false;403;
"undefined";"undefined";"undefined";"undefined";10;6;1_none;1;5;0;0;0;0;0;0;1;5;1;false;460;
"undefined";"undefined";"undefined";"undefined";15;8;1_none;3;5;0;0;0;0;0;0;1;8;1;false;460;
"undefined";"undefined";"undefined";"undefined";6;5;2_1-33;0;4;0;0;2;50;2;50;1;10;1;false;543;
"undefined";"undefined";"undefined";"undefined";6;4;3_34-66;1;5;0;0;3;60;3;60;1;10;1;false;606;
"undefined";"undefined";"undefined";"undefined";10;6;3_34-66;1;4;2;50;0;0;2;50;1;5;1;false;458;
"undefined";"undefined";"undefined";"undefined";15;2;4_67-100;3;4;3;75;0;0;3;75;1;10;1;false;528;
"undefined";"undefined";"undefined";"undefined";15;4;2_1-33;1;11;0;0;0;0;0;0;1;2;1;false;493;
"undefined";"undefined";"undefined";"undefined";10;4;4_67-100;1;4;4;100;0;0;4;100;1;9;1;false;494;
"undefined";"undefined";"undefined";"undefined";6;8;3_34-66;3;4;1;25;2;50;3;75;1;6;1;false;416;
"undefined";"undefined";"undefined";"undefined";15;6;3_34-66;1;2;1;50;0;0;1;50;1;1;1;true;416;
"undefined";"undefined";"undefined";"undefined";6;4;2_1-33;1;4;0;0;2;50;2;50;1;3;1;false;480;
"undefined";"undefined";"undefined";"undefined";15;6;4_67-100;1;5;3;60;0;0;3;60;1;8;1;false;391;
"undefined";"undefined";"undefined";"undefined";15;5;2_1-33;0;6;2;33;0;0;2;33;1;8;1;false;396;
"undefined";"undefined";"undefined";"undefined";15;3;2_1-33;2;6;1;17;0;0;1;17;1;2;1;false;483;
"undefined";"undefined";"undefined";"undefined";15;6;3_34-66;1;8;3;38;0;0;3;38;1;1;1;true;447;
"undefined";"undefined";"undefined";"undefined";10;2;1_none;3;4;0;0;0;0;0;0;1;4;1;false;455;
"undefined";"undefined";"undefined";"undefined";15;6;2_1-33;1;7;1;14;0;0;1;14;1;2;1;false;404;
"undefined";"undefined";"undefined";"undefined";6;3;4_67-100;2;4;1;25;2;50;3;75;1;2;1;false;463;
"undefined";"undefined";"undefined";"undefined";10;5;1_none;0;4;0;0;0;0;0;0;1;4;1;false;409;
"undefined";"undefined";"undefined";"undefined";6;4;4_67-100;1;4;1;25;2;50;3;75;1;6;1;false;499;
"undefined";"undefined";"undefined";"undefined";10;6;1_none;1;3;0;0;0;0;0;0;1;3;1;false;658;
"undefined";"undefined";"undefined";"undefined";10;5;2_1-33;0;7;0;0;1;14;1;14;1;10;1;false;361;
"undefined";"undefined";"undefined";"undefined";10;7;2_1-33;2;5;2;40;0;0;2;40;1;5;1;false;364;
"undefined";"undefined";"undefined";"undefined";10;7;2_1-33;2;3;0;0;0;0;0;0;1;2;1;false;383;
"undefined";"undefined";"undefined";"undefined";15;3;3_34-66;2;4;1;25;0;0;1;25;1;7;1;false;392;
"undefined";"undefined";"undefined";"undefined";6;8;4_67-100;3;3;1;33;1;33;2;67;1;7;1;false;639;
"undefined";"undefined";"undefined";"undefined";15;6;2_1-33;1;4;1;25;0;0;1;25;1;7;1;false;387;
"undefined";"undefined";"undefined";"undefined";10;5;4_67-100;0;7;5;71;1;14;6;86;1;7;1;false;356;
"undefined";"undefined";"undefined";"undefined";15;3;4_67-100;2;6;6;100;0;0;6;100;1;6;1;false;362;
"undefined";"undefined";"undefined";"undefined";15;7;2_1-33;2;5;0;0;0;0;0;0;1;9;1;false;351;
