"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Overlap_Target;Distance_from_Center;Marked_Word_Length;Overlap_Above;Overlap_Above_Percent;Overlap_Below;Overlap_Below_Percent;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";10;7;2_26-50;2;10;3;30;3;30;1;10;1;false;525;
"undefined";"undefined";"undefined";"undefined";6;7;1_0-25;2;4;1;25;1;25;1;9;1;false;425;
"undefined";"undefined";"undefined";"undefined";14;4;1_0-25;1;14;3;21;3;21;1;1;1;true;455;
"undefined";"undefined";"undefined";"undefined";14;4;2_26-50;1;20;9;45;9;45;1;10;1;false;459;
"undefined";"undefined";"undefined";"undefined";10;8;1_0-25;3;9;2;22;2;22;1;4;1;false;458;
"undefined";"undefined";"undefined";"undefined";14;5;3_51-75;0;36;25;69;25;69;1;8;1;false;440;
"undefined";"undefined";"undefined";"undefined";14;6;3_51-75;1;25;14;56;14;56;1;7;1;false;408;
"undefined";"undefined";"undefined";"undefined";6;3;3_51-75;2;10;7;70;7;70;1;3;1;false;541;
"undefined";"undefined";"undefined";"undefined";10;4;1_0-25;1;8;1;13;1;13;1;3;1;false;489;
"undefined";"undefined";"undefined";"undefined";6;6;2_26-50;1;6;3;50;3;50;1;10;1;false;432;
"undefined";"undefined";"undefined";"undefined";6;4;1_0-25;1;3;0;0;0;0;1;10;1;false;559;
"undefined";"undefined";"undefined";"undefined";14;6;1_0-25;1;13;2;15;2;15;1;1;1;true;450;
"undefined";"undefined";"undefined";"undefined";14;5;1_0-25;0;11;0;0;0;0;1;4;1;false;397;
"undefined";"undefined";"undefined";"undefined";10;3;3_51-75;2;28;21;75;21;75;1;10;1;false;477;
"undefined";"undefined";"undefined";"undefined";10;3;1_0-25;2;7;0;0;0;0;1;9;1;false;478;
"undefined";"undefined";"undefined";"undefined";14;3;2_26-50;2;16;5;31;5;31;1;6;1;false;418;
"undefined";"undefined";"undefined";"undefined";10;8;2_26-50;3;13;6;46;6;46;1;1;1;true;440;
"undefined";"undefined";"undefined";"undefined";14;5;2_26-50;0;22;11;50;11;50;1;1;1;true;410;
"undefined";"undefined";"undefined";"undefined";10;3;2_26-50;2;10;3;30;3;30;1;9;1;false;467;
"undefined";"undefined";"undefined";"undefined";10;2;2_26-50;3;12;5;42;5;42;1;7;1;false;455;
"undefined";"undefined";"undefined";"undefined";10;5;3_51-75;0;16;9;56;9;56;1;8;1;false;466;
"undefined";"undefined";"undefined";"undefined";6;5;3_51-75;0;10;7;70;7;70;1;1;1;true;436;
"undefined";"undefined";"undefined";"undefined";6;5;1_0-25;0;4;1;25;1;25;1;9;1;false;448;
"undefined";"undefined";"undefined";"undefined";10;8;3_51-75;3;18;11;61;11;61;1;8;1;false;471;
"undefined";"undefined";"undefined";"undefined";6;7;1_0-25;2;3;0;0;0;0;1;6;1;false;456;
"undefined";"undefined";"undefined";"undefined";14;7;3_51-75;2;43;32;74;32;74;1;8;1;false;519;
"undefined";"undefined";"undefined";"undefined";10;4;1_0-25;1;8;1;13;1;13;1;9;1;false;535;
"undefined";"undefined";"undefined";"undefined";10;7;1_0-25;2;8;1;13;1;13;1;5;1;false;425;
"undefined";"undefined";"undefined";"undefined";6;5;3_51-75;0;8;5;63;5;63;1;6;1;false;455;
"undefined";"undefined";"undefined";"undefined";14;5;1_0-25;0;14;3;21;3;21;1;10;1;false;430;
"undefined";"undefined";"undefined";"undefined";10;4;1_0-25;1;7;0;0;0;0;1;8;1;false;432;
"undefined";"undefined";"undefined";"undefined";10;5;2_26-50;0;12;5;42;5;42;1;4;1;false;378;
"undefined";"undefined";"undefined";"undefined";6;3;3_51-75;2;9;6;67;6;67;1;10;1;false;477;
