"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Indentation_Type;Highlight_Position;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;First;2;1;6;1;false;834;
"undefined";"undefined";"undefined";"undefined";14;5;Asymmetric;Last;0;1;5;1;false;978;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;First;2;1;8;1;false;747;
"undefined";"undefined";"undefined";"undefined";14;4;Asymmetric;Last;1;1;7;1;false;874;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;First;2;1;9;1;false;636;
"undefined";"undefined";"undefined";"undefined";14;7;Symmetric;First;2;1;7;1;false;573;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;First;1;1;3;1;false;585;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;First;0;1;3;1;false;754;
"undefined";"undefined";"undefined";"undefined";4;4;Asymmetric;First;1;1;3;1;false;888;
"undefined";"undefined";"undefined";"undefined";4;4;Symmetric;First;1;1;7;1;false;654;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;5;1;false;1791;
"undefined";"undefined";"undefined";"undefined";4;3;Asymmetric;Last;2;1;6;1;false;1417;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;2;1;false;1019;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;Last;1;1;2;1;false;1112;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;8;1;false;1000;
"undefined";"undefined";"undefined";"undefined";14;3;Symmetric;First;2;1;2;1;false;608;
"undefined";"undefined";"undefined";"undefined";4;6;Symmetric;Last;1;1;8;1;false;933;
"undefined";"undefined";"undefined";"undefined";4;7;Asymmetric;Last;2;1;6;1;false;969;
"undefined";"undefined";"undefined";"undefined";4;7;Symmetric;Last;2;1;8;1;false;954;
"undefined";"undefined";"undefined";"undefined";4;5;Symmetric;Last;0;1;2;1;false;1006;
"undefined";"undefined";"undefined";"undefined";4;3;Symmetric;First;2;1;10;1;false;705;
"undefined";"undefined";"undefined";"undefined";4;5;Asymmetric;Last;0;1;6;1;false;1319;
