"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;2;1;false;842;
"undefined";"undefined";"undefined";"undefined";10;9;4;1;2;1;false;439;
"undefined";"undefined";"undefined";"undefined";6;1;4;1;6;1;false;553;
"undefined";"undefined";"undefined";"undefined";2;8;3;1;9;1;false;503;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;1;1;true;465;
"undefined";"undefined";"undefined";"undefined";4;9;4;1;7;1;false;420;
"undefined";"undefined";"undefined";"undefined";10;1;4;1;5;1;false;436;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;1;1;true;419;
"undefined";"undefined";"undefined";"undefined";Dynamic;6;1;1;1;1;true;416;
"undefined";"undefined";"undefined";"undefined";6;7;2;1;3;1;false;492;
"undefined";"undefined";"undefined";"undefined";10;2;3;1;1;1;true;442;
"undefined";"undefined";"undefined";"undefined";8;8;3;1;1;1;true;421;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;7;1;false;661;
"undefined";"undefined";"undefined";"undefined";4;6;1;1;9;1;false;468;
"undefined";"undefined";"undefined";"undefined";10;4;1;1;1;1;true;463;
"undefined";"undefined";"undefined";"undefined";6;9;4;1;1;1;true;446;
"undefined";"undefined";"undefined";"undefined";4;5;0;1;9;1;false;531;
"undefined";"undefined";"undefined";"undefined";8;9;4;1;7;1;false;410;
"undefined";"undefined";"undefined";"undefined";Dynamic;1;4;1;5;1;false;468;
"undefined";"undefined";"undefined";"undefined";8;6;1;1;8;1;false;393;
"undefined";"undefined";"undefined";"undefined";8;2;3;1;6;1;false;434;
"undefined";"undefined";"undefined";"undefined";8;1;4;1;5;1;false;440;
"undefined";"undefined";"undefined";"undefined";2;2;3;1;9;1;false;702;
"undefined";"undefined";"undefined";"undefined";8;3;2;1;4;1;false;465;
"undefined";"undefined";"undefined";"undefined";2;9;4;1;9;1;false;553;
"undefined";"undefined";"undefined";"undefined";8;5;0;1;3;1;false;405;
"undefined";"undefined";"undefined";"undefined";10;2;3;1;9;1;false;454;
"undefined";"undefined";"undefined";"undefined";Dynamic;7;2;1;9;1;false;499;
"undefined";"undefined";"undefined";"undefined";Dynamic;3;2;1;6;1;false;432;
