"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;1;65;95;1;2;1;false;481;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;2;0;100;1;8;1;false;420;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;3;2;0;100;1;1;1;true;393;
"undefined";"undefined";"undefined";"undefined";Noise;14;7;2;65;95;1;3;1;false;373;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;3;1;false;369;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;1;0;100;1;8;1;false;319;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;0;0;100;1;6;1;false;537;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;2;0;100;1;2;1;false;485;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;1;65;95;1;5;1;false;540;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;6;1;0;100;1;1;1;true;340;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;1;65;95;1;8;1;false;512;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;1;0;100;1;3;1;false;429;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;7;2;0;100;1;2;1;false;361;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;3;2;0;100;1;3;1;false;540;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;1;0;100;1;7;1;false;389;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;1;0;100;1;9;1;false;343;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;7;2;65;95;1;2;1;false;469;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;2;65;95;1;9;1;false;410;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;1;0;100;1;2;1;false;489;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;2;0;100;1;8;1;false;421;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;4;1;false;515;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;1;0;100;1;2;1;false;367;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;0;0;100;1;4;1;false;347;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;7;1;false;375;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;1;65;95;1;4;1;false;615;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;1;65;95;1;2;1;false;561;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;0;65;95;1;7;1;false;441;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;1;65;95;1;2;1;false;648;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;1;0;100;1;6;1;false;463;
"undefined";"undefined";"undefined";"undefined";Noise;10;7;2;65;95;1;2;1;false;361;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;6;1;0;100;1;3;1;false;390;
"undefined";"undefined";"undefined";"undefined";Noise;14;7;2;65;95;1;2;1;false;324;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;2;0;100;1;2;1;false;441;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;0;65;95;1;3;1;false;425;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;7;2;0;100;1;8;1;false;414;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;5;0;65;95;1;5;1;false;444;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;0;0;100;1;2;1;false;424;
"undefined";"undefined";"undefined";"undefined";Noise;6;7;2;65;95;1;1;1;true;411;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;6;1;false;454;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;1;0;100;1;9;1;false;409;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;1;0;100;1;9;1;false;425;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;1;65;95;1;7;1;false;397;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;7;2;0;100;1;9;1;false;410;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;1;65;95;1;6;1;false;492;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;0;65;95;1;2;1;false;486;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;0;65;95;1;5;1;false;419;
