"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;1;65;95;0;1;2;1;false;478;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;6;2;0;100;0;1;7;1;false;455;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;0;0;100;0;1;6;1;false;535;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;1;0;100;1;1;1;1;true;396;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;2;65;95;1;1;1;1;true;488;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;1;0;100;1;1;1;1;true;490;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;2;65;95;0;1;4;1;false;522;
"undefined";"undefined";"undefined";"undefined";Noise;6;2;2;65;95;0;1;5;1;false;741;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;2;2;0;100;0;1;7;1;false;483;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;2;2;0;100;0;1;6;1;false;500;
"undefined";"undefined";"undefined";"undefined";Noise;14;2;2;65;95;0;1;2;1;false;653;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;2;65;95;0;1;4;1;false;446;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;1;65;95;0;1;3;1;false;463;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;1;0;100;0;1;3;1;false;449;
"undefined";"undefined";"undefined";"undefined";Noise;10;2;2;65;95;1;1;1;1;true;599;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;2;0;100;0;1;3;1;false;482;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;6;2;0;100;0;1;6;1;false;430;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;2;65;95;0;1;6;1;false;441;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;0;0;100;0;1;7;1;false;458;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;496;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;0;65;95;0;1;2;1;false;459;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;0;65;95;0;1;6;1;false;401;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;2;2;0;100;0;1;2;1;false;481;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;1;65;95;0;1;2;1;false;768;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;1;0;100;0;1;5;1;false;389;
