"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";Noise;10;3;1;65;95;0;1;2;1;false;535;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;6;2;0;100;0;1;7;1;false;494;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;0;0;100;0;1;6;1;false;359;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;1;0;100;1;1;1;1;true;339;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;2;65;95;1;1;1;1;true;454;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;1;0;100;1;1;1;1;true;394;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;2;65;95;0;1;4;1;false;435;
"undefined";"undefined";"undefined";"undefined";Noise;6;2;2;65;95;0;1;5;1;false;559;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;2;2;0;100;0;1;7;1;false;458;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;2;2;0;100;0;1;6;1;false;398;
"undefined";"undefined";"undefined";"undefined";Noise;14;2;2;65;95;0;1;2;1;false;556;
"undefined";"undefined";"undefined";"undefined";Noise;6;6;2;65;95;0;1;4;1;false;466;
"undefined";"undefined";"undefined";"undefined";Noise;6;5;1;65;95;0;1;3;1;false;413;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;1;0;100;0;1;3;1;false;354;
"undefined";"undefined";"undefined";"undefined";Noise;10;2;2;65;95;1;1;1;1;true;371;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;2;0;100;0;1;3;1;false;376;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;6;2;0;100;0;1;6;1;false;377;
"undefined";"undefined";"undefined";"undefined";Noise;14;6;2;65;95;0;1;6;1;false;452;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;0;0;100;0;1;7;1;false;324;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;372;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;0;65;95;0;1;2;1;false;472;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;4;0;65;95;0;1;6;1;false;307;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;2;2;0;100;0;1;2;1;false;459;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;1;65;95;0;1;2;1;false;398;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;1;0;100;0;1;5;1;false;366;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;2;2;65;95;1;1;1;1;true;392;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;0;0;100;0;1;5;1;false;411;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;1;0;100;0;1;7;1;false;345;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;1;0;100;0;1;6;1;false;351;
"undefined";"undefined";"undefined";"undefined";Noise;10;2;2;65;95;0;1;5;1;false;368;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;0;65;95;1;1;1;1;true;413;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;0;0;100;0;1;5;1;false;350;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;2;2;0;100;0;1;5;1;false;334;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;1;0;100;1;1;1;1;true;329;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;2;0;100;0;1;6;1;false;465;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;2;0;100;0;1;2;1;false;335;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;6;2;0;100;0;1;2;1;false;359;
