"Age";"Status";"Studies";"YearsOfExperience";Noise;Length;Level;Distance_from_Center;Overlap_Above_Percent;Overlap_Below_Percent;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;577;
"undefined";"undefined";"undefined";"undefined";Noise;14;3;1;65;95;1;1;1;1;true;755;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;5;1;0;100;1;1;3;3;true;730;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;0;0;100;1;1;2;2;true;673;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;6;2;65;95;1;1;3;3;true;712;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;3;1;0;100;1;1;1;1;true;444;
"undefined";"undefined";"undefined";"undefined";Noise;14;2;2;65;95;1;1;3;3;true;790;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;2;2;0;100;1;1;6;6;true;774;
"undefined";"undefined";"undefined";"undefined";Noise;6;4;0;65;95;1;1;4;4;true;634;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;2;65;95;0;1;1;4;false;506;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;0;65;95;1;1;2;2;true;653;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;1;0;100;1;1;1;1;true;565;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;4;0;0;100;0;1;5;3;false;576;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;2;0;100;1;1;5;5;true;586;
"undefined";"undefined";"undefined";"undefined";No_Noise;14;5;1;0;100;1;1;1;1;true;668;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;1;0;100;1;1;7;7;true;626;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;4;0;0;100;1;1;5;5;true;695;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;1;65;95;1;1;6;6;true;657;
"undefined";"undefined";"undefined";"undefined";Noise;10;4;0;65;95;1;1;5;5;true;643;
"undefined";"undefined";"undefined";"undefined";Noise;6;3;1;65;95;1;1;6;6;true;935;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;6;2;0;100;1;1;1;1;true;729;
"undefined";"undefined";"undefined";"undefined";Noise;10;2;2;65;95;1;1;6;6;true;767;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;1;65;95;0;1;7;6;false;570;
"undefined";"undefined";"undefined";"undefined";Noise;14;4;0;65;95;0;1;2;5;false;660;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;2;65;95;1;1;6;6;true;628;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;3;1;0;100;1;1;2;2;true;670;
"undefined";"undefined";"undefined";"undefined";Noise;10;6;2;65;95;1;1;4;4;true;602;
"undefined";"undefined";"undefined";"undefined";Noise;6;2;2;65;95;1;1;5;5;true;808;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;4;0;0;100;0;1;6;4;false;582;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;0;0;100;0;1;3;6;false;588;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;5;1;0;100;1;1;2;2;true;653;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;4;0;0;100;0;1;6;3;false;630;
"undefined";"undefined";"undefined";"undefined";Noise;Dynamic;3;1;65;95;0;1;4;2;false;565;
"undefined";"undefined";"undefined";"undefined";Noise;6;2;2;65;95;1;1;4;4;true;839;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;2;0;100;1;1;1;1;true;735;
"undefined";"undefined";"undefined";"undefined";Noise;10;4;0;65;95;0;1;5;4;false;661;
"undefined";"undefined";"undefined";"undefined";Noise;10;4;0;65;95;1;1;1;1;true;596;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;5;1;0;100;1;1;1;1;true;783;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;2;2;0;100;1;1;7;7;true;704;
"undefined";"undefined";"undefined";"undefined";Noise;10;5;1;65;95;1;1;6;6;true;645;
"undefined";"undefined";"undefined";"undefined";No_Noise;6;2;2;0;100;1;1;6;6;true;678;
"undefined";"undefined";"undefined";"undefined";No_Noise;10;6;2;0;100;1;1;7;7;true;691;
"undefined";"undefined";"undefined";"undefined";No_Noise;Dynamic;6;2;0;100;1;1;3;3;true;624;
"undefined";"undefined";"undefined";"undefined";Noise;14;5;1;65;95;1;1;2;2;true;662;
