"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Chain_Length;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;1;1;true;794;
"undefined";"undefined";"undefined";"undefined";4;3;4;2;1;5;1;false;963;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;5;1;false;1090;
"undefined";"undefined";"undefined";"undefined";8;8;4;3;1;6;1;false;1198;
"undefined";"undefined";"undefined";"undefined";2;3;4;2;1;10;1;false;1205;
"undefined";"undefined";"undefined";"undefined";5;9;4;4;1;1;1;true;1258;
"undefined";"undefined";"undefined";"undefined";8;4;4;1;1;4;1;false;993;
"undefined";"undefined";"undefined";"undefined";6;9;4;4;1;2;1;false;739;
"undefined";"undefined";"undefined";"undefined";8;7;4;2;1;6;1;false;791;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;8;1;false;925;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;5;1;false;1284;
"undefined";"undefined";"undefined";"undefined";8;5;4;0;1;9;1;false;989;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;2;1;false;865;
"undefined";"undefined";"undefined";"undefined";8;6;4;1;1;2;1;false;976;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;5;1;false;959;
"undefined";"undefined";"undefined";"undefined";2;8;4;3;1;5;1;false;955;
"undefined";"undefined";"undefined";"undefined";4;6;4;1;1;3;1;false;994;
"undefined";"undefined";"undefined";"undefined";2;2;4;3;1;3;1;false;1152;
"undefined";"undefined";"undefined";"undefined";8;1;4;4;1;4;1;false;778;
"undefined";"undefined";"undefined";"undefined";8;3;4;2;1;9;1;false;1167;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;10;1;false;963;
"undefined";"undefined";"undefined";"undefined";5;1;4;4;1;2;1;false;826;
"undefined";"undefined";"undefined";"undefined";6;4;4;1;1;4;1;false;1355;
"undefined";"undefined";"undefined";"undefined";5;5;4;0;1;7;1;false;1134;
"undefined";"undefined";"undefined";"undefined";2;4;4;1;1;9;1;false;1165;
"undefined";"undefined";"undefined";"undefined";4;1;4;4;1;9;1;false;650;
"undefined";"undefined";"undefined";"undefined";2;6;4;1;1;10;1;false;1401;
"undefined";"undefined";"undefined";"undefined";4;9;4;4;1;1;1;true;739;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;3;1;false;1088;
"undefined";"undefined";"undefined";"undefined";2;1;4;4;1;7;1;false;711;
"undefined";"undefined";"undefined";"undefined";5;3;4;2;1;4;1;false;955;
"undefined";"undefined";"undefined";"undefined";5;3;4;2;1;10;1;false;969;
"undefined";"undefined";"undefined";"undefined";6;6;4;1;1;10;1;false;989;
"undefined";"undefined";"undefined";"undefined";4;5;4;0;1;2;1;false;909;
"undefined";"undefined";"undefined";"undefined";5;4;4;1;1;4;1;false;1033;
"undefined";"undefined";"undefined";"undefined";6;5;4;0;1;7;1;false;1117;
