"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;2;3;1;10;1;false;484;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;3;1;5;1;false;575;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;3;2;1;10;1;false;944;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;9;1;false;885;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;4;1;false;742;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;7;1;false;1235;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;10;1;false;793;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;1;4;1;false;617;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;9;1;false;706;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;2;1;false;568;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;5;1;false;634;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;3;1;false;556;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;2;1;10;1;false;539;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;7;1;false;750;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;8;3;1;4;1;false;1109;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;8;1;false;723;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;7;2;1;4;1;false;833;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;1;7;1;false;1399;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;4;1;4;1;false;563;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;7;1;false;697;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;1;2;1;false;641;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;7;2;1;1;1;true;740;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;1;2;1;false;718;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;1;1;8;1;false;1468;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;1;1;9;1;false;666;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;5;0;1;10;1;false;637;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;2;1;false;968;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;1;6;1;false;1194;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;4;1;1;7;1;false;645;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;6;1;1;9;1;false;713;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;8;3;1;9;1;false;843;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;3;2;1;5;1;false;923;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;4;1;4;1;false;711;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;7;2;1;6;1;false;932;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;8;3;1;7;1;false;673;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;1;9;1;false;773;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;1;4;1;4;1;false;524;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;4;1;6;1;false;514;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;5;0;1;3;1;false;827;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;1;6;1;false;961;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;1;4;1;9;1;false;946;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;3;1;1;1;true;606;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;2;3;1;4;1;false;999;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;2;3;1;2;1;false;548;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;1;1;8;1;false;1217;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;4;1;2;1;false;635;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;0;1;7;1;false;1173;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;2;3;1;7;1;false;907;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;4;1;7;1;false;617;
