"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;9;1;1;1;1;true;1292;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;11;3;1;6;1;false;711;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;15;7;1;15;1;false;637;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;15;7;1;4;1;false;749;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;15;7;1;5;1;false;749;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;7;1;1;10;1;false;863;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;8;0;1;7;1;false;740;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;1;7;1;15;1;false;1019;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;2;1;6;1;false;947;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;15;7;1;11;1;false;570;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;9;1;1;4;1;false;2334;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;12;4;1;5;1;false;668;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;14;6;1;9;1;false;593;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;6;2;1;13;1;false;1425;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;9;1;1;4;1;false;969;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;5;3;1;5;1;false;904;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;4;4;1;5;1;false;2099;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;6;2;1;11;1;false;877;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;14;6;1;14;1;false;695;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;5;3;1;11;1;false;1848;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";2;6;2;1;7;1;false;2953;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";8;1;7;1;11;1;false;1083;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";4;12;4;1;8;1;false;1572;
"younger than 18";"Undergraduate student (BSc not yet finished)";"I do not study";"none";6;15;7;1;3;1;false;641;
