"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";4;4;0;1;1;1;1;true;2606;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";4;7;3;1;1;3;3;true;1355;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";2;7;3;1;1;2;2;true;1102;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";2;4;0;1;1;2;2;true;2593;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";8;4;0;1;1;5;5;true;2546;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";10;1;3;1;1;3;3;true;1960;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";8;5;1;1;1;3;3;true;2894;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";4;5;1;1;1;1;1;true;2888;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";10;1;3;1;1;7;7;true;1794;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";2;2;2;1;1;5;5;true;2569;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";4;6;2;1;1;5;5;true;1795;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";2;6;2;1;1;6;6;true;2497;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";6;5;1;1;1;3;3;true;1929;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";10;2;2;1;1;6;6;true;1594;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";Dynamic;2;2;1;1;7;7;true;1312;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";2;6;2;1;1;6;6;true;1501;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";4;4;0;1;1;6;6;true;2439;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";2;5;1;1;1;2;2;true;2519;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";2;4;0;1;1;7;7;true;5544;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";6;7;3;1;1;7;7;true;1707;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";6;6;2;1;1;2;2;true;1504;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";10;4;0;1;1;1;1;true;1131;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";10;1;3;0;1;4;5;false;1695;
"between 25 and (excluding) 30";"Professional software developer";"I do not study";"more than 5 years";2;4;0;1;1;1;1;true;6096;
