"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;1;1;true;1555;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;7;3;1;1;3;3;true;943;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;7;3;1;1;2;2;true;862;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;0;1;2;1;false;1951;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;4;0;1;1;5;5;true;1148;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;3;3;true;1124;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;3;3;true;926;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;5;1;1;1;1;1;true;1739;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;7;7;true;1212;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;2;2;1;1;5;5;true;1493;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;5;5;true;1170;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;0;1;6;5;false;2312;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;5;1;1;1;3;3;true;1145;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;2;2;1;1;6;6;true;1183;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;2;2;1;1;7;7;true;1057;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;0;1;6;4;false;2235;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;6;6;true;1225;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;5;1;1;1;2;2;true;2258;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;7;7;true;1635;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;7;3;1;1;7;7;true;1135;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;6;2;1;1;2;2;true;947;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;4;0;1;1;1;1;true;1174;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;4;4;true;1106;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;0;1;1;2;false;2393;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;4;0;1;1;3;3;true;1256;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;2;2;true;1290;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;6;2;1;1;6;6;true;1668;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;1;3;1;1;1;1;true;992;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;1;1;true;1399;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;3;1;1;1;6;6;true;906;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;3;3;true;1086;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;1;3;1;1;2;2;true;1039;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;5;1;1;1;7;7;true;1017;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;6;2;1;1;5;5;true;1100;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;4;0;1;1;1;1;true;1340;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;5;1;1;1;4;4;true;925;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;1;1;true;1454;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;5;1;1;1;6;6;true;977;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;1;3;1;1;5;5;true;1003;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;5;5;true;1258;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;4;4;true;2485;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;2;2;1;1;6;6;true;1073;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;4;0;1;1;2;2;true;1078;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;1;3;1;1;5;5;true;1376;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;7;3;1;1;6;6;true;1054;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;5;5;true;969;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;3;1;1;1;5;5;true;1396;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;1;3;1;1;3;3;true;1466;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;2;2;true;1128;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;2;2;1;1;7;7;true;1300;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;3;1;1;1;2;2;true;1059;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;4;0;1;1;2;2;true;1114;
"between 35 and (excluding) 40";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;1;3;1;1;1;1;true;904;
