"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";4;4;0;1;1;1;1;true;2300;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";4;7;3;1;1;3;3;true;1143;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;7;3;1;1;2;2;true;1261;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;4;0;1;1;2;2;true;5080;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;4;0;1;1;5;5;true;2210;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;1;3;1;1;3;3;true;1199;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;5;1;1;1;3;3;true;1891;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";4;5;1;1;1;1;1;true;1453;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;1;3;1;1;7;7;true;1257;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;2;2;1;1;5;5;true;2207;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";4;6;2;1;1;5;5;true;1457;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;6;6;true;1711;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;5;1;1;1;3;3;true;1837;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;2;2;1;1;6;6;true;1200;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Dynamic;2;2;1;1;7;7;true;999;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;6;6;true;1871;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";4;4;0;1;1;6;6;true;1848;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;5;1;1;1;2;2;true;3183;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;4;0;1;1;7;7;true;4365;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;7;3;1;1;7;7;true;1076;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;6;2;1;1;2;2;true;1425;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;4;0;1;1;1;1;true;1469;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;1;3;1;1;4;4;true;1468;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;4;0;1;1;1;1;true;2795;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;4;0;1;1;3;3;true;1708;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";4;4;0;1;1;2;2;true;1641;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;6;2;1;1;6;6;true;1187;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Dynamic;1;3;1;1;1;1;true;758;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";4;6;2;1;1;1;1;true;1077;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;3;1;1;1;6;6;true;1314;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;5;1;1;1;3;3;true;1294;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;1;3;1;1;2;2;true;1246;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;5;1;1;1;7;7;true;1137;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Dynamic;6;2;1;1;5;5;true;1181;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;4;0;1;1;1;1;true;1368;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;5;1;1;1;4;4;true;1037;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;4;0;1;1;1;1;true;4343;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;5;1;1;1;6;6;true;1211;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Dynamic;1;3;1;1;5;5;true;1096;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;5;5;true;1487;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;4;4;true;1375;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;2;2;1;1;6;6;true;1480;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";Dynamic;4;0;1;1;2;2;true;1244;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";2;1;3;1;1;5;5;true;1540;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;7;3;1;1;6;6;true;1112;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";10;1;3;1;1;5;5;true;1105;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";4;3;1;1;1;5;5;true;2017;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;1;3;1;1;3;3;true;1556;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;5;1;1;1;2;2;true;1451;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";6;2;2;1;1;7;7;true;1484;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;3;1;1;1;2;2;true;1793;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;4;0;1;1;2;2;true;1927;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;1;3;1;1;1;1;true;891;
"between 35 and (excluding) 40";"Professional software developer";"Computer science";"more than 5 years";8;6;2;1;1;4;4;true;1820;
