"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;1;1;true;3148;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;7;3;1;1;3;3;true;1263;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;7;3;1;1;2;2;true;1013;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;2;2;true;2040;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;4;0;1;1;5;5;true;5066;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;3;3;true;1155;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;3;3;true;1621;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;5;1;1;1;1;1;true;1680;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;7;7;true;1400;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;2;2;1;1;5;5;true;1611;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;5;5;true;1730;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;6;6;true;1332;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;5;1;1;1;3;3;true;1837;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;2;2;1;1;6;6;true;1817;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;2;2;1;1;7;7;true;1551;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;6;2;1;1;6;6;true;1694;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;0;1;6;4;false;2084;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;5;1;1;1;2;2;true;1886;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;7;7;true;4310;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;7;3;1;1;7;7;true;1345;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;6;2;1;1;2;2;true;2056;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;4;0;1;1;1;1;true;3173;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;1;3;1;1;4;4;true;1442;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";2;4;0;1;1;1;1;true;2863;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;4;0;1;1;3;3;true;2325;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;4;0;1;1;2;2;true;2369;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";6;6;2;1;1;6;6;true;1811;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";Dynamic;1;3;1;1;1;1;true;833;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";4;6;2;1;1;1;1;true;1098;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";10;3;1;1;1;6;6;true;3902;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"less than or equal 1 year";8;5;1;1;1;3;3;true;2184;
