"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";4;4;0;1;1;1;1;true;17369;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";4;7;3;1;1;3;3;true;7839;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";2;7;3;1;1;2;2;true;1576;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";2;4;0;0;1;2;7;false;9230;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";8;4;0;1;1;5;5;true;15227;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";10;1;3;1;1;3;3;true;11032;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";8;5;1;1;1;3;3;true;5521;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";4;5;1;1;1;1;1;true;4619;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";10;1;3;1;1;7;7;true;8459;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";2;2;2;1;1;5;5;true;10051;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";4;6;2;1;1;5;5;true;3201;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";2;6;2;1;1;6;6;true;3163;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";6;5;1;1;1;3;3;true;3253;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";10;2;2;1;1;6;6;true;2833;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";Dynamic;2;2;1;1;7;7;true;1473;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";2;6;2;1;1;6;6;true;4772;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";4;4;0;1;1;6;6;true;2329;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";2;5;1;1;1;2;2;true;8625;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";2;4;0;0;1;7;5;false;4899;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";6;7;3;1;1;7;7;true;3716;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";6;6;2;1;1;2;2;true;2503;
"between 25 and (excluding) 30";"Other";"something else in natural sciences";"none";10;4;0;1;1;1;1;true;4614;
