"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";4;4;0;1;1;1;1;true;4761;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";4;7;3;1;1;3;3;true;1160;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";2;7;3;1;1;2;2;true;975;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";2;4;0;1;1;2;2;true;3515;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";8;4;0;1;1;5;5;true;3674;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";10;1;3;1;1;3;3;true;1446;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";8;5;1;1;1;3;3;true;2491;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";4;5;1;1;1;1;1;true;2103;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";10;1;3;1;1;7;7;true;1688;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";2;2;2;1;1;5;5;true;3009;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";4;6;2;1;1;5;5;true;4020;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";2;6;2;1;1;6;6;true;2939;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";6;5;1;1;1;3;3;true;3742;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";10;2;2;1;1;6;6;true;1813;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Dynamic;2;2;1;1;7;7;true;1811;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";2;6;2;1;1;6;6;true;3139;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";4;4;0;1;1;6;6;true;3801;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";2;5;1;1;1;2;2;true;1593;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";2;4;0;1;1;7;7;true;3463;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";6;7;3;1;1;7;7;true;1361;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";6;6;2;1;1;2;2;true;1153;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";10;4;0;1;1;1;1;true;3195;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";10;1;3;1;1;4;4;true;1565;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";2;4;0;1;1;1;1;true;3011;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";6;4;0;1;1;3;3;true;2489;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";4;4;0;1;1;2;2;true;2509;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";6;6;2;1;1;6;6;true;1574;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";Dynamic;1;3;1;1;1;1;true;1604;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";4;6;2;1;1;1;1;true;1527;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";10;3;1;1;1;6;6;true;1899;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";8;5;1;1;1;3;3;true;2184;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";8;1;3;1;1;2;2;true;1233;
"between 25 and (excluding) 30";"Undergraduate student (BSc not yet finished)";"something else";"none";10;5;1;1;1;7;7;true;1902;
