"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";4;4;0;1;1;1;1;true;3479;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";4;7;3;1;1;3;3;true;1043;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;7;3;1;1;2;2;true;1165;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;4;0;1;1;2;2;true;2574;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";8;4;0;1;1;5;5;true;3001;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;1;3;1;1;3;3;true;1095;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";8;5;1;1;1;3;3;true;1948;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";4;5;1;1;1;1;1;true;2023;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;1;3;1;1;7;7;true;1397;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;2;2;1;1;5;5;true;1764;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";4;6;2;1;1;5;5;true;1636;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;6;2;1;1;6;6;true;1373;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";6;5;1;1;1;3;3;true;1913;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;2;2;1;1;6;6;true;1437;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Dynamic;2;2;1;1;7;7;true;1108;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;6;2;1;1;6;6;true;1375;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";4;4;0;1;1;6;6;true;2112;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;5;1;1;1;2;2;true;2692;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;4;0;1;1;7;7;true;4593;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";6;7;3;1;1;7;7;true;1515;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";6;6;2;1;1;2;2;true;1415;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;4;0;0;1;1;5;false;2375;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;1;3;1;1;4;4;true;1497;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;4;0;1;1;1;1;true;3546;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";6;4;0;1;1;3;3;true;3826;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";4;4;0;1;1;2;2;true;2109;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";6;6;2;1;1;6;6;true;1859;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Dynamic;1;3;1;1;1;1;true;947;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";4;6;2;1;1;1;1;true;1347;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;3;1;1;1;6;6;true;3715;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";8;5;1;0;1;3;1;false;1828;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";8;1;3;1;1;2;2;true;1048;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;5;1;1;1;7;7;true;2921;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Dynamic;6;2;1;1;5;5;true;1600;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";6;4;0;0;1;1;5;false;3494;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;5;1;1;1;4;4;true;2063;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;4;0;1;1;1;1;true;3298;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";10;5;1;1;1;6;6;true;2322;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";Dynamic;1;3;1;1;5;5;true;1219;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;6;2;1;1;5;5;true;1706;
"between 25 and (excluding) 30";"Graduate student (at least BSc finished)";"I do not study";"less than or equal 1 year";2;6;2;1;1;4;4;true;1511;
