"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";4;4;0;1;1;1;1;true;8268;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";4;7;3;1;1;3;3;true;1487;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;7;3;1;1;2;2;true;1160;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;4;0;1;1;2;2;true;5419;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";8;4;0;1;1;5;5;true;3375;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;1;3;1;1;3;3;true;7249;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";8;5;1;1;1;3;3;true;1662;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";4;5;1;1;1;1;1;true;1872;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;1;3;1;1;7;7;true;1280;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;2;2;1;1;5;5;true;1585;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";4;6;2;1;1;5;5;true;1569;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;6;2;1;1;6;6;true;1796;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;5;1;1;1;3;3;true;1999;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;2;2;1;1;6;6;true;5745;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Dynamic;2;2;1;1;7;7;true;1344;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;6;2;1;1;6;6;true;2119;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";4;4;0;1;1;6;6;true;2388;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;5;1;1;1;2;2;true;1555;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;4;0;1;1;7;7;true;2215;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;7;3;1;1;7;7;true;1235;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;6;2;1;1;2;2;true;1915;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;4;0;1;1;1;1;true;3633;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;1;3;1;1;4;4;true;1624;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;4;0;1;1;1;1;true;4485;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;4;0;1;1;3;3;true;2572;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";4;4;0;1;1;2;2;true;2980;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;6;2;1;1;6;6;true;1448;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Dynamic;1;3;1;1;1;1;true;2513;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";4;6;2;1;1;1;1;true;3000;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;3;1;1;1;6;6;true;6961;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";8;5;1;1;1;3;3;true;2809;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";8;1;3;1;1;2;2;true;1448;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;5;1;1;1;7;7;true;2361;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Dynamic;6;2;1;1;5;5;true;3339;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;4;0;1;1;1;1;true;2540;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;5;1;1;1;4;4;true;1944;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;4;0;1;1;1;1;true;3067;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;5;1;1;1;6;6;true;1951;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Dynamic;1;3;1;1;5;5;true;4187;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;6;2;1;1;5;5;true;1258;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;6;2;1;1;4;4;true;3496;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;2;2;1;1;6;6;true;1513;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";Dynamic;4;0;1;1;2;2;true;9098;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";2;1;3;1;1;5;5;true;1543;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;7;3;1;1;6;6;true;1293;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";10;1;3;1;1;5;5;true;1448;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";4;3;1;1;1;5;5;true;1780;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;1;3;1;1;3;3;true;2076;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";8;5;1;1;1;2;2;true;3564;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";6;2;2;1;1;7;7;true;1676;
"between 30 and (excluding) 35";"Graduate student (at least BSc finished)";"I do not study";"none";8;3;1;1;1;2;2;true;1884;
