"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";4;4;0;1;1;1;1;true;2271;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";4;7;3;1;1;3;3;true;1327;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";2;7;3;1;1;2;2;true;1008;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";2;4;0;1;1;2;2;true;5175;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";8;4;0;1;1;5;5;true;2232;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";10;1;3;1;1;3;3;true;1282;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";8;5;1;1;1;3;3;true;1508;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";4;5;1;1;1;1;1;true;3131;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";10;1;3;1;1;7;7;true;1977;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";2;2;2;1;1;5;5;true;1938;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";4;6;2;1;1;5;5;true;1963;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";2;6;2;1;1;6;6;true;1953;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";6;5;1;1;1;3;3;true;1865;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";10;2;2;1;1;6;6;true;1668;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Dynamic;2;2;1;1;7;7;true;1553;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";2;6;2;1;1;6;6;true;2676;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";4;4;0;1;1;6;6;true;4301;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";2;5;1;1;1;2;2;true;2453;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";2;4;0;1;1;7;7;true;4840;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";6;7;3;1;1;7;7;true;1846;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";6;6;2;1;1;2;2;true;2319;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";10;4;0;1;1;1;1;true;1757;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";10;1;3;1;1;4;4;true;2135;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";2;4;0;1;1;1;1;true;3167;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";6;4;0;1;1;3;3;true;2318;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";4;4;0;1;1;2;2;true;2835;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";6;6;2;1;1;6;6;true;2246;
"between 35 and (excluding) 40";"Professional software developer";"I do not study";"more than 5 years";Dynamic;1;3;1;1;1;1;true;1034;
