"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;4;0;1;1;1;1;true;3104;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;7;3;1;1;3;3;true;1064;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;7;3;1;1;2;2;true;760;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;4;0;1;1;2;2;true;1800;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;4;0;1;1;5;5;true;1344;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;1;3;1;1;3;3;true;1568;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;5;1;1;1;3;3;true;848;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;5;1;1;1;1;1;true;1760;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;1;3;1;1;7;7;true;1248;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;2;2;0;1;5;3;false;1608;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;6;2;1;1;5;5;true;2368;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;6;2;1;1;6;6;true;2768;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;5;1;1;1;3;3;true;1320;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;2;2;1;1;6;6;true;1504;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;2;2;1;1;7;7;true;1120;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;6;2;1;1;6;6;true;2840;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;4;0;1;1;6;6;true;1376;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;5;1;0;1;2;1;false;2512;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;4;0;0;1;7;5;false;4312;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;7;3;1;1;7;7;true;1328;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;6;2;1;1;2;2;true;1376;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;4;0;1;1;1;1;true;1168;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;1;3;1;1;4;4;true;1488;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;4;0;1;1;1;1;true;3760;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;4;0;1;1;3;3;true;1624;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;4;0;1;1;2;2;true;2456;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;6;2;1;1;6;6;true;1888;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;1;3;1;1;1;1;true;1152;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;6;2;1;1;1;1;true;1264;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;3;1;1;1;6;6;true;1352;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;5;1;1;1;3;3;true;1096;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;1;3;1;1;2;2;true;1232;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;5;1;1;1;7;7;true;1256;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;6;2;1;1;5;5;true;1208;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;4;0;1;1;1;1;true;1296;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;5;1;1;1;4;4;true;1160;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;4;0;1;1;1;1;true;2856;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;5;1;0;1;6;5;false;1368;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;1;3;1;1;5;5;true;1112;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;6;2;1;1;5;5;true;2536;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;6;2;1;1;4;4;true;2288;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;2;2;1;1;6;6;true;1544;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;4;0;1;1;2;2;true;1256;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;1;3;1;1;5;5;true;3080;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;7;3;1;1;6;6;true;1296;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;1;3;1;1;5;5;true;1296;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;3;1;1;1;5;5;true;2385;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;1;3;1;1;3;3;true;1361;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;5;1;1;1;2;2;true;1401;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;2;2;1;1;7;7;true;1512;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;3;1;1;1;2;2;true;1289;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;4;0;1;1;2;2;true;1401;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;1;3;1;1;1;1;true;848;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;6;2;1;1;4;4;true;1384;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;7;3;1;1;3;3;true;1176;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;5;1;1;1;1;1;true;1175;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;6;2;1;1;3;3;true;1464;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;3;1;1;1;1;1;true;888;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;6;2;1;1;1;1;true;1193;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;7;3;1;1;1;1;true;632;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;6;2;1;1;7;7;true;1440;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;6;2;0;1;1;4;false;1344;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;1;3;1;1;2;2;true;2193;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;4;0;1;1;7;7;true;2889;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;1;3;1;1;6;6;true;1568;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;3;1;1;1;3;3;true;1248;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;3;1;1;1;1;1;true;1112;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;7;3;1;1;4;4;true;992;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;2;2;1;1;7;7;true;1768;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;3;1;1;1;3;3;true;1816;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;4;0;1;1;3;3;true;816;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;6;2;1;1;3;3;true;928;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";8;6;2;1;1;5;5;true;1392;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;6;2;1;1;5;5;true;2576;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;3;1;1;1;1;1;true;1760;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;5;1;1;1;4;4;true;2417;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;1;3;1;1;5;5;true;1272;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;1;3;1;1;6;6;true;1200;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;2;2;1;1;3;3;true;1216;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;4;0;1;1;5;5;true;1160;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;2;2;1;1;6;6;true;1584;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;2;2;1;1;3;3;true;1304;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;5;1;1;1;4;4;true;2624;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;6;2;1;1;4;4;true;776;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;5;1;1;1;1;1;true;2184;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;2;2;1;1;1;1;true;1392;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;1;3;1;1;5;5;true;1568;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;5;1;1;1;6;6;true;1688;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;4;0;1;1;1;1;true;1400;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";4;7;3;1;1;1;1;true;784;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;6;2;1;1;2;2;true;1200;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";2;6;2;1;1;2;2;true;1208;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;5;1;1;1;2;2;true;648;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";10;5;1;1;1;3;3;true;1256;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";Dynamic;4;0;1;1;2;2;true;744;
"between 18 and (excluding) 25";"Undergraduate student (BSc not yet finished)";"Computer science";"none";6;1;3;1;1;2;2;true;1528;
