"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;4;0;0;1;1;2;false;2995;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;7;3;1;1;3;3;true;3065;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;7;3;1;1;2;2;true;1931;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;4;0;1;1;2;2;true;6316;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;4;0;1;1;5;5;true;3915;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;1;3;1;1;3;3;true;1791;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;5;1;1;1;3;3;true;3760;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;5;1;1;1;1;1;true;2359;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;1;3;1;1;7;7;true;1701;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;2;2;1;1;5;5;true;2196;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;6;2;1;1;5;5;true;2905;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;6;6;true;2291;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;5;1;1;1;3;3;true;2125;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;2;2;1;1;6;6;true;2061;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Dynamic;2;2;1;1;7;7;true;1821;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;6;6;true;2415;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;4;0;1;1;6;6;true;5111;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;5;1;1;1;2;2;true;2232;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;4;0;1;1;7;7;true;3321;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;7;3;1;1;7;7;true;1905;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;6;2;1;1;2;2;true;2586;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;4;0;1;1;1;1;true;3820;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;1;3;1;1;4;4;true;1991;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;4;0;1;1;1;1;true;3296;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;4;0;1;1;3;3;true;4591;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;4;0;1;1;2;2;true;3791;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;6;2;1;1;6;6;true;1981;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Dynamic;1;3;1;1;1;1;true;1210;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;6;2;1;1;1;1;true;2630;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;3;1;1;1;6;6;true;2616;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;5;1;1;1;3;3;true;2901;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;1;3;1;1;2;2;true;1236;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;5;1;1;1;7;7;true;2222;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Dynamic;6;2;1;1;5;5;true;2045;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;4;0;1;1;1;1;true;2036;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;5;1;1;1;4;4;true;1730;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;4;0;1;1;1;1;true;3971;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;5;1;1;1;6;6;true;1895;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Dynamic;1;3;1;1;5;5;true;1820;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;5;5;true;3116;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;4;4;true;2251;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;2;2;1;1;6;6;true;2141;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Dynamic;4;0;1;1;2;2;true;1461;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;1;3;1;1;5;5;true;1770;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;7;3;1;1;6;6;true;1672;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;1;3;1;1;5;5;true;1642;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;3;1;1;1;5;5;true;2571;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;1;3;1;1;3;3;true;1950;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;5;1;1;1;2;2;true;1470;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;2;2;1;1;7;7;true;2046;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;3;1;1;1;2;2;true;1506;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;4;0;1;1;2;2;true;1410;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;1;3;1;1;1;1;true;1145;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;6;2;1;1;4;4;true;1760;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;7;3;1;1;3;3;true;1781;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;5;1;1;1;1;1;true;1476;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;6;2;1;1;3;3;true;2790;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;3;1;1;1;1;1;true;1580;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;6;2;1;1;1;1;true;1106;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;7;3;1;1;1;1;true;1241;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;6;2;1;1;7;7;true;1556;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;6;2;1;1;1;1;true;1265;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;1;3;1;1;2;2;true;1801;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;4;0;1;1;7;7;true;3235;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;1;3;1;1;6;6;true;1686;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;3;1;1;1;3;3;true;1656;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;3;1;1;1;1;1;true;1216;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;7;3;1;1;4;4;true;1535;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;2;2;1;1;7;7;true;2646;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;3;1;1;1;3;3;true;2051;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;4;0;1;1;3;3;true;1446;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;6;2;1;1;3;3;true;1780;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";8;6;2;1;1;5;5;true;1551;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;6;2;1;1;5;5;true;3036;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;3;1;1;1;1;1;true;2535;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;5;1;1;1;4;4;true;4756;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;1;3;1;1;5;5;true;2601;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;1;3;1;1;6;6;true;1755;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;2;2;1;1;3;3;true;2220;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;4;0;1;1;5;5;true;1755;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;2;2;1;1;6;6;true;1981;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Dynamic;2;2;1;1;3;3;true;1405;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;5;1;1;1;4;4;true;3411;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;6;2;1;1;4;4;true;1606;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;5;1;1;1;1;1;true;1215;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;2;2;1;1;1;1;true;1750;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;1;3;1;1;5;5;true;1731;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";6;5;1;1;1;6;6;true;1546;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";10;4;0;1;1;1;1;true;1050;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";4;7;3;1;1;1;1;true;1031;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Dynamic;6;2;1;1;2;2;true;1026;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";2;6;2;1;1;2;2;true;2016;
"40 or older";"Professional software developer";"Computer science";"more than 5 years";Dynamic;5;1;1;1;2;2;true;1476;
