"Age";"Status";"Studies";"YearsOfExperience";Length;Level;Distance_from_Center;Correct;number_of_given_answers;expected_answer;given_answer;is_correct;time_in_milliseconds;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";4;4;0;1;1;1;1;true;9509;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";4;7;3;1;1;3;3;true;1786;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";2;7;3;1;1;2;2;true;2595;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";2;4;0;1;1;2;2;true;8056;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";8;4;0;1;1;5;5;true;5941;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";10;1;3;1;1;3;3;true;4634;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";8;5;1;1;1;3;3;true;4392;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";4;5;1;1;1;1;1;true;4800;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";10;1;3;1;1;7;7;true;1740;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";2;2;2;1;1;5;5;true;2099;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";4;6;2;1;1;5;5;true;2762;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";2;6;2;1;1;6;6;true;3539;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";6;5;1;1;1;3;3;true;7112;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";10;2;2;1;1;6;6;true;8417;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";Dynamic;2;2;1;1;7;7;true;3211;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";2;6;2;1;1;6;6;true;4482;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";4;4;0;1;1;6;6;true;6149;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";2;5;1;1;1;2;2;true;6602;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";2;4;0;1;1;7;7;true;5656;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";6;7;3;1;1;7;7;true;2191;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";6;6;2;1;1;2;2;true;2699;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";10;4;0;1;1;1;1;true;4622;
"between 35 and (excluding) 40";"Professional software developer";"undefined";"more than 5 years";10;1;3;1;1;4;4;true;2054;
